# Mass             Age              Teff             Luminosity       Radius           Gravity          NIRISS-F277W     NIRISS-F200W     NIRISS-F115W     NIRISS-F140M     NIRISS-F480M     NIRISS-F158M     NIRISS-F090W     NIRISS-F356W     NIRISS-F380M     NIRISS-F150W     NIRISS-F444W     NIRISS-F430M    
# M/Msun           Gyr              K                L/Lsun           R/Rsun           log(g[cm/s^2])  
  0.04800000       1.00000000E-03   2927.16115399    -1.66135688      0.57524245       3.59995566       6.07162272       6.22522439       7.15513454       6.80653899       5.56239166       6.41317288       8.10420714       5.67325585       5.50697857       6.61499711       5.52499436       5.52336536      
  0.04800000       1.26638017E-03   2926.60681397    -1.68571098      0.55955543       3.62396981       6.13247145       6.28645179       7.21642249       6.86776198       5.62321852       6.47464200       8.16418505       5.73382853       5.56760801       6.67633465       5.58575274       5.58403248      
  0.04800000       1.60371874E-03   2926.31175019    -1.69773812      0.55197153       3.63582229       6.16253933       6.31668394       7.24669843       6.89800706       5.65327273       6.50498502       8.19384827       5.76373875       5.59753891       6.70662379       5.61576163       5.61399219      
  0.04800000       2.03091762E-03   2926.03825642    -1.70824855      0.54542280       3.64618912       6.18885802       6.34314134       7.27319772       6.92447882       5.67957136       6.53153795       8.21982369       5.78990982       5.62372532       6.73313187       5.64201869       5.64020599      
  0.04800000       2.57191381E-03   2925.70140321    -1.72320364      0.53624543       3.66092862       6.22623024       6.38068257       7.31080529       6.96202747       5.71692693       6.56919881       8.25665807       5.82707529       5.66091217       6.77073050       5.67931117       5.67743586      
  0.04800000       3.25702066E-03   2925.12024246    -1.74861960      0.52098313       3.68600853       6.28984956       6.44455444       7.37480071       7.02590745       5.78050097       6.63325560       8.31935284       5.89031515       5.72417917       6.83468867       5.74276904       5.74078663      
  0.04800000       4.12462638E-03   2924.18944103    -1.80301037      0.48967447       3.73984080       6.42617889       6.58115179       7.51171368       7.16244680       5.91681226       6.77008327       8.45337954       6.02577974       5.85966971       6.97134853       5.87875954       5.87653125      
  0.04800000       5.22334507E-03   2921.59673649    -1.93943597      0.41923810       3.87473414       6.76886887       6.92326710       7.85473668       7.50450893       6.25943934       7.11194733       8.79028439       6.36535581       6.19891706       7.31323696       6.21999313       6.21703446      
  0.04800000       6.61474064E-03   2917.92304053    -2.07550243      0.35935527       4.00861004       7.11132418       7.26344514       8.19589233       7.84501482       6.60178490       7.45066359       9.12768149       6.70315930       6.53572778       7.65274327       6.55998874       6.55611728      
  0.04800000       8.37677640E-03   2904.62459435    -2.19389178      0.31644835       4.11905285       7.40667622       7.55643775       8.48959994       8.14093186       6.89377752       7.74219036       9.42678816       6.99009017       6.82031826       7.94634558       6.84879018       6.84403746      
  0.04800000       1.06081836E-02   2889.88283446    -2.29884504      0.28329577       4.21517699       7.66860867       7.81524167       8.74880060       8.40317778       7.15198188       7.99890545       9.69398436       7.24248427       7.06990456       8.20568305       7.10329632       7.09761828      
  0.04800000       1.34339933E-02   2870.33530134    -2.39792073      0.25621243       4.30245717       7.91516610       8.05803845       8.99156323       8.65087155       7.39317303       8.23918888       9.94965213       7.47688246       7.30061429       8.44949379       7.34000947       7.33335916      
  0.04800000       1.70125428E-02   2849.36392674    -2.49110164      0.23354408       4.38291907       8.14740221       8.28572232       9.21889958       8.88410235       7.61959604       8.46382415       10.19215333      7.69561556       7.51519857       8.67821419       7.56137699       7.55369869      
  0.04800000       2.15443469E-02   2830.70748834    -2.57804263      0.21409680       4.45843576       8.36510392       8.49822889       9.43091566       9.10167888       7.83242055       8.67274193       10.41828080      7.90021075       7.71575259       8.89122761       7.76895806       7.76020060      
  0.04800000       2.72833338E-02   2797.87371409    -2.67035904      0.19705694       4.53047430       8.59404989       8.72089510       9.65234172       9.33413151       8.05137350       8.89161616       10.66652862      8.10840679       7.91767529       9.11654169       7.98060426       7.97066350      
  0.04800000       3.45510729E-02   2761.63763703    -2.76103677      0.18221153       4.59850644       8.82086977       8.93903252       9.86871602       9.56385947       8.26761800       9.10448684       10.91420279      8.31004742       8.11202312       9.33732229       8.18728385       8.17585677      
  0.04800000       4.37547938E-02   2720.05210778    -2.85232966      0.16908396       4.66345099       9.05247916       9.15827192       10.08544748      9.79740708       8.48747978       9.31614518       11.16884974      8.50945179       8.30255785       9.55912746       8.39408030       8.38080974      
  0.04800000       5.54102033E-02   2669.74179012    -2.94662008      0.15746020       4.72531543       9.29544558       9.38421026       10.30949664      10.04207180      8.71592936       9.53179655       11.43929797      8.70970859       8.49200675       9.78798236       8.60470055       8.58931361      
  0.04800000       7.01703829E-02   2612.54978056    -3.04296037      0.14716820       4.78402900       9.54756961       9.61456893       10.53797528      10.29695763      8.95139016       9.74985814       11.72188832      8.90963451       8.67925835       10.02257474      8.81809430       8.80051050      
  0.04800000       8.88623816E-02   2545.35128461    -3.14376524      0.13805087       4.83957724       9.82137783       9.85660297       10.78146672      10.57024733      9.20816350       9.97418210       12.02604628      9.11217843       8.86661375       10.26820195      9.04191895       9.02136321      
  0.04800000       1.12533558E-01   2468.78062140    -3.24960211      0.12991399       4.89234533       10.11801204      10.11123848      11.03736602      10.86445285      9.48884113       10.20550631      12.34703970      9.31853133       9.05529492       10.52616317      9.27777350       9.25394982      
  0.04800000       1.42510267E-01   2383.41266824    -3.35993720      0.12276180       4.94152946       10.43221632      10.37840134      11.31102153      11.17705804      9.79027306       10.44121482      12.68937919      9.52541444       9.24314300       10.79290460      9.52105654       9.49508288      
  0.04800000       1.80472177E-01   2278.59602654    -3.48320339      0.11654436       4.98667510       10.77350982      10.67839479      11.62417911      11.53788448      10.11510930      10.69940875      13.09633023      9.74565286       9.44010121       11.09025943      9.77817975       9.75444463      
  0.04800000       2.28546386E-01   2166.85897737    -3.61096555      0.11124648       5.02708350       11.10675643      10.99220510      11.95499230      11.91738957      10.41687792      10.96461594      13.52994100      9.97750958       9.63789789       11.39624068      10.02512639      10.01219147     
  0.04800000       2.89426612E-01   2054.90780198    -3.73951166      0.10668196       5.06347371       11.42976260      11.31455556      12.29011723      12.30015441      10.68231649      11.23135841      13.95676148      10.24426038      9.83908077       11.70078570      10.25664075      10.25980296     
  0.04800000       3.66524124E-01   1935.66282964    -3.87588825      0.10276141       5.09599658       11.76935821      11.66275649      12.63823408      12.71619495      10.93108969      11.51653187      14.38812684      10.57238955      10.05968620      12.02485724      10.48960334      10.51412114     
  0.04800000       4.64158883E-01   1812.12501837    -4.01924816      0.09940886       5.12480635       12.12075901      12.04094056      12.98765400      13.15298200      11.14566284      11.82782277      14.80604500      10.98489623      10.32476442      12.36838851      10.72282492      10.76824780     
  0.04800000       5.87801607E-01   1695.14983437    -4.16038914      0.09656383       5.15002751       12.47847689      12.43003875      13.30372694      13.58773715      11.33458346      12.15722952      15.19059978      11.42404101      10.64815956      12.71973305      10.95616139      11.01322402     
  0.04800000       7.44380301E-01   1583.51132798    -4.30122192      0.09409910       5.17248501       12.86195661      12.84262811      13.59422519      14.05337888      11.50458184      12.52485741      15.55941242      11.86447638      11.04681675      13.10260749      11.19856555      11.25501635     
