# Mass             Age              Teff             Luminosity       Radius           Gravity          NIRISS-F277W     NIRISS-F200W     NIRISS-F115W     NIRISS-F140M     NIRISS-F480M     NIRISS-F158M     NIRISS-F090W     NIRISS-F356W     NIRISS-F380M     NIRISS-F150W     NIRISS-F444W     NIRISS-F430M    
# M/Msun           Gyr              K                L/Lsun           R/Rsun           log(g[cm/s^2])  
  0.03500000       1.80472177E-01   1862.01320007    -3.86977430      0.11183251       4.88534680       11.74161432      11.64608125      12.61241130      12.79443683      10.83636014      11.50942559      14.42162295      10.54286642      9.97568043       12.04437814      10.40604934      10.45890098     
  0.03500000       2.28546386E-01   1743.81686363    -4.01319811      0.10810106       4.91482361       12.09554142      12.02780852      12.95521063      13.22982236      11.04570564      11.82697707      14.82269363      10.96896055      10.26192954      12.38969889      10.64285139      10.71557389     
  0.03500000       2.89426612E-01   1629.42143472    -4.15653674      0.10497775       4.94028885       12.46078690      12.42893718      13.27712539      13.67928649      11.23564469      12.16819816      15.20099132      11.42107786      10.61477709      12.75095925      10.88682782      10.97169688     
  0.03500000       3.66524124E-01   1523.44072344    -4.29598175      0.10227818       4.96291694       12.84005091      12.84064474      13.56182432      14.14123914      11.40115350      12.54260641      15.55991089      11.86091038      11.03713857      13.13537838      11.13302141      11.21207523     
  0.03500000       4.64158883E-01   1432.57197915    -4.42335747      0.09988830       4.98345385       13.20507312      13.21724642      13.82488650      14.58916507      11.53638434      12.91742743      15.92003181      12.25419277      11.45502900      13.51400621      11.35323018      11.40374788     
  0.03500000       5.87801607E-01   1329.48223000    -4.57176977      0.09776532       5.00211331       13.67766545      13.67300028      14.10807089      15.15707000      11.67459795      13.40154180      16.34651892      12.68217912      11.90633084      14.00004422      11.59086654      11.60789319     
  0.03500000       7.44380301E-01   1249.59896456    -4.69593695      0.09592173       5.01864854       14.11155702      14.06999470      14.35796599      15.66675360      11.79974505      13.83523828      16.72232609      13.02589246      12.25581538      14.43555031      11.78899775      11.78518209     
  0.03500000       9.42668455E-01   1159.03647200    -4.84212903      0.09422919       5.03411177       14.60420781      14.53896333      14.68211991      16.27549622      11.95690098      14.30933816      17.18846500      13.36097344      12.58096159      14.92288490      12.00273825      11.99718123     
  0.03500000       1.19377664E+00   1062.03391545    -5.00691859      0.09282963       5.04710923       15.13948790      15.06286785      15.06682856      16.93534915      12.13712194      14.79974779      17.71629543      13.70207119      12.90786329      15.43093008      12.23198092      12.23457942     
  0.03500000       1.51177507E+00   989.67610679     -5.14108912      0.09160048       5.05868685       15.59436514      15.53464357      15.40920800      17.48369416      12.30928403      15.19546353      18.15599270      13.97393452      13.16929536      15.84261334      12.43160880      12.44953132     
  0.03500000       1.91448198E+00   919.56744747     -5.27942103      0.09047988       5.06937823       16.05122558      16.02640258      15.77402467      18.03301195      12.48937270      15.59249093      18.60585332      14.23841928      13.43166468      16.25451354      12.63481511      12.66499520     
  0.03500000       2.42446202E+00   850.63949936     -5.42450803      0.08946878       5.07913921       16.53736243      16.56645606      16.17432440      18.60351997      12.68176660      16.02077632      19.08719872      14.50828938      13.69264355      16.69514746      12.84821864      12.89170784     
  0.03500000       3.07029063E+00   787.12851588     -5.56801128      0.08857868       5.08782385       17.04333752      17.13065478      16.60039128      19.18066720      12.87983816      16.47262736      19.59200738      14.78528568      13.96077370      17.15680592      13.06685302      13.11652902     
  0.03500000       3.88815518E+00   732.05270259     -5.70185378      0.08778381       5.09565345       17.52740667      17.66372877      17.00311221      19.71463647      13.06813652      16.90523612      20.06137196      15.04249482      14.21200405      17.59649929      13.26733522      13.32040022     
  0.03500000       4.92388263E+00   682.96835374     -5.82955992      0.08706430       5.10280210       18.00339344      18.19354740      17.40814317      20.23044406      13.26989246      17.34108741      20.50862219      15.29795205      14.46351682      18.03727970      13.46892634      13.51595001     
  0.03500000       6.23550734E+00   640.32646747     -5.94819024      0.08640132       5.10944148       18.49362136      18.75577484      17.81467218      20.75855258      13.44176810      17.78896868      20.93329306      15.56481615      14.72482453      18.48925700      13.66847910      13.72034164     
  0.03500000       7.89652287E+00   601.92242152     -6.06173845      0.08579663       5.11554178       18.98283402      19.31406052      18.21367324      21.26895435      13.60403497      18.23066564      21.32471582      15.82481540      14.98738466      18.93371221      13.85898085      13.91460641     
  0.03500000       1.00000000E+01   569.96044375     -6.16225044      0.08523193       5.12127760       19.44067606      19.85404517      18.58962509      21.74499530      13.77781448      18.63758696      21.66188108      16.07287712      15.23592172      19.34302258      14.03948837      14.08926737     
