# Mass             Age              Teff             Luminosity       Radius           Gravity          NIRISS-F277W     NIRISS-F200W     NIRISS-F115W     NIRISS-F140M     NIRISS-F480M     NIRISS-F158M     NIRISS-F090W     NIRISS-F356W     NIRISS-F380M     NIRISS-F150W     NIRISS-F444W     NIRISS-F430M    
# M/Msun           Gyr              K                L/Lsun           R/Rsun           log(g[cm/s^2])  
  0.03200000       1.00000000E-03   2809.21471492    -1.94298543      0.45160978       3.63404043       6.72668782       6.90737797       7.83900619       7.51937578       6.17554302       7.11702346       8.86243415       6.29492534       6.12193044       7.32341117       6.13877350       6.13874842      
  0.03200000       1.26638017E-03   2805.57512563    -2.00098000      0.42353336       3.68979181       6.87265180       7.05157607       7.98379835       7.66494684       6.32017888       7.26054443       9.00779225       6.43750661       6.26357916       7.46788137       6.28216872       6.28181865      
  0.03200000       1.60371874E-03   2802.84586993    -2.04055507      0.40545068       3.72768917       6.97234957       7.14991598       8.08248219       7.76429175       6.41889904       7.35831193       9.10721492       6.53465762       6.36000934       7.56638275       6.37993354       6.37934443      
  0.03200000       2.03091762E-03   2801.35702067    -2.06080310      0.39653904       3.74699246       7.02330311       7.20013145       8.13285269       7.81504807       6.46932573       7.40820201       9.15808863       6.58422959       6.40918466       7.61667687       6.42983699       6.42912042      
  0.03200000       2.57191381E-03   2800.53051039    -2.07129826      0.39200462       3.75698250       7.04975282       7.22618988       8.15898698       7.84140442       6.49548430       7.43408665       9.18454081       6.60993051       6.43466948       7.64278186       6.45571354       6.45492967      
  0.03200000       3.25702066E-03   2799.62246784    -2.08189779      0.38749830       3.76702464       7.07644757       7.25248837       8.18536023       7.86802829       6.52185934       7.46021136       9.21130416       6.63583422       6.46034456       7.66914009       6.48179538       6.48094322      
  0.03200000       4.12462638E-03   2798.19318590    -2.09755143      0.38097681       3.78176762       7.11577239       7.29121898       8.22419535       7.90726865       6.56068043       7.49868129       9.25080725       6.67394306       6.49810036       7.70797094       6.52016987       6.51921601      
  0.03200000       5.22334507E-03   2795.55638862    -2.12443029      0.37006327       3.80701237       7.18340270       7.35778595       8.29092153       7.97477119       6.62738025       7.56477387       9.31888373       6.73936616       6.56287668       7.77472523       6.58606239       6.58492969      
  0.03200000       6.61474064E-03   2789.50175365    -2.18255160      0.34761722       3.86136201       7.32972833       7.50157722       8.43494468       8.12069731       6.77157443       7.70736108       9.46636483       6.88056269       6.70253846       7.91888300       6.72835058       6.72680852      
  0.03200000       8.37677640E-03   2770.28431584    -2.33007726      0.29740079       3.99688285       7.70138922       7.86557543       8.79889104       8.49148723       7.13661664       8.06741554       9.84382758       7.23635970       7.05344188       8.28400273       7.08741603       7.08468838      
