# Mass             Age              Teff             Luminosity       Radius           Gravity          MIRI-F1065C      MIRI-F1140C      MIRI-F1550C      MIRI-F2300C     
# M/Msun           Gyr              K                L/Lsun           R/Rsun           log(g[cm/s^2])  
  0.01000000       1.00000000E-03   2336.63779778    -2.72871098      0.26417258       3.59464161       0.00000000       0.00000000       0.00000000       0.00000000      
  0.01000000       1.26638017E-03   2299.85270174    -2.81470872      0.24698150       3.65308818       0.00000000       0.00000000       0.00000000       0.00000000      
  0.01000000       1.60371874E-03   2258.39862612    -2.90364494      0.23120960       3.71040530       0.00000000       0.00000000       0.00000000       0.00000000      
  0.01000000       2.03091762E-03   2212.81619592    -2.99475584      0.21684823       3.76610419       0.00000000       0.00000000       0.00000000       0.00000000      
  0.01000000       2.57191381E-03   2152.73205709    -3.09599734      0.20391639       3.81951258       0.00000000       0.00000000       0.00000000       0.00000000      
  0.01000000       3.25702066E-03   2083.86829404    -3.20266433      0.19246376       3.86971865       0.00000000       0.00000000       0.00000000       0.00000000      
  0.01000000       4.12462638E-03   2015.85776807    -3.30765801      0.18225487       3.91705839       0.00000000       0.00000000       0.00000000       0.00000000      
  0.01000000       5.22334507E-03   1938.87701735    -3.41964863      0.17317794       3.96143106       0.00000000       0.00000000       0.00000000       0.00000000      
  0.01000000       6.61474064E-03   1856.80663105    -3.53593814      0.16516550       4.00257775       0.00000000       0.00000000       0.00000000       0.00000000      
  0.01000000       8.37677640E-03   1769.43036233    -3.65754816      0.15811838       4.04045045       8.97728345       8.96833306       9.11689948       9.11518146      
  0.01000000       1.06081836E-02   1678.48705199    -3.78361484      0.15197973       4.07484471       9.16162336       9.13757735       9.29414872       9.29414640      
  0.01000000       1.34339933E-02   1590.47011843    -3.90850879      0.14659792       4.10615941       9.34314643       9.29847021       9.45682830       9.45683866      
  0.01000000       1.70125428E-02   1511.34062409    -4.02612333      0.14179034       4.13512252       9.51788900       9.45017584       9.60456251       9.60346193      
  0.01000000       2.15443469E-02   1406.14337241    -4.17739940      0.13761818       4.16106389       9.73631653       9.62842444       9.77045405       9.76746576      
  0.01000000       2.72833338E-02   1327.09857213    -4.30105066      0.13399957       4.18420852       9.92472536       9.78054140       9.90565970       9.90067041      
  0.01000000       3.45510729E-02   1249.51090939    -4.42707345      0.13074220       4.20558299       10.11212660      9.93080128       10.03639634      10.03038110     
  0.01000000       4.37547938E-02   1173.56319954    -4.55563067      0.12782157       4.22520713       10.29907463      10.08013355      10.16209409      10.15533957     
  0.01000000       5.54102033E-02   1099.03693971    -4.68767123      0.12519145       4.24326591       10.48583937      10.22965005      10.28877267      10.28129677     
  0.01000000       7.01703829E-02   1030.07355230    -4.81679100      0.12282799       4.25982046       10.66726674      10.37323089      10.41440161      10.40433255     
  0.01000000       8.88623816E-02   965.38275806     -4.94471555      0.12069222       4.27505655       10.85040033      10.51780107      10.53950377      10.52633413     
  0.01000000       1.12533558E-01   902.51373462     -5.07586221      0.11873970       4.28922310       11.04923120      10.67312549      10.67605464      10.65923062     
  0.01000000       1.42510267E-01   836.47489490     -5.22072101      0.11699521       4.30207866       11.26239377      10.84015297      10.81871378      10.79704735     
  0.01000000       1.80472177E-01   775.15598005     -5.36445060      0.11545982       4.31355279       11.47707769      11.01057335      10.96061033      10.93183339     
  0.01000000       2.28546386E-01   719.97032287     -5.50314983      0.11408589       4.32395059       11.68901463      11.17969495      11.09897150      11.06318109     
  0.01000000       2.89426612E-01   672.17549245     -5.63198554      0.11284584       4.33344349       11.91140814      11.34835375      11.23374434      11.18827657     
  0.01000000       3.66524124E-01   627.50342319     -5.76035426      0.11169271       4.34236489       12.14290351      11.52201487      11.37069556      11.31353682     
  0.01000000       4.64158883E-01   583.01902447     -5.89637941      0.11063156       4.35065636       12.41556163      11.73442623      11.53552454      11.45169621     
  0.01000000       5.87801607E-01   542.65389833     -6.02864950      0.10966248       4.35829807       12.67800703      11.94971100      11.69775468      11.58626206     
  0.01000000       7.44380301E-01   511.08744082     -6.14005225      0.10874736       4.36557688       12.92758933      12.15641033      11.84919473      11.70517939     
  0.01000000       9.42668455E-01   479.21127846     -6.25890625      0.10787651       4.37256052       13.20134869      12.39897208      12.02780935      11.83805400     
  0.01000000       1.19377664E+00   447.54231994     -6.38426073      0.10705817       4.37917465       13.47121874      12.62965724      12.19429578      11.95684087     
  0.01000000       1.51177507E+00   419.79773795     -6.50177753      0.10628006       4.38551066       13.76779728      12.88732129      12.38177410      12.08594112     
  0.01000000       1.91448198E+00   393.83400074     -6.61873482      0.10554288       4.39155634       14.09940458      13.17601989      12.59443146      12.22795790     
  0.01000000       2.42446202E+00   371.76669394     -6.72482185      0.10482648       4.39747224       14.45189187      13.48479227      12.79267046      12.35270965     
  0.01000000       3.07029063E+00   349.58518687     -6.83746433      0.10413123       4.40325220       14.81610570      13.80074150      13.02123443      12.50088338     
  0.01000000       3.88815518E+00   335.58733026     -6.91432500      0.10343105       4.40911235       15.09619065      14.03809044      13.17522084      12.59928188     
  0.01000000       4.92388263E+00   320.06410441     -7.00269850      0.10270777       4.41520767       15.43063627      14.33068571      13.34465575      12.70400167     
  0.01000000       6.23550734E+00   303.47066746     -7.10135274      0.10198140       4.42137227       15.82285640      14.67442854      13.56315317      12.85068190     
  0.01000000       7.89652287E+00   288.81717557     -7.19348277      0.10125967       4.42754122       16.20922447      15.00759841      13.74206074      12.96995936     
  0.01000000       1.00000000E+01   273.52217503     -7.29431348      0.10053244       4.43380178       16.63201684      15.37909824      13.93122514      13.10164601     
