# Mass             Age              Teff             Luminosity       Radius           Gravity          NIRISS-F480M     NIRISS-F277W     NIRISS-F430M     NIRISS-F380M    
# M/Msun           Gyr              K                L/Lsun           R/Rsun           log(g[cm/s^2])  
  0.02200000       1.00000000E-03   2689.66224840    -2.18190432      0.37417610       3.63468729       0.00000000       0.00000000       0.00000000       0.00000000      
  0.02200000       1.26638017E-03   2678.54634312    -2.25454274      0.34702524       3.70011737       0.00000000       0.00000000       0.00000000       0.00000000      
  0.02200000       1.60371874E-03   2664.95426445    -2.32766267      0.32227083       3.76439687       0.00000000       0.00000000       0.00000000       0.00000000      
  0.02200000       2.03091762E-03   2648.99179188    -2.39440188      0.30204022       3.82070877       0.00000000       0.00000000       0.00000000       0.00000000      
  0.02200000       2.57191381E-03   2639.46127795    -2.43802808      0.28932113       3.85807686       0.00000000       0.00000000       0.00000000       0.00000000      
  0.02200000       3.25702066E-03   2635.36173999    -2.45963722      0.28308587       3.87700131       0.00000000       0.00000000       0.00000000       0.00000000      
  0.02200000       4.12462638E-03   2633.40027508    -2.47040587      0.28002493       3.88644421       0.00000000       0.00000000       0.00000000       0.00000000      
  0.02200000       5.22334507E-03   2631.55733859    -2.47980616      0.27739242       3.89464793       0.00000000       0.00000000       0.00000000       0.00000000      
  0.02200000       6.61474064E-03   2628.90192293    -2.49285594      0.27380913       3.90594162       0.00000000       0.00000000       0.00000000       0.00000000      
  0.02200000       8.37677640E-03   2624.03419212    -2.51425296      0.26813372       3.92413406       0.00000000       0.00000000       0.00000000       0.00000000      
  0.02200000       1.06081836E-02   2611.97594407    -2.55644877      0.25778278       3.95832971       0.00000000       0.00000000       0.00000000       0.00000000      
  0.02200000       1.34339933E-02   2569.83819651    -2.66694703      0.23449755       4.04056033       0.00000000       0.00000000       0.00000000       0.00000000      
  0.02200000       1.70125428E-02   2479.24770587    -2.86980283      0.19947318       4.18106872       0.00000000       0.00000000       0.00000000       0.00000000      
  0.02200000       2.15443469E-02   2378.15283060    -3.04888019      0.17640078       4.28783851       0.00000000       0.00000000       0.00000000       0.00000000      
  0.02200000       2.72833338E-02   2271.93265251    -3.21085771      0.16040351       4.37041070       0.00000000       0.00000000       0.00000000       0.00000000      
  0.02200000       3.45510729E-02   2154.57093992    -3.36944229      0.14859023       4.43685860       0.00000000       0.00000000       0.00000000       0.00000000      
  0.02200000       4.37547938E-02   2033.63872521    -3.52536280      0.13938028       4.49243612       0.00000000       0.00000000       0.00000000       0.00000000      
  0.02200000       5.54102033E-02   1900.20614133    -3.69013600      0.13205732       4.53931400       0.00000000       0.00000000       0.00000000       0.00000000      
  0.02200000       7.01703829E-02   1792.78396804    -3.83069721      0.12618919       4.57879373       10.78691955      11.73004548      10.45540591      9.75300158      
  0.02200000       8.88623816E-02   1656.44473585    -4.00188329      0.12137651       4.61256902       11.15567686      12.18260520      10.83494330      10.02894649     
  0.02200000       1.12533558E-01   1541.77955795    -4.15498788      0.11745966       4.64106049       11.48139280      12.59661966      11.16824634      10.31724491     
  0.02200000       1.42510267E-01   1438.68829932    -4.29942547      0.11423226       4.66525941       11.78153968      12.99385992      11.46534777      10.68283921     
  0.02200000       1.80472177E-01   1341.69469200    -4.44217185      0.11143874       4.68676515       12.06609444      13.39519786      11.74588377      11.10167941     
  0.02200000       2.28546386E-01   1254.95196960    -4.57761549      0.10898566       4.70609904       12.33396407      13.79230506      12.01521139      11.49496776     
  0.02200000       2.89426612E-01   1171.63162569    -4.71468885      0.10678534       4.72381442       12.59648721      14.19593450      12.27546666      11.87149923     
  0.02200000       3.66524124E-01   1081.57180621    -4.86901421      0.10491150       4.73919133       12.86940625      14.64951311      12.55344835      12.23899549     
  0.02200000       4.64158883E-01   1004.82905246    -5.01051142      0.10327713       4.75282916       13.11116246      15.07109294      12.79770124      12.56026691     
  0.02200000       5.87801607E-01   934.53171157     -5.14880313      0.10182418       4.76513547       13.33320835      15.50299845      13.01717665      12.88614879     
  0.02200000       7.44380301E-01   869.53283391     -5.28509632      0.10053603       4.77619390       13.55027554      15.94777581      13.23071302      13.21585507     
  0.02200000       9.42668455E-01   807.34507878     -5.42407386      0.09937545       4.78627887       13.72722495      16.40301866      13.40604631      13.54056038     
  0.02200000       1.19377664E+00   745.69538332     -5.57125885      0.09832635       4.79549720       13.89358477      16.91514126      13.57352234      13.88687327     
  0.02200000       1.51177507E+00   688.73072616     -5.71750703      0.09740191       4.80370199       14.04679690      17.43563070      13.72874456      14.24224536     
  0.02200000       1.91448198E+00   644.42703771     -5.84054709      0.09656105       4.81123295       14.15078879      17.90266456      13.86182889      14.55038106     
  0.02200000       2.42446202E+00   601.26688160     -5.96806628      0.09577718       4.81831287       14.25394669      18.40332662      13.99066842      14.87904161     
  0.02200000       3.07029063E+00   558.02444386     -6.10431656      0.09505204       4.82491400       14.36866357      18.97105662      14.15650653      15.24557676     
  0.02200000       3.88815518E+00   521.97836800     -6.22646608      0.09438142       4.83106392       14.50072971      19.47935441      14.33456412      15.57892598     
  0.02200000       4.92388263E+00   488.25409505     -6.34832580      0.09374946       4.83689939       14.63489280      20.03464770      14.49131316      15.93890449     
  0.02200000       6.23550734E+00   456.04235035     -6.47241447      0.09315609       4.84241438       14.79717025      20.62984104      14.67795697      16.31880174     
  0.02200000       7.89652287E+00   427.84659173     -6.58848207      0.09259905       4.84762383       14.97439470      21.21453461      14.92955584      16.68271859     
  0.02200000       1.00000000E+01   401.41889322     -6.70416344      0.09207545       4.85254921       15.15769896      21.88311946      15.15396215      17.09301567     
