# Mass             Age              Teff             Luminosity       Radius           Gravity          NIRCAM-F460M     NIRCAM-F480M     NIRCAM-F322W2    NIRCAM-F356W     NIRCAM-F410M     NIRCAM-F300M     NIRCAM-F250M     NIRCAM-F335M     NIRCAM-F430M     NIRCAM-F444W     NIRCAM-F360M    
# M/Msun           Gyr              K                L/Lsun           R/Rsun           log(g[cm/s^2])  
  0.01500000       2.28546386E-01   989.65004857     -4.96575398      0.11209859       4.51530584       13.19053376      12.86269273      14.03144605      13.52735779      12.22063428      14.30665594      15.56368126      15.22628878      12.72333653      12.50818393      13.60237401     
  0.01500000       2.89426612E-01   914.98463344     -5.11713298      0.11016699       4.53040318       13.46725831      13.10927420      14.43243178      13.90812038      12.51757614      14.73165251      16.16004949      15.76364854      12.98166559      12.78397489      14.00881523     
  0.01500000       3.66524124E-01   839.02119083     -5.28070568      0.10852683       4.54343161       13.73374653      13.34641289      14.86501472      14.32182842      12.83602831      15.19511489      16.81770674      16.35252949      13.23688418      13.06946005      14.44633136     
  0.01500000       4.64158883E-01   772.42916014     -5.43550926      0.10714539       4.55455896       13.91520261      13.52420638      15.26912137      14.70712054      13.12539873      15.65399552      17.45755583      16.92629264      13.43166990      13.31165193      14.85462992     
  0.01500000       5.87801607E-01   713.11778959     -5.58410727      0.10594244       4.56436590       14.04442952      13.66936576      15.65931394      15.07818001      13.40241887      16.11673571      18.09113996      17.50096919      13.59373345      13.53219148      15.25219864     
  0.01500000       7.44380301E-01   662.93394527     -5.71976602      0.10485933       4.57329152       14.11714601      13.77718705      16.03774062      15.44009676      13.66087170      16.57172071      18.70955686      18.06880942      13.71258944      13.72327120      15.64210437     
  0.01500000       9.42668455E-01   615.32571014     -5.85746280      0.10387020       4.58152371       14.17018342      13.88249781      16.41975238      15.80711440      13.91824964      17.06238656      19.36397002      18.66182611      13.84432391      13.90829411      16.04187361     
  0.01500000       1.19377664E+00   569.60689440     -5.99902157      0.10298439       4.58896277       14.22710285      14.00206392      16.80415350      16.17899137      14.17986987      17.59019044      20.04877593      19.26679284      14.01173529      14.09898383      16.45057982     
  0.01500000       1.51177507E+00   533.31599312     -6.12020301      0.10217968       4.59577648       14.28731885      14.11776845      17.15452947      16.51890950      14.43272513      18.07049792      20.66236087      19.79561736      14.18174053      14.28491443      16.82344463     
  0.01500000       1.91448198E+00   501.73803614     -6.23286880      0.10139939       4.60243485       14.35849102      14.25047143      17.49033757      16.84748114      14.66653180      18.54983098      21.26353486      20.29628207      14.35615960      14.46062731      17.18647412     
  0.01500000       2.42446202E+00   468.00122692     -6.36015995      0.10065873       4.60880261       14.41339007      14.36497377      17.86071160      17.21427076      14.90248195      19.09466068      21.92748843      20.83993952      14.51673006      14.62724081      17.59832581     
  0.01500000       3.07029063E+00   437.16622682     -6.48452373      0.09997171       4.61475126       14.62885464      14.62621243      18.27888592      17.62865150      15.22346760      19.73173199      22.71813210      21.48337749      14.78215795      14.89908572      18.05884409     
  0.01500000       3.88815518E+00   409.23461589     -6.60486304      0.09932260       4.62040929       14.78636072      14.84169027      18.69255511      18.04142344      15.53406846      20.37332498      23.48391058      22.09355679      15.03163990      15.14090882      18.52142373     
  0.01500000       4.92388263E+00   386.37959893     -6.71013119      0.09870293       4.62584537       14.93461596      15.04171260      19.05578106      18.40460715      15.77422295      20.96676715      24.15318984      22.61158659      15.20693569      15.33314639      18.92355714     
  0.01500000       6.23550734E+00   365.09604562     -6.81397635      0.09808879       4.63126674       15.08495517      15.24185494      19.44724612      18.79570411      16.06704790      21.63938802      24.86298189      23.15941033      15.43928536      15.55639809      19.35165250     
  0.01500000       7.89652287E+00   345.68193651     -6.91422641      0.09748905       4.63659379       15.27188091      15.47622288      19.84173150      19.19750878      16.32793883      22.31046967      25.60960437      23.74646584      15.63673683      15.77153182      19.80131461     
  0.01500000       1.00000000E+01   330.56562239     -6.99734991      0.09687858       4.64204992       15.45273381      15.69792883      20.18927492      19.55362791      16.53445027      22.87103730      26.27846120      24.26096278      15.78047249      15.95336115      20.20361862     
