# Mass             Age              Teff             Luminosity       Radius           Gravity          NIRCAM-F322W2    NIRCAM-F164N     NIRCAM-F090W     NIRCAM-F277W     NIRCAM-F162M     NIRCAM-F115W     NIRCAM-F410M     NIRCAM-F300M     NIRCAM-F444W     NIRCAM-F250M     NIRCAM-F430M     NIRCAM-F323N     NIRCAM-F212N     NIRCAM-F466N     NIRCAM-F460M     NIRCAM-F200W     NIRCAM-F070W     NIRCAM-F182M     NIRCAM-F360M     NIRCAM-F405N     NIRCAM-F335M     NIRCAM-F140M     NIRCAM-F150W     NIRCAM-F187N     NIRCAM-F480M     NIRCAM-F210M     NIRCAM-F470N     NIRCAM-F356W     NIRCAM-F150W2   
# M/Msun           Gyr              K                L/Lsun           R/Rsun           log(g[cm/s^2])  
  0.00900000       1.00000000E-03   2277.79850054    -2.80809720      0.25371061       3.58398171       8.43219874       8.84987737       11.51149169      8.84105097       8.99037843       9.89937097       7.80311143       8.76684466       7.93146852       8.84116342       7.93979525       8.42665415       8.71616933       8.02314009       8.08018545       8.97403031       14.39168304      9.13256037       7.97397225       7.75183323       8.25567185       9.89185650       9.50965837       9.26214852       8.04579953       8.80000662       8.05323821       8.06284758       9.38963617      
  0.00900000       1.26638017E-03   2237.00986508    -2.89705583      0.23744328       3.64153944       8.64345018       9.04542040       11.76958181      9.08561490       9.19192650       10.11865832      7.99059703       9.00251419       8.14157685       9.08017568       8.15040370       8.63553002       8.91915663       8.25976593       8.32279582       9.19438948       14.72584335      9.36165504       8.16183946       7.93386183       8.45648395       10.14758496      9.73754847       9.50644787       8.28111650       9.01008291       8.28838311       8.25383092       9.60755815      
  0.00900000       1.60371874E-03   2190.57218495    -2.98942902      0.22263715       3.69746408       8.85959759       9.24546476       12.04197974      9.34117090       9.39857812       10.34669201      8.18132762       9.24524307       8.35785292       9.33144522       8.36783081       8.84710925       9.12731273       8.50780958       8.57831195       9.42303371       15.07998265      9.60109893       8.35204669       8.11818853       8.66015992       10.41567970      9.97322972       9.76337845       8.52676422       9.22619940       8.53376197       8.44710204       9.83336568      
  0.00900000       2.03091762E-03   2130.02162665    -3.09149371      0.20936981       3.75083099       9.09031582       9.46124235       12.35810912      9.62258017       9.62230122       10.60105917      8.38278478       9.50671353       8.59026734       9.61166041       8.60411162       9.07001687       9.35213498       8.77976338       8.86054317       9.67469382       15.49964345      9.86783800       8.55168370       8.31138196       8.87520385       10.71822499      10.23280569      10.05201614      8.79675780       9.46086700       8.80368787       8.64992798       10.08229804     
  0.00900000       2.57191381E-03   2065.78294840    -3.19512150      0.19755781       3.80127088       9.32151855       9.67796745       12.68181655      9.90798727       9.84786799       10.86467258      8.58445968       9.76840554       8.82279871       9.89928897       8.84393685       9.29414825       9.57987679       9.05229086       9.14575652       9.93236414       15.92027178      10.14293410      8.75136690       8.50409223       9.09320916       11.03147294      10.49601853      10.35080799      9.06855712       9.69922217       9.07608331       8.85315996       10.33742144     
  0.00900000       3.25702066E-03   1998.90765384    -3.30008856      0.18698082       3.84906466       9.55406534       9.89540747       13.00588896      10.19587583      10.07406466      11.13563267      8.78667609       10.03017134      9.05394864       10.19372908      9.08697308       9.52399039       9.81027328       9.32496741       9.43044090       10.19583070      16.33234327      10.42609536      8.95260511       8.69687772       9.31971244       11.35427693      10.76100279      10.65940162      9.33874900       9.94114881       9.34885578       9.05927611       10.59794098     
  0.00900000       4.12462638E-03   1921.86221946    -3.41312162      0.17759122       3.89381610       9.80481272       10.12656802      13.35842374      10.50090807      10.31414267      11.43254864      8.99714519       10.30747418      9.29191409       10.51086877      9.34162353       9.78669348       10.05611442      9.60831684       9.72227446       10.48035260      16.78057938      10.73386813      9.17074112       8.89802621       9.58637281       11.70744569      11.04290716      10.99510942      9.61600128       10.20050442      9.63125307       9.28630122       10.88000982     
  0.00900000       5.22334507E-03   1844.31788314    -3.52635264      0.16926906       3.93550380       10.07099462      10.35708048      13.68848947      10.80102751      10.55291778      11.72747899      9.20550273       10.58801554      9.51992500       10.82803705      9.59037622       10.10360336      10.30433196      9.86966674       9.98870680       10.76760660      17.23074447      11.04272636      9.41399240       9.09845716       9.91501444       12.06156594      11.31981210      11.33020025      9.87140309       10.46285201      9.89304333       9.53936226       11.16333151     
  0.00900000       6.61474064E-03   1756.95548270    -3.64928348      0.16190532       3.97413624       10.37790631      10.60612799      14.02910449      11.12082365      10.81054828      12.04444421      9.42655335       10.89639098      9.75450190       11.17163943      9.85197954       10.52605899      10.57420672      10.12578756      10.24782936      11.08160213      17.74239867      11.37857860      9.70988301       9.31264643       10.34922745      12.44694292      11.61564188      11.69301250      10.12281834      10.74946570      10.15304410      9.84364179       11.47191401     
  0.00900000       8.37677640E-03   1667.87977789    -3.77479024      0.15549275       4.00923784       10.72456088      10.86955828      14.36230150      11.43196218      11.07878860      12.35482720      9.65199661       11.21266608      9.97774010       11.51943405      10.09882458      11.10536179      10.85563142      10.34204360      10.46221449      11.40541530      18.35319214      11.71502673      10.09308438      9.53295270       10.92660245      12.82651618      11.90932828      12.04729373      10.33391710      11.04876235      10.37036719      10.20973706      11.78772790     
  0.00900000       1.06081836E-02   1581.96204628    -3.89871201      0.14985858       4.04129564       11.08714048      11.14513025      14.67090976      11.73622011      11.35652901      12.64907388      9.88422175       11.52346813      10.19749322      11.87631146      10.33653228      11.74121803      11.14351986      10.53445697      10.65425500      11.73577134      19.02480368      12.05123730      10.52935437      9.75979868       11.55948117      13.20245248      12.20284276      12.39340142      10.52229139      11.35605957      10.56397019      10.60293361      12.10626990     
  0.00900000       1.34339933E-02   1504.22596855    -4.01610156      0.14479603       4.07114530       11.44063765      11.44138280      14.94458206      12.02434647      11.64762869      12.91379379      10.12432628      11.80979747      10.41326875      12.23523874      10.55930253      12.30559891      11.43444187      10.70250777      10.82229970      12.06444547      19.69420282      12.38092463      10.98107415      9.99353713       12.12230908      13.56214270      12.49419476      12.71890645      10.68846648      11.66499539      10.73434678      10.99178861      12.41865212     
  0.00900000       1.70125428E-02   1396.59417410    -4.17161859      0.14043370       4.09771439       11.93026885      11.91180860      15.33288137      12.41659661      12.09405869      13.24285541      10.47364597      12.18047780      10.70432465      12.76272700      10.84249631      12.95889150      11.84268168      10.89315313      11.01289476      12.52120648      20.61589196      12.84834023      11.61615010      10.33000099      12.76738830      14.06089916      12.91430937      13.15463293      10.87876269      12.09469796      10.92722505      11.53745242      12.84948538     
  0.00900000       2.15443469E-02   1318.99951808    -4.29476610      0.13663498       4.12153308       12.33567146      12.38711320      15.66896885      12.75204313      12.51983702      13.50591607      10.78272020      12.48524082      10.94573078      13.22071254      11.05921765      13.44286634      12.19102360      11.03822807      11.15507745      12.89947264      21.27708067      13.25906196      12.10360979      10.63204559      13.23144009      14.48882570      13.29574897      13.51925402      11.02561936      12.45042427      11.07166836      11.98690774      13.21110311     
  0.00900000       2.72833338E-02   1240.48655657    -4.42323381      0.13323788       4.14340247       12.73852078      12.93712787      16.03073232      13.11354978      12.97961856      13.76526262      11.08748536      12.80423365      11.17170330      13.69774207      11.25167209      13.92478815      12.53492889      11.16826189      11.28033279      13.26847130      21.85256510      13.68861001      12.54045520      10.93951848      13.68700151      14.91969638      13.69431235      13.89612887      11.16152190      12.79151447      11.20551538      12.41735628      13.57065695     
  0.00900000       3.45510729E-02   1165.18585037    -4.55203546      0.13020210       4.16342133       13.12824389      13.55430718      16.41391397      13.50888901      13.45142413      14.02768505      11.37219793      13.14538661      11.37883327      14.18858695      11.43244635      14.39604909      12.87219157      11.29102807      11.39680398      13.63438652      22.38324026      14.14518948      12.92079772      11.23825125      14.13182901      15.37286107      14.10455341      14.30872755      11.29355949      13.12051255      11.33368029      12.80574541      13.92621884     
  0.00900000       4.37547938E-02   1091.78906475    -4.68346931      0.12747562       4.18180346       13.52380738      14.24107760      16.82292903      13.95019746      13.93622658      14.31189225      11.64918891      13.52373446      11.58220295      14.70977898      11.62086830      14.87699075      13.22288106      11.41922335      11.51787599      14.02076084      22.92532119      14.64502432      13.28391109      11.53618609      14.58900632      15.87150498      14.53563408      14.77696925      11.43242408      13.46102306      11.46628259      13.17486114      14.29613203     
