# Mass             Age              Teff             Luminosity       Radius           Gravity          NIRCAM-F322W2    NIRCAM-F164N     NIRCAM-F090W     NIRCAM-F277W     NIRCAM-F162M     NIRCAM-F115W     NIRCAM-F410M     NIRCAM-F300M     NIRCAM-F444W     NIRCAM-F250M     NIRCAM-F430M     NIRCAM-F323N     NIRCAM-F212N     NIRCAM-F466N     NIRCAM-F460M     NIRCAM-F200W     NIRCAM-F070W     NIRCAM-F182M     NIRCAM-F360M     NIRCAM-F405N     NIRCAM-F335M     NIRCAM-F140M     NIRCAM-F150W     NIRCAM-F187N     NIRCAM-F480M     NIRCAM-F210M     NIRCAM-F470N     NIRCAM-F356W     NIRCAM-F150W2   
# M/Msun           Gyr              K                L/Lsun           R/Rsun           log(g[cm/s^2])  
  0.03500000       1.70125428E-02   2695.94479727    -2.68389069      0.20895558       4.34237698       8.33626419       8.66120082       10.77893138      8.59438749       8.76945033       9.64481137       7.85798848       8.54309034       7.93687447       8.62187198       7.92318712       8.33378652       8.58080343       7.98760555       8.02902861       8.74123646       12.91875388      8.84135909       8.00394955       7.82786712       8.21117848       9.38518733       9.13594331       8.90847545       8.00770505       8.62584250       8.01341243       8.07284646       9.13313407      
  0.03500000       2.15443469E-02   2653.68837461    -2.78953227      0.19096367       4.42058103       8.58627524       8.89925003       11.07372245      8.86404102       9.01139879       9.89674367       8.08728969       8.80966515       8.17907027       8.88796585       8.16341707       8.58277618       8.82472927       8.24128809       8.28724953       8.99706976       13.30362479      9.10235418       8.23535480       8.05513441       8.45329118       9.65831818       9.39479909       9.17923807       8.26333133       8.87486902       8.26858908       8.30753854       9.38618918      
  0.03500000       2.72833338E-02   2603.38300229    -2.89445770      0.17584081       4.49224488       8.83234106       9.13017573       11.37456288      9.13610568       9.24708909       10.14635550      8.30806470       9.07685412       8.41650674       9.15563782       8.39860367       8.82656665       9.06246205       8.49497697       8.54644050       9.25043414       13.71505362      9.36261722       8.45802626       8.27306520       8.68890186       9.93411318       9.65169436       9.45200130       8.51874102       9.11920977       8.52360712       8.53411683       9.63636450      
  0.03500000       3.45510729E-02   2540.69331989    -3.00259109      0.16301558       4.55802668       9.08356113       9.36095063       11.69441134      9.42374468       9.48407384       10.40318817      8.52668245       9.35668935       8.65848278       9.43756499       8.63733964       9.07374843       9.30166987       8.76823298       8.82217914       9.51126438       14.17696440      9.63314926       8.67823253       8.48739443       8.92574900       10.22539082      9.91674295       9.73955927       8.78652076       9.36746294       8.79058633       8.75923475       9.89314656      
  0.03500000       4.37547938E-02   2471.47935680    -3.11090647      0.15207449       4.61837187       9.33502704       9.58593824       12.01845585      9.72357849       9.71618867       10.66341762      8.74042140       9.64367663       8.90282181       9.73125582       8.87824133       9.31798610       9.53659244       9.05333058       9.11373491       9.77392037       14.66284310      9.90859892       8.89196738       8.69511677       9.15849085       10.52526215      10.18206647      10.03643397      9.06713737       9.61372790       9.06983103       8.97843736       10.15113833     
  0.03500000       5.54102033E-02   2393.48297223    -3.22303328      0.14251197       4.67478110       9.59214097       9.81329633       12.35792603      10.04067589      9.95162088       10.93502160      8.95531109       9.94234049       9.15482881       10.04269410      9.12705597       9.56523973       9.77568509       9.35428965       9.42545480       10.04646840      15.18164775      10.19706571      9.10561038       8.90229300       9.39368784       10.84285551      10.45597726      10.35060155      9.36614416       9.86615047       9.36721555       9.19804309       10.41836938     
  0.03500000       7.01703829E-02   2303.71816713    -3.34129666      0.13425308       4.72663449       9.85742381       10.04910247      12.72834960      10.38113045      10.19561206      11.22945014      9.17474482       10.25465438      9.41791690       10.38187275      9.38764455       9.81676539       10.02525393      9.68110572       9.76793956       10.33750012      15.75425887      10.50893164      9.32182975       9.11211439       9.63422429       11.18801363      10.74429299      10.69378527      9.69129448       10.13147217      9.69334484       9.42052422       10.70357584     
  0.03500000       8.88623816E-02   2196.53116966    -3.47093959      0.12719729       4.77352822       10.13083361      10.29944544      13.16016691      10.73212116      10.45609500      11.55770830      9.40190754       10.57051817      9.68410196       10.74350154      9.65995145       10.08131608      10.29661256      10.00952673      10.11053847      10.65514848      16.41434668      10.85090240      9.54797219       9.32894858       9.89297774       11.57179646      11.05509507      11.07007271      10.01709844      10.41966641      10.02216708      9.65392104       11.01582666     
  0.03500000       1.12533558E-01   2089.72111732    -3.59937761      0.12121714       4.81535614       10.40503843      10.54799669      13.58564771      11.06745868      10.71441615      11.89072119      9.62270729       10.87563451      9.93331837       11.09460223      9.92202645       10.37097352      10.57169131      10.30813210      10.41885322      10.97565991      17.02699132      11.19512128      9.78292343       9.54047336       10.18758546      11.95980040      11.36134152      11.44671509      10.31174502      10.71111595      10.32272073      9.89996907       11.33021173     
  0.03500000       1.42510267E-01   1975.93329558    -3.73372615      0.11615190       4.85243142       10.71106009      10.80882289      14.02008698      11.40908562      10.98477755      12.23747408      9.84787616       11.19619967      10.17781596      11.46003033      10.18559178      10.74644009      10.86535299      10.58604781      10.70190244      11.31617429      17.65492755      11.55836778      10.06116898      9.75732131       10.58062189      12.37123202      11.67847835      11.84145262      10.58786626      11.02193073      10.60536228      10.19216063      11.66150161     
  0.03500000       1.80472177E-01   1862.01320007    -3.86977430      0.11183251       4.88534680       11.05866036      11.08776342      14.42896666      11.74267397      11.26840332      12.58070360      10.07513859      11.52929244      10.40911219      11.82290985      10.43825563      11.27443961      11.17403402      10.82259685      10.93805872      11.66659778      18.32126481      11.92474497      10.41913377      9.97760506       11.11790042      12.78729436      11.99850514      12.23075990      10.81987363      11.34622797      10.84408619      10.54997174      12.00050288     
  0.03500000       2.28546386E-01   1743.81686363    -4.01319811      0.10810106       4.91482361       11.46249700      11.40904651      14.83034965      12.08989726      11.58768855      12.92215522      10.32283736      11.88518646      10.64592478      12.21266542      10.69280775      11.96690850      11.51555606      11.03337205      11.14946718      12.04725556      19.11738339      12.31438737      10.89309193      10.21695767      11.80827806      13.22093729      12.34002729      12.63313335      11.02820093      11.70268215      11.05789700      10.98616923      12.36357577     
  0.03500000       2.89426612E-01   1629.42143472    -4.15653674      0.10497775       4.94028885       11.89059452      11.77112337      15.20947642      12.44692346      11.93770370      13.24333896      10.59203093      12.24361351      10.88944936      12.63419118      10.94694505      12.66881433      11.87428766      11.22273699      11.33981286      12.44605723      19.97453673      12.71873242      11.43427946      10.47506391      12.50407864      13.66827170      12.69793721      13.03940460      11.21793155      12.07719548      11.25135254      11.45561459      12.73880502     
  0.03500000       3.66524124E-01   1523.44072344    -4.29598175      0.10227818       4.96291694       12.31789105      12.19381059      15.57055953      12.81878725      12.33107779      13.52773119      10.88310045      12.59588577      11.13458440      13.08982103      11.18697876      13.24110606      12.24282519      11.38558970      11.50092289      12.85471784      20.77607565      13.14377332      11.96712167      10.75375147      13.06343354      14.12770850      13.07990016      13.45549001      11.38414122      12.45852029      11.41791968      11.91724507      13.11666686     
  0.03500000       4.64158883E-01   1432.57197915    -4.42335747      0.09988830       4.98345385       12.70995557      12.64394815      15.93293352      13.17866128      12.73182705      13.78982829      11.15982308      12.92189224      11.35338291      13.53270911      11.38088787      13.70881395      12.57646822      11.51577948      11.62733599      13.22852172      21.41056797      13.55409162      12.41690604      11.02404325      13.51104623      14.57270980      13.45668521      13.84970013      11.52125063      12.80151126      11.55220324      12.33062722      13.47064723     
