# Mass             Age              Teff             Luminosity       Radius           Gravity          NIRCAM-F322W2    NIRCAM-F164N     NIRCAM-F090W     NIRCAM-F277W     NIRCAM-F162M     NIRCAM-F115W     NIRCAM-F410M     NIRCAM-F300M     NIRCAM-F444W     NIRCAM-F250M     NIRCAM-F430M     NIRCAM-F323N     NIRCAM-F212N     NIRCAM-F466N     NIRCAM-F460M     NIRCAM-F200W     NIRCAM-F070W     NIRCAM-F182M     NIRCAM-F360M     NIRCAM-F405N     NIRCAM-F335M     NIRCAM-F140M     NIRCAM-F150W     NIRCAM-F187N     NIRCAM-F480M     NIRCAM-F210M     NIRCAM-F470N     NIRCAM-F356W     NIRCAM-F150W2   
# M/Msun           Gyr              K                L/Lsun           R/Rsun           log(g[cm/s^2])  
  0.00800000       1.00000000E-03   2208.65372915    -2.89993239      0.24277277       3.57110446       8.63380646       9.04496987       11.81166408      9.08862811       9.19436361       10.12785457      7.97095704       9.00267917       8.12626129       9.08130060       8.13906711       8.62606612       8.91443210       8.24808970       8.31237845       9.19718421       14.80756800      9.36947085       8.14366826       7.91180412       8.44350992       10.17661656      9.75327984       9.51923273       8.26903746       9.00828550       8.27685366       8.23674457       9.61354824      
  0.00800000       1.26638017E-03   2157.95948515    -2.99610494      0.22766185       3.62692596       8.85611556       9.25243185       12.10085074      9.35345063       9.40889685       10.36588305      8.16678413       9.25280996       8.34925504       9.34249836       8.36434784       8.84304435       9.13001760       8.50421496       8.57693939       9.43479401       15.18304464      9.61905521       8.33874249       8.10058886       8.65241304       10.45815793      9.99929409       9.78754146       8.52333213       9.23226877       8.53088171       8.43482411       9.84850273      
  0.00800000       1.60371874E-03   2099.53684540    -3.09697037      0.21414240       3.68009977       9.08415653       9.46770789       12.41327432      9.63045871       9.63189782       10.61942646      8.36685378       9.50983985       8.57932768       9.61883968       8.59883893       9.06381422       9.35375613       8.77144160       8.85514032       9.68444379       15.58534990      9.88354736       8.53728461       8.29244877       8.86625695       10.75857662      10.25714160      10.07314515      8.78997360       9.46538265       8.79752660       8.63639511       10.09591262     
  0.00800000       2.03091762E-03   2038.67112883    -3.19859804      0.20204111       3.73062711       9.31172703       9.68098980       12.72720493      9.91075292       9.85416110       10.87919920      8.56651724       9.76672459       8.80841611       9.90188623       8.83623276       9.28494544       9.57829050       9.03855809       9.13511453       9.93813176       15.98517526      10.15444830      8.73475964       8.48331211       9.08157765       11.06682092      10.51584281      10.36718170      9.05638109       9.70019413       9.06461571       8.83726851       10.34714189     
  0.00800000       2.57191381E-03   1970.35294067    -3.30565999      0.19120756       3.77849483       9.54843286       9.90331164       13.05943790      10.20313640      10.08526315      11.15718016      8.77191548       10.03223484      9.04276114       10.20183139      9.08348499       9.52020887       9.81322980       9.31588002       9.42349819       10.20696988      16.40068049      10.44382036      8.93966307       8.67929241       9.31516949       11.39762981      10.78638166      10.68234692      9.33012810       9.94689859       9.34148334       9.04798928       10.61346383     
  0.00800000       3.25702066E-03   1895.29306865    -3.41780850      0.18162029       3.82317792       9.79888680       10.13370039      13.40095224      10.50493973      10.32383662      11.45069139      8.98116034       10.30746407      9.27835073       10.51603461      9.33679334       9.78728517       10.05670191      9.59616095       9.71053805       10.48848484      16.83625072      10.74823411      9.15975120       8.87921724       9.58606670       11.74678786      11.06531158      11.01396017      9.60217843       10.20368202      9.61810116       9.27622284       10.89270550     
  0.00800000       4.12462638E-03   1824.00065530    -3.52644199      0.17304375       3.86519418       10.05839432      10.35638835      13.71039864      10.79425815      10.55458846      11.73326960      9.18448138       10.57914657      9.49970460       10.82177835      9.57830306       10.09888329      10.29694212      9.84728511       9.96730900       10.76564246      17.25959015      11.04568416      9.39828601       9.07540949       9.91019769       12.08685242      11.33156003      11.33619206      9.84887348       10.45735495      9.87199918       9.52462213       11.16566763     
  0.00800000       5.22334507E-03   1734.04239672    -3.65325261      0.16545648       3.90413887       10.37808029      10.61399242      14.05827788      11.12285990      10.82068359      12.05920812      9.41213282       10.89755567      9.74000088       11.17600788      9.84719621       10.55030830      10.57487412      10.10747120      10.22984845      11.08930477      17.79180839      11.39151659      9.71038342       9.29621718       10.37155262      12.48321789      11.63596376      11.70924627      10.10376985      10.75280647      10.13563536      9.84358050       11.48388047     
  0.00800000       6.61474064E-03   1646.78132483    -3.77813369      0.15888800       3.93932400       10.72689204      10.87735179      14.38629183      11.43273500      11.08875310      12.36686080      9.63829920       11.21316409      9.96286143       11.52436079      10.09320435      11.14021336      10.85506472      10.32133228      10.44198195      11.41207387      18.40688676      11.72621685      10.10010436      9.51730399       10.95905341      12.86067037      11.92816247      12.06096396      10.31226982      11.05118401      10.35024342      10.21333042      11.79882863     
  0.00800000       8.37677640E-03   1566.89355529    -3.89693501      0.15306905       3.97173135       11.07487829      11.14444768      14.67392387      11.72448509      11.35746242      12.64837679      9.86432658       11.51038256      10.17617581      11.86834710      10.32265642      11.74639462      11.13238874      10.50740414      10.62751777      11.73001692      19.04431008      12.04912289      10.52034492      9.73861960       11.56227677      13.22031051      12.21052504      12.39228173      10.49454587      11.34730505      10.53744121      10.59066999      12.10546820     
  0.00800000       1.06081836E-02   1488.69339102    -4.01627255      0.14780572       4.00212355       11.43527924      11.44828404      14.95242243      12.01724980      11.65576776      12.91543422      10.11110654      11.80035349      10.39684876      12.23597318      10.54939943      12.31325235      11.42871448      10.67757813      10.79771457      12.06473459      19.72409797      12.38479074      10.98206586      9.97873113       12.12752271      13.58518900      12.50733658      12.72209393      10.66290175      11.66205751      10.70991747      10.98765983      12.42342492     
  0.00800000       1.34339933E-02   1384.15498115    -4.16948443      0.14332518       4.02886038       11.92130624      11.91698272      15.33755527      12.40437100      12.10050741      13.24244055      10.45934064      12.16587464      10.68626642      12.76061120      10.82966013      12.96161434      11.83216770      10.86691669      10.98703057      12.51666101      20.63348102      12.84786016      11.61254201      10.31485164      12.76876015      14.07893257      12.92441074      13.15151172      10.85159535      12.08718290      10.90072929      11.53043662      12.85114485     
  0.00800000       1.70125428E-02   1307.18261554    -4.29311616      0.13938014       4.05310305       12.33002374      12.39841214      15.67421462      12.74088197      12.53132072      13.50642931      10.77247023      12.47130739      10.93033166      13.22343793      11.04831191      13.44841793      12.18311409      11.01354099      11.13078707      12.89701503      21.29711515      13.26136904      12.10439203      10.62105267      13.23518727      14.50800199      13.30852353      13.51626918      10.99982826      12.44522185      11.04668243      11.98465535      13.21519461     
  0.00800000       2.15443469E-02   1228.37734675    -4.42334992      0.13586150       4.07531254       12.73687245      12.95826940      16.03943855      13.10381988      12.99830825      13.76587795      11.08297296      12.79162312      11.15980628      13.70682784      11.24357223      13.93604061      12.53159502      11.14590378      11.25850767      13.26897548      21.87375800      13.69626239      12.54565348      10.93447303      13.69578241      14.94054404      13.71070660      13.89453500      11.13792583      12.78958033      11.18337255      12.42144576      13.57735537     
