# Mass             Age              Teff             Luminosity       Radius           Gravity          NIRCAM-F322W2    NIRCAM-F164N     NIRCAM-F090W     NIRCAM-F277W     NIRCAM-F162M     NIRCAM-F115W     NIRCAM-F410M     NIRCAM-F300M     NIRCAM-F444W     NIRCAM-F250M     NIRCAM-F430M     NIRCAM-F323N     NIRCAM-F212N     NIRCAM-F466N     NIRCAM-F460M     NIRCAM-F200W     NIRCAM-F070W     NIRCAM-F182M     NIRCAM-F360M     NIRCAM-F405N     NIRCAM-F335M     NIRCAM-F140M     NIRCAM-F150W     NIRCAM-F187N     NIRCAM-F480M     NIRCAM-F210M     NIRCAM-F470N     NIRCAM-F356W     NIRCAM-F150W2   
# M/Msun           Gyr              K                L/Lsun           R/Rsun           log(g[cm/s^2])  
  0.00200000       1.00000000E-03   1222.89413177    -4.19572320      0.17815133       3.23786838       11.95174519      12.14872396      15.53336582      12.37504434      12.33148416      13.35140229      10.40090655      12.09544261      10.56373869      12.90282722      10.75025866      13.15346416      11.83643716      10.62273727      10.74775870      12.59565069      21.04546900      12.98653556      11.73018667      10.24513582      12.93315044      14.41055771      13.16863492      13.23031429      10.59809157      12.12782656      10.65811292      11.59802038      13.00338571     
  0.00200000       1.26638017E-03   1165.85170523    -4.30874350      0.17209348       3.26791616       12.32350156      12.62243837      15.83479872      12.66882547      12.74054624      13.58457104      10.70237419      12.36074270      10.79426179      13.33443977      10.95116074      13.59507942      12.15394859      10.76745468      10.89142913      12.92785563      21.58295333      13.36330494      12.17148204      10.54607292      13.35498754      14.77292654      13.51138003      13.53696058      10.74381297      12.44297747      10.80334778      12.02097251      13.32758319     
  0.00200000       1.60371874E-03   1107.51280853    -4.42601728      0.16661924       3.29599535       12.70948422      13.21148429      16.17839897      12.99532222      13.20861961      13.84123751      11.01793759      12.65026320      11.02462002      13.80465608      11.15039449      14.05617375      12.49607920      10.90963015      11.03130369      13.27442802      22.08572899      13.78367093      12.59451673      10.86928232      13.79384665      15.17713638      13.89621037      13.87575896      10.88765306      12.76790398      10.94551637      12.45136696      13.67456164     
  0.00200000       2.03091762E-03   1053.89844129    -4.53857024      0.16163999       3.32234876       13.06568487      13.84019135      16.52324590      13.33824911      13.65635661      14.09415083      11.29804238      12.95010593      11.22734890      14.26538668      11.33478180      14.48810580      12.82500494      11.04190628      11.15914588      13.60704477      22.53741658      14.20430133      12.95498640      11.16058204      14.20793527      15.58378396      14.27153262      14.23344422      11.02163603      13.07349451      11.07691725      12.82235421      14.00201060     
  0.00200000       2.57191381E-03   998.64168417     -4.65696758      0.15708389       3.34718266       13.45851837      14.60051016      16.88307832      13.73961188      14.11238027      14.35434194      11.58918200      13.29638576      11.43598657      14.78265871      11.53254577      14.98333876      13.17939018      11.18284878      11.29548366      13.95457560      22.98143713      14.66275928      13.33556727      11.47886420      14.68110837      16.02313037      14.65835737      14.63314683      11.16272775      13.38650374      11.21582925      13.20747131      14.33742233     
  0.00200000       3.25702066E-03   944.66631617     -4.77659741      0.15296067       3.37028630       13.86778984      15.44420227      17.25605180      14.20077820      14.52877810      14.61836750      11.86722261      13.69467573      11.63920338      15.32743084      11.73167587      15.52571673      13.54012797      11.32924463      11.43818344      14.30859299      23.38905503      15.15667502      13.71022282      11.78754377      15.17877833      16.48809028      15.02954757      15.08377382      11.30915392      13.69531144      11.36289584      13.57145958      14.66844006     
  0.00200000       4.12462638E-03   892.36529053     -4.89693742      0.14924011       3.39167511       14.19731522      16.09579367      17.64144568      14.62494280      14.89087592      14.92064282      12.10282028      14.07898915      11.83492251      15.79580622      11.93895803      15.98640410      13.89241934      11.48764728      11.59485641      14.68604094      23.84307429      15.65358195      14.00879839      12.04295774      15.58111508      16.97924454      15.38908030      15.57376424      11.47676187      14.03251350      11.52296918      13.85884904      15.01115282     
  0.00200000       5.22334507E-03   848.30672220     -5.00522687      0.14578274       3.41203212       14.56649763      16.72878004      17.97776511      15.08648927      15.20608215      15.18702305      12.35576329      14.49772450      12.02085020      16.24787195      12.14123748      16.40456020      14.20182945      11.61843995      11.72645250      15.03827843      24.18444298      16.17089647      14.32379293      12.30945533      15.97667818      17.44494862      15.71383374      16.07015458      11.61286224      14.33348162      11.65604667      14.16982262      15.32572842     
  0.00200000       6.61474064E-03   801.96734861     -5.12214475      0.14257706       3.43134651       14.87737732      17.42175174      18.35733380      15.49587032      15.54392219      15.49036011      12.57739287      14.87711313      12.20979357      16.68670213      12.33656664      16.78249196      14.61292162      11.78951309      11.89141971      15.44995407      24.71983758      16.68288428      14.59509709      12.53197953      16.32051188      17.95800660      16.06495168      16.56387709      11.78458233      14.71806061      11.82900667      14.43745125      15.67424462     
  0.00200000       8.37677640E-03   754.80790687     -5.24558016      0.13962572       3.44951444       15.19905944      17.95606456      18.73228205      15.94563252      15.87397629      15.80628508      12.82100582      15.30578756      12.40982785      17.10854869      12.54748762      17.18044349      14.95955075      11.95866038      12.05862014      15.86786981      25.35963944      17.25118725      14.86053169      12.79358231      16.66431605      18.49266947      16.42938133      17.08685830      11.95896601      15.09858197      12.02813779      14.70552145      16.03737941     
