# Mass             Age              Teff             Luminosity       Radius           Gravity          NIRCAM-F150W     NIRCAM-F405N     NIRCAM-F323N     NIRCAM-F210M     NIRCAM-F150W2    NIRCAM-F212N     NIRCAM-F444W     NIRCAM-F322W2    NIRCAM-F356W     NIRCAM-F410M     NIRCAM-F187N     NIRCAM-F430M     NIRCAM-F277W     NIRCAM-F090W     NIRCAM-F070W     NIRCAM-F466N     NIRCAM-F300M     NIRCAM-F250M     NIRCAM-F470N     NIRCAM-F140M     NIRCAM-F115W     NIRCAM-F164N     NIRCAM-F335M     NIRCAM-F200W     NIRCAM-F460M     NIRCAM-F480M     NIRCAM-F182M     NIRCAM-F162M     NIRCAM-F360M    
# M/Msun           Gyr              K                L/Lsun           R/Rsun           log(g[cm/s^2])  
  0.01100000       1.34339933E-02   1690.55217275    -3.78881478      0.14892336       4.13388336       11.92577484      9.59203301       11.14530562      11.09384007      11.81876990      10.89767235      10.02391664      10.78315635      10.27310629      9.69917308       12.08172785      10.15130249      11.47503033      14.36147215      18.36354746      10.41153142      11.25981230      11.56790942      10.43764043      12.83504745      12.38564671      10.89781408      10.97497972      11.44602954      10.52460806      10.40936541      11.74896478      11.10368760      10.14311135     
  0.01100000       1.70125428E-02   1604.47356014    -3.90899316      0.14396687       4.16328338       12.20934509      9.80825342       11.76428935      11.39181433      12.12628106      11.17746353      10.23474802      11.13389996      10.65949473      9.92194510       12.41656315      10.37908968      11.77200249      14.67121919      19.02824365      10.59436434      11.55960805      11.91108069      10.62209886      13.19989919      12.67025389      11.16380769      11.59077621      11.76554950      10.70753466      10.58924847      12.07414587      11.37173467      10.56630332     
  0.01100000       2.15443469E-02   1527.65251287    -4.02120507      0.13956638       4.19024702       12.48681548      10.02699741      12.31402648      11.68626351      12.42419041      11.45488547      10.43929236      11.46951556      11.03371216      10.14844442      12.72924867      10.59050144      12.05194117      14.93496247      19.67437077      10.75372968      11.83369888      12.25070376      10.78377002      13.54625797      12.92558209      11.44343532      12.13817403      12.07866087      10.86699048      10.74702389      12.38877715      11.64691929      10.99455119     
  0.01100000       2.72833338E-02   1433.67684101    -4.15605799      0.13567663       4.21479771       12.84686650      10.31388548      12.87763750      12.05881166      12.79435006      11.81068876      10.69406554      11.88684182      11.50432211      10.45166033      13.10760594      10.83803235      12.39837512      15.26782702      20.47008344      10.92175856      12.15587946      12.69888192      10.95443686      13.97754440      13.20995548      11.84335652      12.69245723      12.47292209      11.03490791      10.91514943      12.79056992      12.02730287      11.53734493     
  0.01100000       3.45510729E-02   1351.86206853    -4.27983041      0.13232779       4.23650628       13.21697481      10.60506373      13.36477565      12.41163795      13.15110680      12.15406192      10.93425909      12.28544310      11.95032304      10.75577947      13.47243375      11.05398336      12.73704734      15.59813710      21.15147205      11.06481181      12.45991700      13.14735903      11.09779174      14.40265585      13.47048832      12.29275008      13.16291808      12.84850669      11.17558805      11.05919024      13.19331229      12.43517861      12.02673402     
  0.01100000       4.37547938E-02   1278.04767417    -4.39767278      0.12926787       4.25682601       13.58351839      10.88699627      13.80979737      12.73173266      13.48553236      12.47469280      11.14928193      12.65752620      12.35414231      11.04273764      13.82255096      11.23412959      13.07244546      15.92616048      21.70237923      11.18618728      12.75372563      13.58355669      11.22158260      14.80603851      13.71215070      12.78193459      13.58476086      13.19353754      11.29275862      11.18425954      13.58774795      12.85355519      12.44149939     
  0.01100000       5.54102033E-02   1204.10628362    -4.52025318      0.12646648       4.27585672       13.97201009      11.17211665      14.26233202      13.04746855      13.82569576      12.79758076      11.35288773      13.03075740      12.73509676      11.32211064      14.20657680      11.40472615      13.44428922      16.28720404      22.21714975      11.30186707      13.07369982      14.04544283      11.34242155      15.23436865      13.96097759      13.34660547      14.01054613      13.54203844      11.40247668      11.30661026      14.01309982      13.30136408      12.81453242     
  0.01100000       7.01703829E-02   1131.30894099    -4.64643245      0.12389820       4.29367786       14.38827918      11.45838546      14.71723335      13.37509131      14.18092761      13.13258284      11.55190791      13.41281387      13.09428652      11.59267909      14.65647115      11.58317010      13.87025397      16.67570150      22.75045099      11.42266230      13.43580347      14.54513892      11.46837240      15.71569905      14.22653275      13.99016400      14.44512153      13.91396756      11.51601789      11.43599755      14.49075120      13.76983634      13.16713458     
  0.01100000       8.88623816E-02   1060.31823894    -4.77554345      0.12156128       4.31021734       14.80449503      11.73189805      15.19021781      13.72173155      14.54807180      13.48620005      11.74877103      13.78306656      13.42785614      11.85054822      15.15163181      11.77157726      14.31580346      17.08956777      23.30925622      11.55456306      13.82161670      15.04856464      11.60530985      16.22542135      14.52311068      14.63784754      14.88589664      14.30749309      11.64041420      11.57744298      14.99897073      14.22073599      13.49654034     
  0.01100000       1.12533558E-01   992.07613021     -4.90653610      0.11942075       4.32564812       15.20740006      12.00508010      15.69741219      14.08077917      14.91778852      13.84941454      11.94759917      14.15273774      13.74745411      12.10332854      15.68338653      11.97099220      14.78680511      17.49985388      23.87749873      11.69810882      14.23774022      15.55906489      11.75376952      16.75197896      14.83170716      15.29341445      15.34580892      14.71642265      11.77661377      11.72953387      15.54128797      14.63976628      13.82221480     
  0.01100000       1.42510267E-01   928.61086702     -5.03590232      0.11744080       4.34016951       15.60518605      12.27301999      16.16167910      14.47046149      15.30014011      14.23270796      12.15289825      14.50849613      14.04680937      12.35469813      16.24635114      12.18908334      15.27196103      17.90613803      24.47365637      11.85618088      14.67774839      16.06128166      11.91545242      17.30372227      15.15516350      15.92356961      15.75871342      15.15317111      11.92722779      11.89543177      16.11638048      15.03339536      14.13578200     
  0.01100000       1.80472177E-01   861.20103652     -5.18023049      0.11564032       4.35358891       16.04034648      12.53841441      16.62476594      14.95326875      15.73393479      14.69734064      12.37640029      14.86834271      14.35981738      12.62177278      16.86429615      12.42885352      15.78094880      18.37630899      25.16958757      12.03853261      15.15246063      16.58191931      12.09753644      17.91520901      15.53222228      16.54450450      16.17180048      15.67191353      12.10100477      12.08409911      16.74201955      15.44648441      14.44693456     
  0.01100000       2.28546386E-01   794.19748574     -5.33293022      0.11405682       4.36556489       16.50854799      12.82674728      17.13068689      15.49825924      16.20852346      15.19949358      12.61380809      15.23904533      14.68016992      12.90001790      17.52386647      12.68187397      16.33818033      18.87718109      25.81710444      12.23752189      15.68550327      17.11781776      12.29692072      18.56900375      15.95029337      17.16668610      16.61319194      16.24873225      12.29414780      12.28969466      17.42121030      15.88060501      14.76969030     
  0.01100000       2.89426612E-01   735.95577895     -5.47600001      0.11265197       4.37632966       16.95873306      13.08942416      17.64949865      16.04368512      16.65987498      15.69580406      12.83617479      15.57559449      14.97354474      13.15664344      18.14357218      12.91779886      16.87136479      19.36663868      26.30951964      12.42948535      16.19988557      17.61850432      12.47872584      19.17924369      16.34751487      17.74619539      17.04986596      16.81624344      12.47862223      12.48606339      18.05811642      16.29559466      15.06757601     
  0.01100000       3.66524124E-01   683.77654930     -5.61345747      0.11139460       4.38607869       17.41893348      13.34146359      18.20999308      16.59227707      17.11546671      16.18181172      13.05524178      15.90358852      15.26522376      13.40627413      18.74761103      13.14644740      17.40908889      19.86990866      26.85009434      12.61792514      16.71789505      18.11797017      12.67878640      19.77383184      16.75567526      18.29073290      17.51017183      17.38237581      12.66959217      12.68364983      18.67679661      16.71842507      15.36794364     
  0.01100000       4.64158883E-01   637.53872189     -5.74427445      0.11022638       4.39523602       17.89001068      13.60315163      18.83288145      17.16791735      17.57256288      16.69636994      13.27384937      16.23756589      15.56972701      13.66069373      19.37106869      13.37346666      17.96941876      20.36485082      27.14035093      12.81469747      17.25162685      18.64577209      12.87748154      20.37375556      17.16204234      18.84831967      18.00726828      17.97323164      12.85962659      12.88677784      19.31151935      17.15243526      15.68472895     
  0.01100000       5.87801607E-01   590.55582075     -5.88576228      0.10915191       4.40374441       18.40599718      13.89205261      19.56676596      17.79754360      18.06961487      17.26232403      13.50826698      16.58820475      15.89723984      13.92428126      20.04822154      13.60756329      18.58185500      20.88957243      27.46297754      13.03694187      17.83120012      19.23029455      13.08260242      21.01564912      17.61128501      19.44050286      18.57217190      18.61535247      13.06578607      13.11000783      19.98258616      17.63034991      16.03456034     
  0.01100000       7.44380301E-01   546.55141378     -6.02798043      0.10818452       4.41147676       18.99385821      14.22785491      20.35999924      18.53214800      18.62420149      17.93700038      13.77040426      16.98715663      16.27648621      14.24017779      20.86832200      13.88098509      19.26165912      21.44667369      27.75231691      13.23715081      18.46559763      19.91129553      13.29159442      21.74095709      18.11003834      20.13082558      19.17027940      19.36276004      13.28992177      13.32960228      20.76264722      18.18128184      16.43751126     
  0.01100000       9.42668455E-01   514.91439333     -6.13890721      0.10727469       4.41881240       19.48689558      14.50363591      20.93800338      19.12584154      19.07589000      18.49613334      13.98021034      17.30139494      16.58208367      14.49666452      21.52361341      14.10340503      19.76874431      21.86796980      28.25165328      13.42100400      18.93626046      20.43707899      13.45666822      22.33005066      18.51759473      20.69776390      19.60419248      19.96472310      13.47377487      13.49900190      21.38699590      18.65152543      16.76144729     
  0.01100000       1.19377664E+00   482.18964867     -6.26009823      0.10639984       4.42592501       20.19787668      14.82797162      21.69151943      19.95208835      19.70393607      19.31008018      14.24500629      17.69638542      16.97170524      14.82017156      22.41981928      14.36877962      20.39218364      22.42641492      28.85662827      13.66580888      19.51077447      21.10800561      13.69980615      23.16349404      19.08709184      21.52428021      20.14780610      20.79475614      13.70953500      13.75347804      22.22793607      19.34056443      17.17127037     
  0.01100000       1.51177507E+00   448.69441872     -6.39191892      0.10557587       4.43267758       20.90716763      15.19369540      22.56496658      20.83563083      20.36339175      20.19026615      14.51484515      18.11155655      17.38227566      15.13294584      23.37263750      14.61937049      21.05520761      22.91337644      28.67119352      13.92177007      20.12519786      21.82396176      13.95535014      24.01973151      19.70168903      22.40348672      20.74600612      21.68101498      13.95245657      14.02272523      23.11590948      20.03441712      17.61531002     
  0.01100000       1.91448198E+00   419.76955119     -6.51410106      0.10479782       4.43910240       21.62236607      15.53481592      23.43499367      21.71782980      21.07165393      21.08674803      14.78097342      18.51275165      17.78361196      15.44383069      24.32348424      14.87674814      21.70272533      23.45472950      29.00404689      14.17486649      20.73272133      22.53113353      14.20570300      24.90603397      20.38354507      23.26425778      21.32799999      22.56450313      14.19726828      14.28918423      23.99799502      20.74038089      18.05650862     
  0.01100000       2.42446202E+00   393.10413786     -6.63422003      0.10406470       4.44520008       22.30155221      15.86147710      24.29045558      22.61182643      21.82634779      22.00972305      15.03775326      18.91032285      18.18490082      15.73438518      25.28420963      15.11366012      22.34295502      23.89638322      28.90919030      14.42537601      21.33574350      23.23094713      14.45605311      25.80598554      21.13691374      24.13639373      21.89620035      23.45748495      14.43972904      14.55380060      24.87349532      21.41294246      18.49650697     
  0.01100000       3.07029063E+00   370.38556706     -6.74357893      0.10335442       4.45114878       22.96969703      16.20087411      25.23857776      23.58446411      22.63565674      23.01835596      15.29465305      19.32979418      18.61114264      16.03049757      26.31693598      15.35094303      23.03258513      24.42082860      29.07125471      14.67715493      21.99405037      23.96757133      14.71155184      26.73605037      21.96885285      25.06261571      22.51362389      24.42619697      14.67707708      14.82883520      25.80676197      22.07609233      18.97201249     
  0.01100000       3.88815518E+00   348.38907816     -6.85570499      0.10266864       4.45693129       23.66437104      16.57212782      26.18781567      24.67706330      23.53660102      24.15188125      15.58274948      19.79277961      19.08314890      16.36183832      27.46411240      15.62305189      23.76536762      25.06842007      29.66956902      14.95721276      22.69376366      24.75516714      14.99121645      27.74488157      22.92292022      26.09812994      23.17287907      25.51124396      14.94397376      15.12904989      26.82954285      22.76673827      19.50002597     
  0.01100000       4.92388263E+00   333.78422354     -6.93598372      0.10197716       4.46280111       24.19444160      16.88613560      26.93902483      25.57736969      24.23497151      25.09037069      15.79748845      20.16862633      19.46669859      16.60678594      28.39855055      15.80718947      24.36466957      25.54418024      30.26582267      15.17716292      23.27601893      25.36858911      15.21255319      28.54179800      23.67659970      26.93996905      23.70782901      26.40302257      15.14829974      15.36902859      27.65292072      23.29444082      19.93271071     
  0.01100000       6.23550734E+00   317.79918723     -7.02726429      0.10126859       4.46885736       24.81495155      17.22125284      27.67444027      26.62997585      25.06228342      26.19061313      16.02636539      20.59128776      19.90368712      16.85771397      29.49319781      15.99091421      24.99588730      25.86517279      29.75470080      15.42580543      23.89221825      26.01803599      15.46469382      29.45740159      24.60717349      27.92132121      24.29112025      27.44006720      15.37665900      15.64360662      28.58967030      23.91299337      20.42512007     
  0.01100000       7.89652287E+00   300.78420604     -7.12897545      0.10056065       4.47495080       25.45932275      17.60672226      28.55789800      27.82927329      25.86574161      27.45279354      16.29815657      21.06404471      20.39212021      17.17029826      30.71287191      16.23496098      25.73348120      26.28479761      30.07540334      15.69919426      24.62406001      26.68319619      15.73759912      30.43903787      25.50587782      28.99694340      24.98271620      28.61099571      15.63445734      15.94125358      29.60892966      24.55579396      20.98387868     
  0.01100000       1.00000000E+01   286.23933807     -7.22122306      0.09985289       4.48108562       26.13989978      18.01527300      29.25200553      29.04966704      26.72290118      28.73800897      16.57115520      21.54292138      20.88739385      17.48542705      31.94896976      16.49105619      26.42213254      26.84208311      30.34618650      15.97562041      25.32600198      27.25021052      16.01356204      31.45749080      26.50957922      30.09687016      25.62159270      29.79849897      15.89304900      16.24226734      30.64266222      25.23531620      21.54493355     
