# Mass             Age              Teff             Luminosity       Radius           Gravity          NIRISS-F277W     NIRISS-F200W     NIRISS-F115W     NIRISS-F140M     NIRISS-F480M     NIRISS-F158M     NIRISS-F090W     NIRISS-F356W     NIRISS-F380M     NIRISS-F150W     NIRISS-F444W     NIRISS-F430M    
# M/Msun           Gyr              K                L/Lsun           R/Rsun           log(g[cm/s^2])  
  0.06100000       4.64158883E-01   2164.11779517    -3.69334437      0.10143435       5.21137456       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.06100000       5.87801607E-01   2052.32083919    -3.81849619      0.09765560       5.24435122       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.06100000       7.44380301E-01   1932.42901959    -3.95244571      0.09440718       5.27373473       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.06100000       9.42668455E-01   1809.37633789    -4.09250676      0.09164822       5.29949694       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.06100000       1.19377664E+00   1696.84297069    -4.22676584      0.08928078       5.32222843       12.69386461      12.61785486      13.46460962      13.71707708      11.64688914      12.30238678      15.35601764      11.54028003      10.79541285      12.85806298      11.17029181      11.21344694     
  0.06100000       1.51177507E+00   1586.18182280    -4.36425455      0.08721540       5.34255792       13.08817204      13.02654028      13.73811043      14.17675503      11.88613787      12.65898973      15.72040542      11.94693641      11.15471392      13.23211689      11.43180705      11.48543738     
  0.06100000       1.91448198E+00   1486.39344872    -4.49534475      0.08540415       5.36078621       13.47890233      13.43185308      13.97734369      14.65572233      12.10893132      13.03838812      16.07617122      12.32257445      11.52591143      13.62467255      11.68987890      11.74695888     
  0.06100000       2.42446202E+00   1395.80776905    -4.62143085      0.08376325       5.37763705       13.87658891      13.83787294      14.21376228      15.17428489      12.31619664      13.44518786      16.44997442      12.67475401      11.88172361      14.04461381      11.93892690      11.99297508     
  0.06100000       3.07029063E+00   1291.12695131    -4.77213520      0.08230465       5.39289541       14.33112893      14.29773954      14.50672644      15.75040773      12.52422013      13.92721658      16.91397327      13.04951577      12.25353803      14.53352408      12.20058395      12.24147873     
  0.06100000       3.88815518E+00   1208.96338270    -4.89979659      0.08104013       5.40634379       14.74124873      14.71298342      14.78324167      16.27604390      12.69256159      14.34401095      17.33004297      13.35380387      12.54843760      14.96136111      12.41126620      12.43275310     
  0.06100000       4.92388263E+00   1135.95263114    -5.02023243      0.07990624       5.41858266       15.11320630      15.09830597      15.06776331      16.75099229      12.81902624      14.70482930      17.71473073      13.61264400      12.79745725      15.33455413      12.58063306      12.58114224     
  0.06100000       6.23550734E+00   1069.62795173    -5.13627472      0.07885387       5.43009800       15.48079656      15.47796120      15.35626450      17.20781662      12.94251185      15.04142995      18.09100952      13.86318379      13.03964987      15.68370234      12.74489264      12.72338962     
  0.06100000       7.89652287E+00   1008.08854935    -5.25018538      0.07786368       5.44107421       15.85697104      15.88270109      15.65321257      17.65592407      13.04868972      15.36605830      18.47369314      14.10348795      13.27311069      16.02031194      12.89491885      12.85768240     
  0.06100000       1.00000000E+01   952.56834671     -5.35923717      0.07691550       5.45171636       16.20821685      16.27372627      15.94613674      18.06859043      13.14972582      15.66778782      18.83608206      14.32147058      13.48542710      16.33185936      13.03397022      12.99235932     
