# Mass             Age              Teff             Luminosity       Radius           Gravity          NIRCAM-F480M     NIRCAM-F187N     NIRCAM-F356W     NIRCAM-F150W2    NIRCAM-F210M     NIRCAM-F470N     NIRCAM-F150W     NIRCAM-F405N     NIRCAM-F335M     NIRCAM-F140M     NIRCAM-F182M     NIRCAM-F070W     NIRCAM-F200W     NIRCAM-F360M     NIRCAM-F460M     NIRCAM-F466N     NIRCAM-F323N     NIRCAM-F430M     NIRCAM-F212N     NIRCAM-F410M     NIRCAM-F300M     NIRCAM-F444W     NIRCAM-F250M     NIRCAM-F277W     NIRCAM-F162M     NIRCAM-F090W     NIRCAM-F164N     NIRCAM-F322W2    NIRCAM-F115W    
# M/Msun           Gyr              K                L/Lsun           R/Rsun           log(g[cm/s^2])  
  0.00600000       1.00000000E-03   2009.36667196    -3.14854462      0.22031339       3.53048641       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.00600000       1.26638017E-03   1942.97069547    -3.25648932      0.20808552       3.58008233       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.00600000       1.60371874E-03   1879.27897647    -3.36090132      0.19723636       3.62659300       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.00600000       2.03091762E-03   1820.37497246    -3.46086012      0.18735920       3.67121782       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.00600000       2.57191381E-03   1728.57908512    -3.59230062      0.17860600       3.71277576       10.02254400      11.63984110      9.55813746       11.33690947      10.60913703      10.03953961      11.53950271      9.13458703       9.92985873       12.43484975      11.27751167      17.53656397      10.95461697      9.42226829       10.13204904      10.00723429      10.13505477      9.80757282       10.41768460      9.24238320       10.78651526      9.59074215       11.06266765      11.03654480      10.68379987      13.90017275      10.46944492      10.16300734      11.90642293     
  0.00600000       3.25702066E-03   1646.77370728    -3.71375371      0.17111156       3.75000892       10.31930640      12.01832569      9.81253705       11.64479745      10.89728546      10.34558910      11.83448461      9.35914574       10.25511789      12.83062484      11.62161866      18.09018162      11.27128509      9.66824730       10.44499593      10.30858623      10.45078874      10.11101595      10.69028860      9.46836471       11.08248415      9.84358411       11.41575290      11.37007224      10.94360002      14.22305030      10.72202969      10.43492292      12.22197666     
  0.00600000       4.12462638E-03   1570.93379368    -3.83029925      0.16442331       3.78464058       10.59308879      12.36999993      10.08576847      11.94099309      11.18184104      10.62914182      12.10811904      9.58591698       10.62987250      13.19548320      11.94688924      18.72685522      11.57866617      9.93514226       10.73365302      10.58753806      10.80967136      10.39766055      10.96182224      9.69017981       11.36285560      10.08442995      11.74994124      11.67935878      11.19535709      14.52294158      10.96929979      10.71273278      12.51895519     
  0.00600000       5.22334507E-03   1495.21078300    -3.94848063      0.15841106       3.81699666       10.85900188      12.71450713      10.40683409      12.24090522      11.48288631      10.90635294      12.37946668      9.82608846       11.10343830      13.54705385      12.27181216      19.47447031      11.89801267      10.26420840      11.01453295      10.85948479      11.27262194      10.67576303      11.25107697      9.92148817       11.65025734      10.32825473      12.09295706      11.98881814      11.45678852      14.81025024      11.22944344      11.02418332      12.79845420     
  0.00600000       6.61474064E-03   1400.91255458    -4.09083825      0.15317541       3.84618847       11.17909065      13.14868714      10.84536096      12.61160477      11.87246015      11.24148900      12.71640119      10.13395833      11.75976935      13.98200221      12.68198490      20.45767010      12.30971445      10.73565099      11.35573181      11.18682388      11.93188976      11.02531456      11.62554192      10.22085746      12.01736733      10.63624436      12.54309857      12.38611983      11.79402056      15.16724354      11.57119223      11.44142332      13.10440871     
  0.00600000       8.37677640E-03   1325.30324587    -4.21362992      0.14858762       3.87260147       11.45903040      13.53415219      11.26702579      12.95067925      12.23989484      11.53585874      13.03694327      10.41867051      12.34728331      14.37123240      13.06140735      21.30920941      12.69417098      11.19816307      11.65398328      11.47045885      12.53888574      11.31905286      11.98277351      10.51092721      12.34450108      10.92154404      12.96382275      12.74470576      12.13192664      15.48728951      11.92630259      11.83547078      13.35737917     
  0.00600000       1.06081836E-02   1249.69507718    -4.34007745      0.14447007       3.89701021       11.71982293      13.91638996      11.69241741      13.29254262      12.60352126      11.81223357      13.38163146      10.69794238      12.89164948      14.76412183      13.45866558      22.02345984      13.07687045      11.65655623      11.93329779      11.73336139      13.11344172      11.59125234      12.34112962      10.81483034      12.66431855      11.20819606      13.39359010      13.10117237      12.51447471      15.82070126      12.34121028      12.23065441      13.59799997     
  0.00600000       1.34339933E-02   1175.61129250    -4.46857909      0.14080539       3.91932848       11.98951134      14.31040910      12.09979720      13.64337027      12.96731429      12.10120708      13.75362001      10.97121414      13.39905419      15.17570535      13.87816921      22.68598635      13.46246093      12.08522447      12.22486530      12.00510262      13.65011502      11.86218175      12.70389584      11.11950981      12.98180883      11.49680022      13.83328882      13.46217107      12.93605265      16.18149849      12.81519488      12.61479479      13.84301329     
  0.00600000       1.70125428E-02   1104.98893115    -4.59670162      0.13752311       3.93981561       12.26771373      14.72997272      12.47691521      14.00780241      13.33112924      12.40365155      14.15854454      11.23627561      13.86585300      15.62253106      14.32707004      23.31389815      13.85316568      12.47375003      12.52921792      12.28522244      14.14320496      12.13371603      13.07058006      11.41616079      13.30302800      11.78176841      14.28895195      13.83539821      13.39522065      16.57644288      13.36568433      12.98101598      14.11024226     
