# Mass             Age              Teff             Luminosity       Radius           Gravity          NIRCAM-F480M     NIRCAM-F187N     NIRCAM-F356W     NIRCAM-F150W2    NIRCAM-F210M     NIRCAM-F470N     NIRCAM-F150W     NIRCAM-F405N     NIRCAM-F335M     NIRCAM-F140M     NIRCAM-F182M     NIRCAM-F070W     NIRCAM-F200W     NIRCAM-F360M     NIRCAM-F460M     NIRCAM-F466N     NIRCAM-F323N     NIRCAM-F430M     NIRCAM-F212N     NIRCAM-F410M     NIRCAM-F300M     NIRCAM-F444W     NIRCAM-F250M     NIRCAM-F277W     NIRCAM-F162M     NIRCAM-F090W     NIRCAM-F164N     NIRCAM-F322W2    NIRCAM-F115W    
# M/Msun           Gyr              K                L/Lsun           R/Rsun           log(g[cm/s^2])  
  0.00050000       1.00000000E-03   598.31821926     -5.44534603      0.17655689       2.64361673       14.40939582      18.23416186      14.49425699      16.83714270      16.30864309      15.31396204      17.14037476      13.00218591      16.65040964      19.48005322      18.18793312      26.91482536      17.02821593      14.57259693      15.27918707      14.68992703      17.28379330      14.14856402      16.11773850      13.26010202      15.35125746      13.64954680      17.69329020      16.32138735      16.54433502      19.94584972      17.96063663      15.06471751      16.50953516     
  0.00050000       1.26638017E-03   573.58170683     -5.54359364      0.17156841       2.66850978       14.66651298      18.70787908      14.81954098      17.20125316      16.71505628      15.67528270      17.49489921      13.22830371      17.07166534      19.97019129      18.71110311      27.25420214      17.45285928      14.91516124      15.60647485      14.98588680      17.75916909      14.38160589      16.54583864      13.52281831      15.66179313      13.89791466      18.14060328      16.65650667      16.90152414      20.38662190      18.60380296      15.38328764      16.84384484     
  0.00050000       1.60371874E-03   548.47255472     -5.64556990      0.16685346       2.69271568       14.91409990      19.20232769      15.14964691      17.58924035      17.14060698      16.02691886      17.86775389      13.45173861      17.49824534      20.48614465      19.25460758      27.56064523      17.89592439      15.26383991      15.92402568      15.27486032      18.24275807      14.60282558      16.99120818      13.78404186      15.98188324      14.14180080      18.59640075      16.99907755      17.27477176      20.86166886      19.26983482      15.70622070      17.20681642     
  0.00050000       2.03091762E-03   523.77650221     -5.74912343      0.16239988       2.71621520       15.16022721      19.72355260      15.47901777      17.98449175      17.58644952      16.38397541      18.24140767      13.67883175      17.92568609      21.01681130      19.81238161      27.80094881      18.35735593      15.61247360      16.24514835      15.57014662      18.73576531      14.82985623      17.45455944      14.04108439      16.31389415      14.38447656      19.06264376      17.35292288      17.64027406      21.34099969      19.93054188      16.02925131      17.57982633     
  0.00050000       2.57191381E-03   498.83091454     -5.85651383      0.15822252       2.73884800       15.34815930      20.26800430      15.84098558      18.41702463      18.02579232      16.65997966      18.64959414      13.92136473      18.39610144      21.61654515      20.39610741      28.00942180      18.81527763      15.99767798      16.48771498      15.79155255      19.28429252      15.03342075      17.91539731      14.30889997      16.66322833      14.61901273      19.55035264      17.72079877      18.03751222      21.88229488      20.69301438      16.37918670      18.00110822     
  0.00050000       3.25702066E-03   476.09368684     -5.95951318      0.15426862       2.76082974       15.51705129      20.82576650      16.22140937      18.86050352      18.46709579      16.90437503      19.06254344      14.17327654      18.89367899      22.24396230      20.99389130      28.24298815      19.27572100      16.40390952      16.69806903      15.98288820      19.87119078      15.22180462      18.37974755      14.58581019      17.01567207      14.85002283      20.05359505      18.09045528      18.43904793      22.43275327      21.50727471      16.74406534      18.43881841     
  0.00050000       4.12462638E-03   453.07421029     -6.06683651      0.15054880       2.78203075       15.72715896      21.50557704      16.61652350      19.35713286      19.02115990      17.21527038      19.52676037      14.45059481      19.41788488      22.93430315      21.68637000      28.52755500      19.84482757      16.82867090      16.96747140      16.22918084      20.51146228      15.45489207      18.95060507      14.88757222      17.43393287      15.11518568      20.62503757      18.52908050      18.88369085      23.04368842      22.32016187      17.13252699      18.92042298     
  0.00050000       5.22334507E-03   432.43059893     -6.16847779      0.14701360       2.80266924       15.93034839      22.18824946      16.99238468      19.84904559      19.58828267      17.49898658      19.98589440      14.69268897      19.91891451      23.61225184      22.37326919      28.67073966      20.42399021      17.23452993      17.21145599      16.45695153      21.13474984      15.67207343      19.53008283      15.16601107      17.84815708      15.36348463      21.18554154      18.96132308      19.32067561      23.59816101      23.08705874      17.50277892      19.39723419     
  0.00050000       6.61474064E-03   411.66116789     -6.27405270      0.14365686       2.82273277       16.09266132      23.02188462      17.41868376      20.42770470      20.30513271      17.67644455      20.51910388      15.01365800      20.49974405      24.41261128      23.21907192      28.95552408      21.15244971      17.69877121      17.38142095      16.63700357      21.87982094      15.83878537      20.24662864      15.47471234      18.33726864      15.60571948      21.84715881      19.47053923      19.82522704      24.24994910      23.94137195      17.92574899      19.95920446     
  0.00050000       8.37677640E-03   393.77499372     -6.37078787      0.14045523       2.84230856       16.22959568      23.72229205      17.81972757      20.96381209      20.87378121      17.83507071      21.03411628      15.31072994      21.03279419      25.16235515      23.91233027      29.28083124      21.73266343      18.13375595      17.51122889      16.75064692      22.57424676      16.03552806      20.82389988      15.76526306      18.77763448      15.84024326      22.41365439      19.92257213      20.31475295      24.85276207      24.78673201      18.31717040      20.48594501     
  0.00050000       1.06081836E-02   379.31246760     -6.45568163      0.13727613       2.86219518       16.34221584      24.40712779      18.17567431      21.44207711      21.45890238      17.92950913      21.48748780      15.56013740      21.51149842      25.83836788      24.59289026      29.26286086      22.32542098      18.52300540      17.59206494      16.83270371      23.21461289      16.16067398      21.41058183      15.99773952      19.18879610      16.01713304      22.94632800      20.34550228      20.74517224      25.26634814      25.49519487      18.66560684      20.95179835     
  0.00050000       1.34339933E-02   364.18249809     -6.54637816      0.13415288       2.88218484       16.48693878      25.22115839      18.56880901      22.01562302      22.18387140      18.07283859      22.01870822      15.83878716      22.04705888      26.61018652      25.39715865      29.72839932      23.05617067      18.95703629      17.72785174      16.97546236      23.94560311      16.31184369      22.13003524      16.26613430      19.67693431      16.22644154      23.56184056      20.84567293      21.25275615      25.86478252      26.27483560      19.05501838      21.51364587     
  0.00050000       1.70125428E-02   349.05002838     -6.63993273      0.13112490       2.90201453       16.44607216      26.10850987      19.00397890      22.66326461      22.96357691      17.82476732      22.64932899      16.16708004      22.63035812      27.49883976      26.28675516      29.74951901      23.84470885      19.43372937      17.53031760      16.83802946      24.75420489      16.34576100      22.89404916      16.52457098      20.25380473      16.34937319      24.21442748      21.43389650      21.85094954      26.33314197      27.14841172      19.48752709      22.14359285     
