# Mass             Age              Teff             Luminosity       Radius           Gravity          NIRCAM-F460M     NIRCAM-F480M     NIRCAM-F322W2    NIRCAM-F356W     NIRCAM-F410M     NIRCAM-F300M     NIRCAM-F250M     NIRCAM-F335M     NIRCAM-F430M     NIRCAM-F444W     NIRCAM-F360M    
# M/Msun           Gyr              K                L/Lsun           R/Rsun           log(g[cm/s^2])  
  0.01400000       1.00000000E-03   2511.22518905    -2.48211268      0.30380643       3.61935003       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.01400000       1.26638017E-03   2486.68244264    -2.56166892      0.28271688       3.68184142       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.01400000       1.60371874E-03   2454.09373418    -2.64626103      0.26334212       3.74350259       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.01400000       2.03091762E-03   2422.75585047    -2.72788140      0.24595976       3.80281583       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.01400000       2.57191381E-03   2386.17738512    -2.81212861      0.23012238       3.86062523       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.01400000       3.25702066E-03   2343.24368674    -2.89872057      0.21599031       3.91567634       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.01400000       4.12462638E-03   2298.33954721    -2.98283840      0.20379076       3.96617537       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.01400000       5.22334507E-03   2257.28298033    -3.05808907      0.19373227       4.01014071       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.01400000       6.61474064E-03   2218.52804075    -3.12379327      0.18594688       4.04576616       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.01400000       8.37677640E-03   2181.46704384    -3.17978044      0.18031848       4.07246245       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.01400000       1.06081836E-02   2148.65201478    -3.22508795      0.17641790       4.09145722       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.01400000       1.34339933E-02   2123.74191211    -3.25925853      0.17361336       4.10537746       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.01400000       1.70125428E-02   2102.03137457    -3.28899961      0.17125652       4.11725066       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.01400000       2.15443469E-02   2081.51511367    -3.31837090      0.16884025       4.12959047       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.01400000       2.72833338E-02   2055.03769923    -3.35624070      0.16583067       4.14521656       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.01400000       3.45510729E-02   2015.77147655    -3.41170922      0.16169170       4.16717183       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.01400000       4.37547938E-02   1949.54048841    -3.50073165      0.15602909       4.19813417       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.01400000       5.54102033E-02   1837.73728897    -3.65096803      0.14769911       4.24578863       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.01400000       7.01703829E-02   1666.67366593    -3.87821295      0.13823710       4.30329497       10.98438659      10.83496287      10.86395978      10.24066168      9.92583004       11.54398915      11.93837310      10.70813087      10.53847094      10.30452791      10.10155503     
  0.01400000       8.88623816E-02   1488.63340488    -4.12721433      0.13009033       4.35605360       11.57319652      11.38589270      11.49479796      10.86862024      10.38815673      12.16814211      12.68254478      11.63447747      11.10762859      10.79608157      10.74634804     
  0.01400000       1.12533558E-01   1322.24603885    -4.37389294      0.12412352       4.39683540       12.14524169      11.91482013      12.25716406      11.67419111      10.91241621      12.80979949      13.48586799      12.79851020      11.62378902      11.31651154      11.63211006     
  0.01400000       1.42510267E-01   1193.69407888    -4.58324609      0.11967858       4.42851043       12.61975631      12.34601816      12.89832618      12.34542710      11.38144671      13.34872523      14.20651443      13.69240440      12.02878502      11.76642559      12.35278928     
  0.01400000       1.80472177E-01   1080.32097468    -4.78170444      0.11627097       4.45359995       13.05005708      12.72852342      13.44900624      12.90294224      11.79823128      13.84715498      14.90054049      14.41758349      12.39489362      12.16632087      12.93935330     
  0.01400000       2.28546386E-01   984.01443343     -4.96440112      0.11356064       4.47408720       13.44591002      13.07453265      13.92934584      13.37980310      12.16114632      14.31193892      15.55142114      15.09319692      12.72680101      12.51776740      13.44317383     
  0.01400000       2.89426612E-01   901.29775196     -5.13393771      0.11136134       4.49107363       13.80462935      13.38172932      14.38077111      13.82083766      12.49840267      14.77273718      16.19723891      15.70557253      13.02702380      12.83971691      13.91557105     
  0.01400000       3.66524124E-01   818.17459756     -5.31603947      0.10958069       4.50507449       14.18001206      13.69926225      14.85810636      14.28581522      12.85627761      15.27550933      16.91236800      16.36843447      13.33873941      13.17668724      14.40816193     
  0.01400000       4.64158883E-01   749.82533360     -5.47921148      0.10812053       4.51672616       14.46883756      13.94231721      15.28151686      14.69641302      13.17193644      15.74276074      17.56588294      16.97617972      13.58072037      13.46170860      14.84454857     
  0.01400000       5.87801607E-01   690.38155230     -5.63273898      0.10687268       4.52680886       14.68165944      14.13476304      15.69070333      15.09240776      13.46945339      16.21627920      18.21699363      17.58294450      13.77221127      13.71621454      15.26913943     
  0.01400000       7.44380301E-01   640.60414979     -5.77196670      0.10574716       4.53600492       14.84565502      14.29816271      16.07018236      15.46110805      13.74274030      16.66234008      18.82687531      18.15212142      13.92639527      13.94358376      15.66689521     
  0.01400000       9.42668455E-01   591.73043657     -5.91812876      0.10474260       4.54429572       14.93685460      14.42272637      16.47872304      15.85703474      14.02404366      17.19288478      19.52766484      18.77828172      14.08542410      14.15949926      16.09964902     
  0.01400000       1.19377664E+00   546.80304340     -6.06262792      0.10386004       4.55164537       15.02266269      14.55135503      16.90709424      16.27377251      14.32283003      17.74640669      20.25692500      19.41679839      14.24351751      14.38710941      16.55544669     
  0.01400000       1.51177507E+00   515.91196780     -6.17060888      0.10302977       4.55861686       15.08977581      14.65915120      17.23129972      16.59131996      14.56099842      18.18138631      20.81862299      19.89918075      14.39102760      14.57081926      16.90158020     
  0.01400000       1.91448198E+00   482.71421891     -6.29294241      0.10223047       4.56538161       15.11951019      14.76422693      17.61793621      16.97368436      14.81287176      18.73479786      21.50433736      20.47908153      14.54559620      14.75282716      17.32658818     
  0.01400000       2.42446202E+00   448.92625392     -6.42532263      0.10148815       4.57171164       15.17783359      14.88934144      18.00175793      17.35332279      15.08715004      19.30401580      22.20392233      21.04390367      14.73665553      14.95714018      17.74851767     
  0.01400000       3.07029063E+00   420.52680234     -6.54479448      0.10079481       4.57766596       15.27039855      15.04770511      18.40328373      17.75212424      15.35638543      19.90849338      22.93215762      21.63316679      14.92288948      15.16194953      18.19399670     
  0.01400000       3.88815518E+00   394.43774378     -6.66170017      0.10014180       4.58331152       15.34667632      15.20282386      18.81485654      18.16473405      15.64739062      20.54437200      23.70095742      22.25957322      15.14257517      15.37665153      18.65861575     
  0.01400000       4.92388263E+00   373.05173289     -6.76409549      0.09950375       4.58886334       15.38057825      15.33831948      19.21817540      18.56698072      15.92620338      21.22030074      24.41873719      22.80561874      15.34550032      15.56206062      19.09803446     
  0.01400000       6.23550734E+00   350.93999263     -6.87569585      0.09888017       4.59432383       15.54228905      15.54303476      19.64320631      18.99941803      16.18596735      21.91601774      25.24281694      23.46889337      15.52772430      15.76679307      19.58894310     
  0.01400000       7.89652287E+00   336.05254232     -6.95645559      0.09825918       4.59979603       15.61748872      15.69036982      19.96966771      19.32910433      16.43232557      22.47338249      25.83464525      23.92913155      15.73152023      15.94573381      19.95221261     
  0.01400000       1.00000000E+01   320.15983874     -7.04628354      0.09762065       4.60545890       15.72397539      15.86920836      20.35414589      19.71566389      16.70513121      23.17119667      26.50952274      24.42887417      15.93668628      16.13623432      20.36460174     
