# Mass             Age              Teff             Luminosity       Radius           Gravity          MIRI-F560W       MIRI-F770W       MIRI-F1000W      MIRI-F1130W      MIRI-F1280W      MIRI-F1500W      MIRI-F1800W      MIRI-F2100W      MIRI-F2550W     
# M/Msun           Gyr              K                L/Lsun           R/Rsun           log(g[cm/s^2])  
  0.04800000       5.87801607E-01   1695.14983437    -4.16038914      0.09656383       5.15002751       11.01128373      10.93774626      10.15711100      10.08372099      10.12710687      10.17751691      10.18293077      10.18069343      10.14644382     
  0.04800000       7.44380301E-01   1583.51132798    -4.30122192      0.09409910       5.17248501       11.24427576      11.19950126      10.32319009      10.22401258      10.26275895      10.31471299      10.32315714      10.32259933      10.28714542     
  0.04800000       9.42668455E-01   1479.67448406    -4.43907354      0.09195240       5.19253011       11.48903613      11.45380281      10.48874500      10.36320222      10.39779525      10.45169404      10.46724061      10.47054373      10.43382261     
  0.04800000       1.19377664E+00   1387.95341679    -4.56853684      0.09003681       5.21081566       11.74618167      11.70584114      10.65750016      10.50886719      10.53916818      10.59510795      10.61980528      10.62870758      10.59108390     
  0.04800000       1.51177507E+00   1285.44122923    -4.71810097      0.08836178       5.22712672       12.05655549      11.99758676      10.86628063      10.69328960      10.71415833      10.76790930      10.79675136      10.81154477      10.77166735     
  0.04800000       1.91448198E+00   1201.33653654    -4.85059992      0.08685683       5.24204770       12.34923005      12.26674520      11.08429390      10.89292278      10.89832268      10.93874708      10.95905047      10.97772764      10.93540163     
  0.04800000       2.42446202E+00   1104.32536204    -5.00988607      0.08556381       5.25507534       12.66387988      12.54650586      11.34098482      11.13499576      11.11692981      11.12764708      11.12329258      11.14428082      11.09795195     
  0.04800000       3.07029063E+00   1028.83372800    -5.14450790      0.08442558       5.26670741       12.94960088      12.79470788      11.58775016      11.37089821      11.33105201      11.30572774      11.26772285      11.28910090      11.23962584     
  0.04800000       3.88815518E+00   951.77455067     -5.29022928      0.08341374       5.27718033       13.25691911      13.05266347      11.85799648      11.62485973      11.56646028      11.49427430      11.41380747      11.43392970      11.38068289     
  0.04800000       4.92388263E+00   885.93394475     -5.42379280      0.08255210       5.28619918       13.53331024      13.29379228      12.10835577      11.85503653      11.78351268      11.66367448      11.54223243      11.56139141      11.50715632     
  0.04800000       6.23550734E+00   836.41142009     -5.53191397      0.08177580       5.29440589       13.76151801      13.49754016      12.30900557      12.03485138      11.95596686      11.79719688      11.64732615      11.66589663      11.61122278     
  0.04800000       7.89652287E+00   792.92888925     -5.63249820      0.08104278       5.30222677       13.98702696      13.69946021      12.49828333      12.20128778      12.11716697      11.92054624      11.74737771      11.76586317      11.71083735     
  0.04800000       1.00000000E+01   753.82770123     -5.72805796      0.08032464       5.30995790       14.20312581      13.89020601      12.67361372      12.35080202      12.26275508      12.03256341      11.84099784      11.85922773      11.80389157     
