# Mass             Age              Teff             Luminosity       Radius           Gravity          MIRI-F560W       MIRI-F770W       MIRI-F1000W      MIRI-F1130W      MIRI-F1280W      MIRI-F1500W      MIRI-F1800W      MIRI-F2100W      MIRI-F2550W     
# M/Msun           Gyr              K                L/Lsun           R/Rsun           log(g[cm/s^2])  
  0.01700000       1.00000000E-03   2591.96877388    -2.35222560      0.33117077       3.62876203       6.97350790       6.89553366       6.71067671       6.68497867       6.67498282       6.65479331       6.62466623       6.59922753       6.56572949      
  0.01700000       1.26638017E-03   2572.79934084    -2.42904190      0.30767777       3.69267333       7.15795002       7.07828910       6.88552528       6.85985377       6.85171087       6.83362488       6.80495333       6.78039661       6.74716504      
  0.01700000       1.60371874E-03   2556.51575843    -2.50158113      0.28664015       3.75419170       7.33430980       7.25312547       7.05288325       7.02736604       7.02113252       7.00522940       6.97806337       6.95443228       6.92152274      
  0.01700000       2.03091762E-03   2531.23772139    -2.57971589      0.26724080       3.81506038       7.51973601       7.43593039       7.22498907       7.19951503       7.19587573       7.18297090       7.15781536       7.13545221       7.10299284      
  0.01700000       2.57191381E-03   2502.89032080    -2.65545816      0.25049921       3.87125247       7.69802010       7.61106783       7.38789747       7.36241626       7.36168956       7.35216745       7.32923145       7.30829898       7.27637452      
  0.01700000       3.25702066E-03   2478.04609709    -2.71969768      0.23733671       3.91813483       7.84981017       7.75990771       7.52536777       7.49994928       7.50199285       7.49568928       7.47479879       7.45521404       7.42383593      
  0.01700000       4.12462638E-03   2457.94514874    -2.76776469      0.22824071       3.95207823       7.96398738       7.87147689       7.62707040       7.60175189       7.60621243       7.60273122       7.58358376       7.56516724       7.53428647      
  0.01700000       5.22334507E-03   2444.03058864    -2.79903209      0.22268749       3.97347205       8.03845384       7.94403259       7.69242270       7.66718760       7.67339112       7.67194963       7.65403299       7.63644911       7.60592521      
  0.01700000       6.61474064E-03   2434.92614332    -2.81861833      0.21935472       3.98656949       8.08518522       7.98947124       7.73300085       7.70782398       7.71519369       7.71512017       7.69801815       7.68098787       7.65070092      
  0.01700000       8.37677640E-03   2427.47138571    -2.83424072      0.21676943       3.99686809       8.12253008       8.02573429       7.76519865       7.74007177       7.74841196       7.74947912       7.73305087       7.71647950       7.68638822      
  0.01700000       1.06081836E-02   2418.11034360    -2.85310348      0.21375575       4.00902942       8.16762961       8.06944728       7.80372512       7.77865978       7.78822982       7.79074673       7.77516827       7.75917696       7.72933152      
  0.01700000       1.34339933E-02   2403.60028568    -2.88164470      0.20934810       4.02712694       8.23600008       8.13561110       7.86163739       7.83667350       7.84819362       7.85301969       7.83878624       7.82371293       7.79425195      
  0.01700000       1.70125428E-02   2377.66577037    -2.92983358      0.20239906       4.05644692       8.35160761       8.24706331       7.95775044       7.93295798       7.94804775       7.95712229       7.94531508       7.93189755       7.90310192      
  0.01700000       2.15443469E-02   2323.06343821    -3.02569826      0.18986712       4.11196428       8.58294958       8.46863653       8.14524016       8.12074398       8.14351591       8.16179532       8.15501854       8.14507646       8.11762250      
  0.01700000       2.72833338E-02   2202.99690774    -3.21679667      0.16942970       4.21088410       9.03826240       8.89548799       8.49849763       8.47328011       8.51030218       8.54598966       8.54752723       8.54364489       8.51793126      
  0.01700000       3.45510729E-02   2019.25343774    -3.46590550      0.15139014       4.30867005       9.57141857       9.38738318       8.89539167       8.86310084       8.90986575       8.96003023       8.96659854       8.96716600       8.94127799      
  0.01700000       4.37547938E-02   1852.39109166    -3.68316654      0.14008151       4.37610362       9.97908533       9.79988701       9.20269262       9.15711273       9.20520516       9.25923978       9.26301096       9.26197978       9.23204160      
  0.01700000       5.54102033E-02   1693.23140950    -3.88923258      0.13224599       4.42609905       10.30756756      10.18206591      9.46187406       9.39410967       9.43598416       9.48611211       9.48385899       9.47999722       9.44643020      
  0.01700000       7.01703829E-02   1557.97069589    -4.07248534      0.12649657       4.46470717       10.59229093      10.52325364      9.68356002       9.58627955       9.61971678       9.66743909       9.66230075       9.65859548       9.62298228      
  0.01700000       8.88623816E-02   1425.55398479    -4.25793704      0.12203824       4.49587245       10.89912282      10.86198765      9.90167568       9.76547533       9.79109957       9.83931111       9.83768348       9.83667075       9.80007829      
  0.01700000       1.12533558E-01   1323.33564420    -4.41252861      0.11853223       4.52119098       11.18370740      11.15482343      10.08944058      9.92053598       9.94102993       9.99037196       10.00134924      10.00740583      9.97110923      
  0.01700000       1.42510267E-01   1230.81831551    -4.56066772      0.11553543       4.54343355       11.48605166      11.44924922      10.28136747      10.08319438      10.09969545      10.15229888      10.17772999      10.19292239      10.15643035     
  0.01700000       1.80472177E-01   1139.61068386    -4.71410224      0.11294451       4.56313325       11.82377900      11.76735317      10.50837466      10.28271813      10.29075606      10.34086013      10.37020179      10.39328162      10.35447914     
  0.01700000       2.28546386E-01   1055.44726932    -4.86439671      0.11075176       4.58016228       12.15431826      12.06567449      10.75859721      10.51312390      10.50436251      10.53657073      10.54876667      10.57585193      10.53427306     
  0.01700000       2.89426612E-01   978.76199580     -5.01034370      0.10886844       4.59505984       12.48203283      12.35293290      11.02294322      10.76247916      10.73405582      10.73719018      10.72052832      10.74937888      10.70399352     
