# Mass             Age              Teff             Luminosity       Radius           Gravity          MKO_Y            MKO_J            MKO_H            MKO_K            MKO_Lp           MKO_Mp           W1               W2               W3               W4               IRAC_CH1         IRAC_CH2        
# M/Msun           Gyr              K                L/Lsun           R/Rsun           log(g[cm/s^2])  
  0.03000000       4.64158883E-01   1271.87660173    -4.62250648      0.10075917       4.90896661       14.88041736      13.57826287      13.58853599      13.69322809      12.12480307      12.41536247      13.33150259      12.05116181      10.73183286      10.54063347      12.86402440      12.02592526     
  0.03000000       5.87801607E-01   1199.26746364    -4.74113579      0.09886177       4.92547890       15.07201030      13.80698654      13.99601183      14.06177254      12.40985388      12.61887716      13.66858124      12.25226159      10.88039081      10.66862738      13.19238017      12.23598224     
  0.03000000       7.44380301E-01   1091.54767540    -4.91900345      0.09723847       4.93985940       15.40944998      14.20348345      14.57629068      14.60744631      12.79595104      12.90978879      14.14456384      12.53488283      11.08921519      10.84326052      13.63905832      12.52821314     
  0.03000000       9.42668455E-01   1014.36405016    -5.05896072      0.09584638       4.95238441       15.70868911      14.54158724      15.00611820      15.04254450      13.09408328      13.10839924      14.53036752      12.73866809      11.26127753      10.98394880      13.98976589      12.73695010     
  0.03000000       1.19377664E+00   945.05997191     -5.19316533      0.09460918       4.96366914       16.02298700      14.88508823      15.40462716      15.47821994      13.37514486      13.26627798      14.89548197      12.91670702      11.43159886      11.11889508      14.32073209      12.91791472     
  0.03000000       1.51177507E+00   879.06480641     -5.32928434      0.09348526       4.97404933       16.37560194      15.25655515      15.80906846      15.95018722      13.66300764      13.40401183      15.26952801      13.08881676      11.61318456      11.25775877      14.65813144      13.09138731     
  0.03000000       1.91448198E+00   813.25247018     -5.47406207      0.09245796       4.98364686       16.78202221      15.66783986      16.24324671      16.49675675      13.96672656      13.51039285      15.67198301      13.25514080      11.81610904      11.40550084      15.01284345      13.25671548     
  0.03000000       2.42446202E+00   751.49362316     -5.61977415      0.09155508       4.99217062       17.21307743      16.08842923      16.68320413      17.09791971      14.27091852      13.60707421      16.08509181      13.42182631      12.03149859      11.55381581      15.37041567      13.42141068     
  0.03000000       3.07029063E+00   696.84788501     -5.75856362      0.09075551       4.99978951       17.64496001      16.50470578      17.11834062      17.71510199      14.56555833      13.70428432      16.48643965      13.58999004      12.24801806      11.69605603      15.71672293      13.58745038     
  0.03000000       3.88815518E+00   653.14828061     -5.87821115      0.09001099       5.00694443       18.03416853      16.87922831      17.50910997      18.27105967      14.81856745      13.78063588      16.83179205      13.73577401      12.44478462      11.82037906      16.01427283      13.73048970     
  0.03000000       4.92388263E+00   608.56286195     -6.00775835      0.08931625       5.01367453       18.48936074      17.32394403      17.97837923      18.94492536      15.10258533      13.89185923      17.22184806      13.91024209      12.67151859      11.95612958      16.34929383      13.90168037     
  0.03000000       6.23550734E+00   567.53913695     -6.13517051      0.08868572       5.01982814       18.97549852      17.81602746      18.50773586      19.70984215      15.40624833      14.04923256      17.63874548      14.10739150      12.91089562      12.09342378      16.70695318      14.09555292     
  0.03000000       7.89652287E+00   532.69767448     -6.25085585      0.08811232       5.02546224       19.40865664      18.27711291      18.99687164      20.41620446      15.69031421      14.16544964      18.02346599      14.28390092      13.13394715      12.21657085      17.03636615      14.26933196     
  0.03000000       1.00000000E+01   502.71280097     -6.35676488      0.08757837       5.03074172       19.82585509      18.74398019      19.46481290      21.07422838      15.95047322      14.29510407      18.35921651      14.46118169      13.33538803      12.32210623      17.32914739      14.44628817     
