# Mass             Age              Teff             Luminosity       Radius           Gravity          MKO_Y            MKO_J            MKO_H            MKO_K            MKO_Lp           MKO_Mp           W1               W2               W3               W4               IRAC_CH1         IRAC_CH2        
# M/Msun           Gyr              K                L/Lsun           R/Rsun           log(g[cm/s^2])  
  0.00400000       1.00000000E-03   1692.58907953    -3.54117917      0.19757568       3.44900878       12.55215052      11.27617044      10.79879068      10.20834830      9.12351640       9.89385728       9.73517031       9.67663899       8.67824716       8.63864093       9.38608036       9.61817407      
  0.00400000       1.26638017E-03   1631.79667616    -3.64470778      0.18868392       3.48900645       12.83947314      11.53218704      11.03581550      10.47463535      9.32119291       10.16885316      9.96536002       9.92842931       8.84906091       8.80657166       9.60033730       9.86585379      
  0.00400000       1.60371874E-03   1561.66838931    -3.75892351      0.18063126       3.52689069       13.14725906      11.80975293      11.29389210      10.78083389      9.54506550       10.46279687      10.23701291      10.19940532      9.02559203       8.97251351       9.85086290       10.13387871     
  0.00400000       2.03091762E-03   1486.33402369    -3.87981813      0.17349461       3.56190260       13.44526857      12.09361609      11.56767456      11.13054776      9.80541235       10.76707478      10.56809415      10.48159624      9.20526276       9.13311211       10.15151391      10.41571305     
  0.00400000       2.57191381E-03   1410.60594087    -4.00288409      0.16717588       3.59412708       13.69661804      12.36724165      11.85444326      11.52262942      10.10526638      11.07079002      10.95938947      10.76572851      9.38493642       9.28488191       10.50432697      10.70355102     
  0.00400000       3.25702066E-03   1334.80637166    -4.12836913      0.16158946       3.62365034       13.93431049      12.63279409      12.17099100      11.97770683      10.45924756      11.38454702      11.42356040      11.05298707      9.56711011       9.43298859       10.92561307      10.99901137     
  0.00400000       4.12462638E-03   1265.45906544    -4.24818870      0.15661841       3.65079074       14.13410585      12.86162748      12.49171187      12.42665614      10.81888503      11.67030601      11.87907160      11.31464972      9.73713536       9.56963236       11.35098040      11.27229820     
  0.00400000       5.22334507E-03   1197.89061686    -4.36892495      0.15210051       3.67621381       14.32163265      13.07870980      12.84568882      12.87555324      11.18659821      11.94764250      12.32385194      11.56240758      9.90077970       9.70119035       11.78218491      11.53471875     
  0.00400000       6.61474064E-03   1131.55936827    -4.49150690      0.14802280       3.69981890       14.52231586      13.32327788      13.25029668      13.29837940      11.52746285      12.24097003      12.71340311      11.81451929      10.06177440      9.83539657       12.17272279      11.80068574     
  0.00400000       8.37677640E-03   1067.61786395    -4.61435112      0.14435229       3.72162869       14.72517794      13.58392028      13.67586093      13.70658484      11.85791328      12.52983900      13.08633632      12.05735357      10.21901327      9.96703404       12.55094383      12.05703732     
  0.00400000       1.06081836E-02   1005.91822821    -4.73801280      0.14102619       3.74187621       14.93737572      13.85678201      14.10343814      14.10086240      12.18798838      12.80848913      13.46706752      12.28651617      10.37102467      10.09237187      12.93502656      12.30024585     
  0.00400000       1.34339933E-02   946.96762981     -4.86170624      0.13800856       3.76066286       15.19783603      14.14257221      14.52595986      14.49612220      12.50105080      13.10991885      13.84760179      12.52921151      10.52867787      10.22337410      13.30103075      12.55494731     
  0.00400000       1.70125428E-02   888.14116296     -4.99048539      0.13527784       3.77802144       15.49079250      14.45980176      14.95085568      14.90570185      12.82036015      13.42817645      14.23804343      12.77913548      10.69086643      10.35778747      13.67644391      12.81662793     
  0.00400000       2.15443469E-02   832.74739407     -5.11838451      0.13280811       3.79402603       15.78993069      14.79821604      15.34298219      15.30949984      13.12166835      13.73628391      14.59709265      13.01639190      10.84748261      10.48620822      14.02828410      13.06613764     
  0.00400000       2.72833338E-02   779.72054908     -5.24734081      0.13058147       3.80871169       16.11048793      15.15663057      15.74186143      15.72798807      13.43008804      14.03669543      14.96284729      13.24431747      11.00318427      10.61148005      14.38868513      13.30868889     
  0.00400000       3.45510729E-02   729.61969568     -5.37634004      0.12855030       3.82232857       16.45312762      15.52781159      16.14462415      16.16877223      13.74168793      14.31640478      15.34028813      13.46579021      11.16305933      10.73762910      14.75237667      13.54413351     
  0.00400000       4.37547938E-02   680.09427064     -5.51098665      0.12670848       3.83486341       16.82670994      15.92342006      16.56663637      16.65542480      14.06778925      14.58072398      15.74359209      13.69051322      11.33273522      10.86881698      15.13173548      13.78071890     
  0.00400000       5.54102033E-02   632.19649688     -5.64928946      0.12505070       3.84630230       17.24590240      16.35764597      17.02929687      17.20598631      14.41644126      14.82959965      16.17633309      13.91740617      11.51263904      11.00312960      15.53535207      14.01904250     
  0.00400000       7.01703829E-02   589.90834173     -5.77994787      0.12356314       3.85669659       17.68438158      16.79586667      17.49785684      17.79947606      14.75538875      15.00582398      16.60918556      14.10959695      11.70315038      11.13678629      15.93144840      14.21693899     
  0.00400000       8.88623816E-02   555.92552344     -5.89293719      0.12215905       3.86662323       18.08770130      17.19507878      17.92319510      18.34940733      15.06091621      15.12618828      17.00536648      14.27465038      11.87607332      11.25661067      16.29374590      14.38432042     
  0.00400000       1.12533558E-01   521.13079995     -6.01469243      0.12083341       3.87610020       18.54316777      17.64036823      18.38867661      18.97411819      15.38665063      15.21047071      17.43071741      14.44211538      12.06756115      11.38116056      16.67776184      14.54952022     
  0.00400000       1.42510267E-01   487.85574761     -6.13821061      0.11960196       3.88499788       19.07758434      18.16146465      18.91441432      19.69590560      15.73677321      15.21532888      17.89896581      14.59680589      12.28084247      11.51309110      17.09469024      14.69453006     
  0.00400000       1.80472177E-01   456.54044141     -6.26189043      0.11844748       3.89342264       19.68040995      18.74966203      19.48680639      20.51118289      16.10858513      15.22307472      18.40205951      14.76154437      12.51476494      11.65240891      17.54002415      14.84893747     
  0.00400000       2.28546386E-01   429.08191090     -6.37765353      0.11736241       3.90141635       20.30278428      19.36829203      20.06356335      21.32862492      16.45783720      15.23250406      18.88496593      14.91516746      12.74411155      11.78161902      17.96345056      14.98979239     
