# Mass             Age              Teff             Luminosity       Radius           Gravity          NIRISS-F480M     NIRISS-F277W     NIRISS-F430M     NIRISS-F380M    
# M/Msun           Gyr              K                L/Lsun           R/Rsun           log(g[cm/s^2])  
  0.05500000       1.00000000E-03   2963.53458567    -1.55781729      0.63225168       3.57699748       5.32700073       5.81930227       5.28834495       5.26347451      
  0.05500000       1.26638017E-03   2963.53458567    -1.57410253      0.62051274       3.59327599       5.36787282       5.86008386       5.32920063       5.30437814      
  0.05500000       1.60371874E-03   2963.53458567    -1.58429181      0.61327497       3.60346696       5.39346674       5.88562099       5.35477799       5.32997935      
  0.05500000       2.03091762E-03   2963.53458567    -1.59680303      0.60451133       3.61596846       5.42487060       5.91695485       5.38615494       5.36137918      
  0.05500000       2.57191381E-03   2963.52850488    -1.61662971      0.59088055       3.63577766       5.47465146       5.96662572       5.43587874       5.41112529      
  0.05500000       3.25702066E-03   2963.39811300    -1.65464512      0.56561315       3.67373810       5.57017774       6.06197611       5.53125232       5.50649725      
  0.05500000       4.12462638E-03   2962.44298027    -1.75433883      0.50460458       3.77287460       5.82046417       6.31193112       5.78080023       5.75575293      
  0.05500000       5.22334507E-03   2962.71584392    -1.89996939      0.42664384       3.91864637       6.18809332       6.67834960       6.14648734       6.12045464      
  0.05500000       6.61474064E-03   2959.46705255    -2.02030201      0.37226309       4.03707990       6.49016183       6.98046895       6.44629219       6.41875272      
  0.05500000       8.37677640E-03   2948.91223232    -2.12818557      0.33114100       4.13875318       6.75655090       7.24927490       6.70966381       6.67979378      
  0.05500000       1.06081836E-02   2937.79216482    -2.22592967      0.29814441       4.22992504       6.99763926       7.49286591       6.94731221       6.91471151      
  0.05500000       1.34339933E-02   2926.19284674    -2.31672485      0.27067612       4.31387734       7.22154938       7.71935063       7.16744327       7.13175470      
  0.05500000       1.70125428E-02   2910.45784087    -2.40540501      0.24705531       4.39319112       7.43790434       7.93961870       7.37941167       7.33991832      
  0.05500000       2.15443469E-02   2892.26607268    -2.49148728      0.22657188       4.46836634       7.64710960       8.15347539       7.58347635       7.53928873      
  0.05500000       2.72833338E-02   2873.94483458    -2.57428374      0.20860867       4.54011407       7.84904358       8.35998973       7.77965121       7.73007609      
  0.05500000       3.45510729E-02   2840.75837100    -2.66365519      0.19263447       4.60931084       8.06037559       8.58098406       7.98268704       7.92468314      
  0.05500000       4.37547938E-02   2808.39202172    -2.74968933      0.17851072       4.67545128       8.26555891       8.79546062       8.17849725       8.11108549      
  0.05500000       5.54102033E-02   2769.96121956    -2.83740768      0.16587066       4.73924003       8.47452529       9.01534725       8.37525368       8.29595701      
  0.05500000       7.01703829E-02   2723.33727815    -2.92816602      0.15457374       4.80050772       8.69192968       9.24601406       8.57593978       8.48066218      
  0.05500000       8.88623816E-02   2669.33382885    -3.02161727      0.14448096       4.85915790       8.92020486       9.48921627       8.78090491       8.66428102      
  0.05500000       1.12533558E-01   2607.03037277    -3.11841413      0.13549522       4.91493153       9.15890601       9.74533182       8.99115782       8.84761527      
  0.05500000       1.42510267E-01   2532.85509006    -3.22171728      0.12745385       4.96807297       9.42531439       10.02946876      9.21534771       9.03388473      
  0.05500000       1.80472177E-01   2450.82173111    -3.32872748      0.12034773       5.01790340       9.71433122       10.33340427      9.44867364       9.21894674      
  0.05500000       2.28546386E-01   2353.11252397    -3.44560096      0.11411324       5.06410643       10.03059190      10.66414257      9.69728565       9.40929789      
  0.05500000       2.89426612E-01   2240.68349301    -3.57236015      0.10876268       5.10581746       10.34749168      11.00403231      9.95454133       9.60561453      
  0.05500000       3.66524124E-01   2130.80452755    -3.69714117      0.10417562       5.14324517       10.62484537      11.32310050      10.19984071      9.79873626      
  0.05500000       4.64158883E-01   2012.55644060    -3.83003246      0.10021179       5.17694064       10.87937459      11.65144073      10.44686170      10.00716608     
  0.05500000       5.87801607E-01   1890.69162875    -3.96844433      0.09681944       5.20685229       11.10554467      11.99109207      10.69477904      10.24365572     
  0.05500000       7.44380301E-01   1767.54146758    -4.11160759      0.09394899       5.23299375       11.30598515      12.34966512      10.94315504      10.53789479     
  0.05500000       9.42668455E-01   1653.10412460    -4.25103912      0.09147695       5.25615434       11.48454813      12.71460885      11.18490541      10.89121409     
  0.05500000       1.19377664E+00   1542.21070315    -4.39226266      0.08933068       5.27677591       11.63908894      13.11590115      11.41203824      11.31079187     
  0.05500000       1.51177507E+00   1446.43846016    -4.52221059      0.08744398       5.29531722       11.76968703      13.51025526      11.60229385      11.72405605     
  0.05500000       1.91448198E+00   1347.12193095    -4.66279397      0.08574742       5.31233490       11.90027427      13.98255595      11.80066817      12.12114199     
  0.05500000       2.42446202E+00   1250.20137277    -4.80762456      0.08426413       5.32749145       12.04546178      14.48066205      12.00927416      12.47858636     
  0.05500000       3.07029063E+00   1163.41074599    -4.94615002      0.08296240       5.34101432       12.19953487      14.93254482      12.21391608      12.75958907     
  0.05500000       3.88815518E+00   1083.77893023    -5.08126665      0.08182818       5.35297110       12.35433319      15.35444997      12.41200302      13.00843558     
  0.05500000       4.92388263E+00   1012.50885811    -5.21031201      0.08081207       5.36382451       12.52164509      15.78204876      12.61509035      13.25132265     
  0.05500000       6.23550734E+00   950.23011503     -5.33027918      0.07991560       5.37351378       12.67941783      16.16750572      12.79705853      13.46221000     
  0.05500000       7.89652287E+00   898.74540136     -5.43604913      0.07908984       5.38253554       12.82142485      16.50929150      12.95785136      13.65217378     
  0.05500000       1.00000000E+01   855.23275087     -5.53125517      0.07827588       5.39152102       12.95419098      16.82671442      13.10473141      13.82240300     
