# Mass             Age              Teff             Luminosity       Radius           Gravity          MIRI-F560W       MIRI-F770W       MIRI-F1000W      MIRI-F1130W      MIRI-F1280W      MIRI-F1500W      MIRI-F1800W      MIRI-F2100W      MIRI-F2550W     
# M/Msun           Gyr              K                L/Lsun           R/Rsun           log(g[cm/s^2])  
  0.01000000       1.00000000E-03   2336.63779778    -2.72871098      0.26417258       3.59464161       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.01000000       1.26638017E-03   2299.85270174    -2.81470872      0.24698150       3.65308818       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.01000000       1.60371874E-03   2258.39862612    -2.90364494      0.23120960       3.71040530       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.01000000       2.03091762E-03   2212.81619592    -2.99475584      0.21684823       3.76610419       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.01000000       2.57191381E-03   2152.73205709    -3.09599734      0.20391639       3.81951258       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.01000000       3.25702066E-03   2083.86829404    -3.20266433      0.19246376       3.86971865       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.01000000       4.12462638E-03   2015.85776807    -3.30765801      0.18225487       3.91705839       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.01000000       5.22334507E-03   1938.87701735    -3.41964863      0.17317794       3.96143106       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.01000000       6.61474064E-03   1856.80663105    -3.53593814      0.16516550       4.00257775       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.01000000       8.37677640E-03   1769.43036233    -3.65754816      0.15811838       4.04045045       9.88513227       9.63211619       9.01804956       8.96568091       9.02031482       9.09327550       9.09922043       9.10570428       9.07946744      
  0.01000000       1.06081836E-02   1678.48705199    -3.78361484      0.15197973       4.07484471       10.11851907      9.85946103       9.19209242       9.12747757       9.18075169       9.25793675       9.26293536       9.27061978       9.24283361      
  0.01000000       1.34339933E-02   1590.47011843    -3.90850879      0.14659792       4.10615941       10.33670293      10.08691490      9.36223211       9.28096155       9.32975073       9.40844833       9.41174185       9.42020207       9.39045622      
  0.01000000       1.70125428E-02   1511.34062409    -4.02612333      0.14179034       4.13512252       10.53737453      10.30718796      9.52416514       9.42426223       9.46625942       9.54411144       9.54576970       9.55499911       9.52364818      
  0.01000000       2.15443469E-02   1406.14337241    -4.17739940      0.13761818       4.16106389       10.80059690      10.60015764      9.72538890       9.59530788       9.62693831       9.70526087       9.70405458       9.71552076       9.68210548      
  0.01000000       2.72833338E-02   1327.09857213    -4.30105066      0.13399957       4.18420852       11.03338774      10.84885950      9.89917569       9.74545939       9.76768552       9.84515318       9.84125004       9.85523188       9.82007692      
  0.01000000       3.45510729E-02   1249.51090939    -4.42707345      0.13074220       4.20558299       11.25742843      11.08617570      10.06157134      9.88598856       9.89954831       9.97511465       9.96918470       9.98611916       9.94955433      
  0.01000000       4.37547938E-02   1173.56319954    -4.55563067      0.12782157       4.22520713       11.49016438      11.32580139      10.22524889      10.02835050      10.03291695      10.10526873      10.09690473      10.11751431      10.07983276     
  0.01000000       5.54102033E-02   1099.03693971    -4.68767123      0.12519145       4.24326591       11.74698342      11.57952422      10.39838941      10.18126458      10.17624684      10.24353971      10.23247619      10.25734080      10.21877805     
  0.01000000       7.01703829E-02   1030.07355230    -4.81679100      0.12282799       4.25982046       11.98748784      11.81271322      10.55770964      10.32340788      10.30977043      10.37059485      10.35629911      10.38476407      10.34538576     
  0.01000000       8.88623816E-02   965.38275806     -4.94471555      0.12069222       4.27505655       12.24087671      12.05615330      10.72274090      10.47010816      10.44781455      10.49966203      10.48142757      10.51359560      10.47404524     
  0.01000000       1.12533558E-01   902.51373462     -5.07586221      0.11873970       4.28922310       12.52128715      12.31898092      10.90032811      10.62819818      10.59722577      10.63691936      10.61446231      10.65069898      10.61111397     
  0.01000000       1.42510267E-01   836.47489490     -5.22072101      0.11699521       4.30207866       12.82548699      12.60350320      11.09270275      10.80190479      10.76122260      10.78146851      10.75437463      10.79459504      10.75522721     
  0.01000000       1.80472177E-01   775.15598005     -5.36445060      0.11545982       4.31355279       13.13477090      12.88920180      11.29013541      10.98177705      10.93157743      10.92742706      10.89214893      10.93537229      10.89690332     
  0.01000000       2.28546386E-01   719.97032287     -5.50314983      0.11408589       4.32395059       13.44682992      13.17438923      11.48922474      11.16409330      11.10503166      11.07040854      11.02814897      11.07312594      11.03599881     
  0.01000000       2.89426612E-01   672.17549245     -5.63198554      0.11284584       4.33344349       13.74879454      13.44905581      11.68709115      11.34098083      11.27660313      11.20839886      11.15836634      11.20334224      11.16761308     
  0.01000000       3.66524124E-01   627.50342319     -5.76035426      0.11169271       4.34236489       14.07188996      13.74227187      11.90907680      11.53647494      11.46763127      11.35981210      11.29719044      11.33941857      11.30496601     
  0.01000000       4.64158883E-01   583.01902447     -5.89637941      0.11063156       4.35065636       14.42605855      14.05784425      12.16542149      11.75758694      11.68433531      11.53122228      11.44742557      11.48241466      11.44919221     
  0.01000000       5.87801607E-01   542.65389833     -6.02864950      0.10966248       4.35829807       14.78166600      14.36963117      12.43065392      11.98643088      11.90285992      11.70438035      11.59894147      11.62251425      11.58961063     
  0.01000000       7.44380301E-01   511.08744082     -6.14005225      0.10874736       4.36557688       15.10165206      14.63560879      12.67964702      12.19929206      12.10359542      11.86632453      11.73706156      11.74618488      11.71213149     
  0.01000000       9.42668455E-01   479.21127846     -6.25890625      0.10787651       4.37256052       15.42816155      14.90649048      12.93095590      12.42317956      12.31878448      12.03259574      11.87793085      11.86976677      11.83333115     
  0.01000000       1.19377664E+00   447.54231994     -6.38426073      0.10705817       4.37917465       15.81159622      15.22817451      13.25860536      12.69909704      12.57568916      12.23671307      12.05057280      12.01548579      11.97440204     
