# Mass             Age              Teff             Luminosity       Radius           Gravity          NIRCAM-F460M     NIRCAM-F480M     NIRCAM-F322W2    NIRCAM-F356W     NIRCAM-F410M     NIRCAM-F300M     NIRCAM-F250M     NIRCAM-F335M     NIRCAM-F430M     NIRCAM-F444W     NIRCAM-F360M    
# M/Msun           Gyr              K                L/Lsun           R/Rsun           log(g[cm/s^2])  
  0.05600000       5.87801607E-01   1916.98857050    -3.94389515      0.09688115       5.21412429       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.05600000       7.44380301E-01   1792.04427363    -4.08763636      0.09395308       5.24078123       11.56332557      11.43468852      11.56785527      11.01903364      10.54155014      12.09745064      12.47886264      11.60814505      10.97436860      10.89589471      10.88802724     
  0.05600000       9.42668455E-01   1677.79368474    -4.22559025      0.09144427       5.26429022       11.85021707      11.70627299      11.95720669      11.43068583      10.78519070      12.44155760      12.87337329      12.22612152      11.23082121      11.14675453      11.33051660     
  0.05600000       1.19377664E+00   1565.90889992    -4.36642715      0.08926479       5.28524249       12.13389859      11.97405208      12.38005827      11.87678084      11.05836223      12.81304234      13.31426342      12.85539192      11.49852198      11.41622314      11.82438877     
  0.05600000       1.51177507E+00   1466.65922671    -4.49896350      0.08735532       5.30402389       12.40070255      12.22416552      12.78030206      12.29363058      11.33638113      13.16812154      13.75597981      13.39687326      11.75779402      11.68341019      12.28164658     
  0.05600000       1.91448198E+00   1371.47619310    -4.63279524      0.08563577       5.32129184       12.65427670      12.46142258      13.16878222      12.68286440      11.61864223      13.53196065      14.22137194      13.89509841      12.00956199      11.94911566      12.69082138     
  0.05600000       2.42446202E+00   1269.88890067    -4.78191301      0.08412690       5.33673254       12.92279840      12.70995804      13.57644724      13.08133238      11.91904965      13.93029965      14.74511532      14.41765119      12.27587563      12.23061682      13.10268865     
  0.05600000       3.07029063E+00   1183.97518642    -4.91739569      0.08280279       5.35051241       13.14228638      12.91576254      13.92863156      13.41517127      12.17285930      14.29578519      15.23305832      14.87491997      12.49038150      12.46561835      13.44993934     
  0.05600000       3.88815518E+00   1102.25502767    -5.05383704      0.08164798       5.36271138       13.33774691      13.10006773      14.26098383      13.72743819      12.41011225      14.65172115      15.71195716      15.31243618      12.68439242      12.68221479      13.77713087     
  0.05600000       4.92388263E+00   1032.13551498    -5.17911077      0.08061316       5.37379033       13.49700694      13.25263642      14.56225601      14.00958356      12.62206439      14.98692865      16.16222460      15.72790421      12.84955994      12.87137113      14.07353025     
  0.05600000       6.23550734E+00   968.36393576     -5.29985271      0.07969215       5.38377118       13.61321610      13.37609046      14.84420887      14.27116515      12.81767323      15.32032119      16.60832515      16.12400312      12.99452978      13.03852692      14.34865222     
  0.05600000       7.89652287E+00   915.38673519     -5.40688742      0.07884456       5.39305875       13.71271369      13.48442984      15.09449571      14.50417599      12.99293251      15.62072115      17.01076983      16.47528069      13.12245050      13.18710995      14.59508633     
  0.05600000       1.00000000E+01   870.17006914     -5.50403986      0.07801773       5.40221567       13.80255933      13.58146918      15.32707743      14.72170441      13.15555681      15.90181129      17.38712458      16.80483533      13.23405471      13.32394886      14.82536448     
