# Mass             Age              Teff             Luminosity       Radius           Gravity          NIRCAM-F460M     NIRCAM-F480M     NIRCAM-F322W2    NIRCAM-F356W     NIRCAM-F410M     NIRCAM-F300M     NIRCAM-F250M     NIRCAM-F335M     NIRCAM-F430M     NIRCAM-F444W     NIRCAM-F360M    
# M/Msun           Gyr              K                L/Lsun           R/Rsun           log(g[cm/s^2])  
  0.02700000       5.87801607E-01   1085.24260048    -4.90661960      0.09978654       4.87163463       11.96240456      11.94002848      14.09425243      13.65346794      12.12040416      14.29410877      15.41089189      15.16361083      12.04381984      12.05433086      13.71954507     
  0.02700000       7.44380301E-01   1007.77540035    -5.04809809      0.09832332       4.88446498       12.11198657      12.11285073      14.44744649      13.96128568      12.37205065      14.73358365      15.92624490      15.61397468      12.26658636      12.26547037      14.03731545     
  0.02700000       9.42668455E-01   938.47246991     -5.18336536      0.09702935       4.89597207       12.26535696      12.28605382      14.76900463      14.23961753      12.60949247      15.16147088      16.40109481      15.99577659      12.48296974      12.46901602      14.32362681     
  0.02700000       1.19377664E+00   874.45499006     -5.31664059      0.09586120       4.90649244       12.42419154      12.45736920      15.06355220      14.49915372      12.83625816      15.57747292      16.83981027      16.35253486      12.69168023      12.66624504      14.57988220     
  0.02700000       1.51177507E+00   809.90784005     -5.45959365      0.09478829       4.91626868       12.60636609      12.65318531      15.38359692      14.78084071      13.08351529      16.06036548      17.33479383      16.77270004      12.92284092      12.88590452      14.86828314     
  0.02700000       1.91448198E+00   746.99641840     -5.60882105      0.09383764       4.92502380       12.79855037      12.86237708      15.71454810      15.07786787      13.34095448      16.57548410      17.85939192      17.23506764      13.16208619      13.11550649      15.17210999     
  0.02700000       2.42446202E+00   692.39968612     -5.74841673      0.09300424       4.93277248       12.99870805      13.06890178      16.02592881      15.36395605      13.58231593      17.06501323      18.37240248      17.70605967      13.37651107      13.33322755      15.46715205     
  0.02700000       3.07029063E+00   648.98021310     -5.86817565      0.09223127       4.94002159       13.16529258      13.24716051      16.31331993      15.63202066      13.80660380      17.51753255      18.85900997      18.15674275      13.57699256      13.53037562      15.74619669     
  0.02700000       3.88815518E+00   604.55332010     -5.99823435      0.09150508       4.94688756       13.35334816      13.43067895      16.63774847      15.94115418      14.05822863      18.03666597      19.44031640      18.68696244      13.79663198      13.74745038      16.07650707     
  0.02700000       4.92388263E+00   561.56372827     -6.13269132      0.09083846       4.95323848       13.56563604      13.65426424      16.99882431      16.28906696      14.33644280      18.61100648      20.10488953      19.28196097      14.03316256      13.98742390      16.45070668     
  0.02700000       6.23550734E+00   524.88515410     -6.25589766      0.09023102       4.95906622       13.76537971      13.87250583      17.34775712      16.63120001      14.59971722      19.15679001      20.74424781      19.83140758      14.26107695      14.21814663      16.81905951     
  0.02700000       7.89652287E+00   492.47162067     -6.37204986      0.08966810       4.96450210       13.97967701      14.10518368      17.68669094      16.96895927      14.85918372      19.68547095      21.40580869      20.35571689      14.47286312      14.44825360      17.19163143     
  0.02700000       1.00000000E+01   464.43253473     -6.47900797      0.08914179       4.96961529       14.18601299      14.33546248      18.03103938      17.31238826      15.12342606      20.22021580      22.06697890      20.87971659      14.69245782      14.67952601      17.57110336     
