# Mass             Age              Teff             Luminosity       Radius           Gravity          NIRCAM-F460M     NIRCAM-F480M     NIRCAM-F322W2    NIRCAM-F356W     NIRCAM-F410M     NIRCAM-F300M     NIRCAM-F250M     NIRCAM-F335M     NIRCAM-F430M     NIRCAM-F444W     NIRCAM-F360M    
# M/Msun           Gyr              K                L/Lsun           R/Rsun           log(g[cm/s^2])  
  0.00900000       1.00000000E-03   2277.79850054    -2.80809720      0.25371061       3.58398171       8.07847461       8.04529410       8.42869975       8.06156642       7.79913221       8.76544907       8.84214588       8.26159372       7.94089827       7.92163928       7.97277404      
  0.00900000       1.26638017E-03   2237.00986508    -2.89705583      0.23744328       3.64153944       8.32082589       8.28097064       8.63975116       8.25250792       7.98590923       9.00095928       9.08128105       8.46267762       8.15165685       8.12985786       8.16057810      
  0.00900000       1.60371874E-03   2190.57218495    -2.98942902      0.22263715       3.69746408       8.57603264       8.52708917       8.85566601       8.44573802       8.17581522       9.24348797       9.33269536       8.66663250       8.36926302       8.34396467       8.35071700      
  0.00900000       2.03091762E-03   2130.02162665    -3.09149371      0.20936981       3.75083099       8.85793439       8.79780432       9.08607670       8.64852712       8.37620401       9.50468689       9.61308655       8.88197529       8.60579314       8.57368149       8.55027206      
  0.00900000       2.57191381E-03   2065.78294840    -3.19512150      0.19755781       3.80127088       9.14286616       9.07057670       9.31694245       8.85175012       8.57669920       9.76607401       9.90089589       9.10025122       8.84590917       8.80346973       8.74986409      
  0.00900000       3.25702066E-03   1998.90765384    -3.30008856      0.18698082       3.84906466       9.42736437       9.34221429       9.54911963       9.05790847       8.77762168       10.02750889      10.19550415      9.32697313       9.08928339       9.03198477       8.95099413      
  0.00900000       4.12462638E-03   1921.86221946    -3.41312162      0.17759122       3.89381610       9.71909838       9.62141533       9.79945043       9.28514812       8.98664557       10.30443441      10.51279608      9.59370912       9.34432569       9.26737625       9.16895297      
  0.00900000       5.22334507E-03   1844.31788314    -3.52635264      0.16926906       3.93550380       9.98553046       9.87869867       10.06521749      9.53879566       9.19368817       10.58460380      10.83005296      9.92229421       9.59346661       9.49353752       9.41184605      
  0.00900000       6.61474064E-03   1756.95548270    -3.64928348      0.16190532       3.97413624       10.24472744      10.13200207      10.37165380      9.84420901       9.41345151       10.89259111      11.17367807      10.35638123      9.85550183       9.72687434       9.70707854      
  0.00900000       8.37677640E-03   1667.87977789    -3.77479024      0.15549275       4.00923784       10.45915236      10.34425946      10.71775080      10.21248507      9.63855012       11.20877837      11.52129268      10.93356174      10.10268414      9.95058622       10.08894023     
  0.00900000       1.06081836E-02   1581.96204628    -3.89871201      0.14985858       4.04129564       10.65115892      10.53358139      11.07963864      10.60852855      9.87136991       11.51984436      11.87782870      11.56587609      10.34066443      10.17204547      10.52339910     
