# Mass             Age              Teff             Luminosity       Radius           Gravity          NIRCAM-F460M     NIRCAM-F480M     NIRCAM-F356W     NIRCAM-F410M     NIRCAM-F300M     NIRCAM-F277W     NIRCAM-F250M     NIRCAM-F335M     NIRCAM-F430M     NIRCAM-F444W     NIRCAM-F360M    
# M/Msun           Gyr              K                L/Lsun           R/Rsun           log(g[cm/s^2])  
  0.02300000       5.87801607E-01   964.60470546     -5.09762364      0.10137153       4.78831039       13.59310379      13.24334241      13.76180075      12.43238802      14.69793103      15.34840057      15.98511524      15.55146889      12.87373724      12.74990153      13.84107116     
  0.02300000       7.44380301E-01   897.30191349     -5.23468459      0.10005032       4.79970552       13.84407687      13.46365190      14.10390096      12.69305724      15.08334421      15.79389079      16.51985063      16.03478400      13.08883779      12.99263138      14.20512437     
  0.02300000       9.42668455E-01   835.38040904     -5.36925128      0.09886182       4.81008490       14.05948039      13.65352030      14.43401498      12.94240037      15.46702234      16.23538908      17.05405114      16.51983672      13.27867566      13.21733179      14.55525309     
  0.02300000       1.19377664E+00   772.55347565     -5.51458856      0.09778332       4.81961251       14.23063193      13.81985150      14.78211369      13.20090761      15.90121692      16.72856526      17.64885111      17.05409322      13.45237412      13.43821282      14.92751351     
  0.02300000       1.51177507E+00   711.20209118     -5.66688511      0.09682671       4.82815172       14.38646335      13.98060973      15.16045193      13.47709593      16.38531284      17.27275293      18.30969745      17.64971261      13.61871807      13.66729288      15.33622669     
  0.02300000       1.91448198E+00   664.02351587     -5.79378384      0.09597688       4.83580882       14.48552602      14.10166258      15.48284559      13.71165811      16.80846225      17.74148281      18.88015466      18.17209547      13.76477314      13.85517150      15.68492978     
  0.02300000       2.42446202E+00   620.81354422     -5.91788691      0.09518297       4.84302360       14.53856240      14.19803447      15.80554727      13.93957542      17.25504354      18.22929411      19.47068475      18.70716017      13.90179690      14.02859345      16.03731643     
  0.02300000       3.07029063E+00   577.37920915     -6.05065257      0.09444352       4.84979776       14.60468440      14.31063445      16.15781746      14.19113936      17.75760719      18.77042574      20.12252584      19.28285029      14.06342500      14.21962581      16.42496274     
  0.02300000       3.88815518E+00   537.35465299     -6.18170818      0.09376481       4.85606234       14.67980207      14.43770915      16.51675020      14.46030045      18.27670281      19.32234865      20.78950831      19.85398215      14.24559386      14.42591215      16.81861712     
  0.02300000       4.92388263E+00   502.60776164     -6.30374041      0.09312918       4.86197053       14.75357074      14.57598754      16.85297210      14.71062647      18.77472782      19.84565388      21.41141116      20.37619114      14.43549901      14.61802058      17.18802095     
  0.02300000       6.23550734E+00   470.21664813     -6.42505260      0.09253267       4.86755185       14.82120860      14.71654100      17.23738421      14.93788032      19.35085462      20.44609009      22.11469786      20.96008615      14.56972507      14.78467090      17.61629356     
  0.02300000       7.89652287E+00   440.38892441     -6.54416089      0.09197589       4.87279410       14.95244033      14.89240734      17.57960407      15.24037044      19.89306732      21.00724206      22.76959275      21.46062362      14.83613694      15.02622014      17.99054248     
  0.02300000       1.00000000E+01   414.26685859     -6.65532929      0.09145215       4.87775421       15.07006816      15.07292925      17.96369574      15.52780975      20.51105860      21.64373022      23.49450985      22.02176247      15.06112353      15.24566400      18.41756131     
