# Mass             Age              Teff             Luminosity       Radius           Gravity          MKO_Y            MKO_J            MKO_H            MKO_K            MKO_Lp           MKO_Mp           W1               W2               W3               W4               IRAC_CH1         IRAC_CH2        
# M/Msun           Gyr              K                L/Lsun           R/Rsun           log(g[cm/s^2])  
  0.01000000       2.28546386E-01   719.97032287     -5.50314983      0.11408589       4.32395059       16.82249325      15.80929469      16.38255692      16.63527636      13.94572596      14.58356388      15.66718346      13.65730661      11.52999292      11.06527597      15.00108568      13.69654853     
  0.01000000       2.89426612E-01   672.17549245     -5.63198554      0.11284584       4.33344349       17.20371556      16.19522290      16.79314090      17.13369119      14.24767589      14.79383483      16.05396282      13.84610389      11.70278738      11.18994714      15.35705320      13.89369075     
  0.01000000       3.66524124E-01   627.50342319     -5.76035426      0.11169271       4.34236489       17.60029043      16.59214071      17.21461711      17.66675684      14.55869278      14.97901694      16.45452579      14.03007076      11.88065814      11.31479138      15.72245735      14.08459596     
  0.01000000       4.64158883E-01   583.01902447     -5.89637941      0.11063156       4.35065636       18.07144972      17.05858710      17.71760065      18.34825656      14.90082915      15.10278847      16.90464108      14.20875440      12.09589228      11.45261709      16.12419633      14.26610906     
  0.01000000       5.87801607E-01   542.65389833     -6.02864950      0.10966248       4.35829807       18.54954192      17.53308273      18.22713186      19.04758778      15.25341257      15.22775163      17.36493991      14.39803981      12.30840286      11.58705192      16.53632796      14.45669802     
  0.01000000       7.44380301E-01   511.08744082     -6.14005225      0.10874736       4.36557688       18.99458110      17.97565060      18.69678140      19.70882584      15.56049971      15.30678830      17.77055618      14.56488792      12.50783577      11.70587416      16.89492114      14.61981304     
  0.01000000       9.42668455E-01   479.21127846     -6.25890625      0.10787651       4.37256052       19.52040908      18.52961320      19.26432675      20.51401153      15.90676763      15.33268010      18.25356792      14.73264079      12.74079589      11.83896939      17.31712585      14.77846310     
  0.01000000       1.19377664E+00   447.54231994     -6.38426073      0.10705817       4.37917465       20.06233593      19.09757522      19.80895627      21.27469338      16.21969686      15.39459008      18.67462275      14.89597625      12.96187576      11.95829950      17.68543513      14.93849118     
  0.01000000       1.51177507E+00   419.79773795     -6.50177753      0.10628006       4.38551066       20.65081806      19.74792358      20.40166717      22.14794644      16.56610224      15.46161089      19.15854782      15.06517951      13.20782800      12.08828910      18.10580070      15.10006825     
  0.01000000       1.91448198E+00   393.83400074     -6.61873482      0.10554288       4.39155634       21.25393432      20.43130879      21.01717287      23.11559510      16.93263467      15.53017553      19.68310099      15.26334608      13.47984638      12.23163060      18.55869826      15.29041361     
  0.01000000       2.42446202E+00   371.76669394     -6.72482185      0.10482648       4.39747224       22.01368332      21.28804087      21.73697974      24.09056201      17.31030234      15.52998557      20.19940765      15.42576682      13.74731123      12.35850899      19.00565707      15.44396209     
  0.01000000       3.07029063E+00   349.58518687     -6.83746433      0.10413123       4.40325220       22.68330942      22.06856112      22.38389832      25.15206873      17.67218727      15.64917661      20.75424844      15.60836005      14.03858774      12.50885139      19.48400487      15.61625213     
  0.01000000       3.88815518E+00   335.58733026     -6.91432500      0.10343105       4.40911235       23.25508718      22.69865200      22.90056703      25.90010011      17.95593535      15.71615891      21.13787514      15.76518437      14.24400918      12.60917211      19.81860791      15.76934016     
  0.01000000       4.92388263E+00   320.06410441     -7.00269850      0.10270777       4.41520767       24.07301260      23.54017479      23.57589761      26.81967986      18.30174495      15.79747896      21.60146036      15.92948836      14.47804652      12.71648960      20.23065292      15.92847522     
  0.01000000       6.23550734E+00   303.47066746     -7.10135274      0.10198140       4.42137227       24.83712639      24.34384778      24.19296649      27.91091670      18.66042400      15.97809589      22.14436088      16.13337723      14.75810852      12.86535606      20.70685708      16.12549040     
  0.01000000       7.89652287E+00   288.81717557     -7.19348277      0.10125967       4.42754122       25.77890812      25.27302421      24.91763527      28.99872696      19.04450317      16.11777123      22.67581483      16.33184454      15.00602007      12.98716145      21.18535104      16.31745466     
  0.01000000       1.00000000E+01   273.52217503     -7.29431348      0.10053244       4.43380178       26.81253856      26.29559348      25.70512551      30.23645219      19.46456151      16.31745559      23.26691108      16.56181087      15.27086395      13.12167750      21.72048090      16.54096271     
