# Mass             Age              Teff             Luminosity       Radius           Gravity          MKO_Y            MKO_J            MKO_H            MKO_K            MKO_Lp           MKO_Mp           W1               W2               W3               W4               IRAC_CH1         IRAC_CH2        
# M/Msun           Gyr              K                L/Lsun           R/Rsun           log(g[cm/s^2])  
  0.06500000       2.28546386E-01   2553.30986079    -3.26640023      0.11912632       5.09931249       11.61552390      10.74138644      10.18930921      9.85251720       9.26662073       9.58842421       9.63282780       9.46868415       9.11585699       9.05668016       9.42651243       9.43830999      
  0.06500000       2.89426612E-01   2468.38801255    -3.37221490      0.11284830       5.14633762       11.93091449      10.97933768      10.41574042      10.08425599      9.45438882       9.87967061       9.85071136       9.72343352       9.31676967       9.27834386       9.62434872       9.68590753      
  0.06500000       3.66524124E-01   2370.70087813    -3.48552864      0.10737527       5.18951965       12.28677138      11.23738825      10.65498746      10.33686107      9.64619268       10.19287911      10.07498915      9.99064964       9.51496806       9.49190788       9.82757015       9.94508127      
  0.06500000       4.64158883E-01   2262.44001263    -3.60530385      0.10271272       5.22808069       12.67988815      11.51445235      10.90616782      10.61060080      9.84250003       10.49951543      10.30566721      10.25385930      9.70022455       9.68344810       10.03863018      10.20066942     
  0.06500000       5.87801607E-01   2156.51052365    -3.72307001      0.09871798       5.26253665       13.06823165      11.79162692      11.15613685      10.89374630      10.04416095      10.76405126      10.55178240      10.48932982      9.86744616       9.84575473       10.26668097      10.43136228     
  0.06500000       7.44380301E-01   2046.53614408    -3.84500647      0.09525404       5.29356121       13.45970053      12.07965133      11.41645167      11.20230221      10.27158835      11.00164167      10.84917715      10.71110084      10.02877474      9.99133606       10.54195043      10.65055812     
  0.06500000       9.42668455E-01   1931.86517849    -3.97258757      0.09229492       5.32097213       13.83709776      12.37638904      11.69495903      11.54594790      10.54335983      11.21768384      11.22526545      10.92516421      10.18931706      10.12615186      10.88744048      10.86456917     
  0.06500000       1.19377664E+00   1814.73344923    -4.10526337      0.08977804       5.34498799       14.16824678      12.67261285      12.00035745      11.94087845      10.87715191      11.40862860      11.69798929      11.12953448      10.34976505      10.25504397      11.32039524      11.07292731     
  0.06500000       1.51177507E+00   1707.25838888    -4.23254502      0.08761052       5.36621534       14.40864473      12.93640845      12.32014751      12.35674283      11.22667557      11.57429049      12.17663361      11.31998003      10.50453388      10.38229465      11.76562489      11.27022352     
  0.06500000       1.91448198E+00   1601.38069614    -4.36278346      0.08571241       5.38524036       14.61625549      13.18904136      12.68083249      12.80670009      11.59550364      11.72270039      12.64539259      11.50655498      10.66042697      10.51484280      12.21904182      11.46663954     
  0.06500000       2.42446202E+00   1506.13950992    -4.48644138      0.08403713       5.40238529       14.79216215      13.40465290      13.05792421      13.22469207      11.93744245      11.83754643      13.04821961      11.66876650      10.80975557      10.65205546      12.62410409      11.63891513     
  0.06500000       3.07029063E+00   1420.31175477    -4.60435231      0.08250447       5.41837261       14.97290827      13.61643511      13.46042941      13.62026131      12.26039421      11.93920783      13.41986772      11.82264060      10.96497344      10.79979247      12.99831461      11.80047846     
  0.06500000       3.88815518E+00   1320.97162188    -4.74513482      0.08110802       5.43319996       15.18129748      13.86103204      13.93803091      14.05543747      12.58975703      12.04758078      13.80950646      11.99443308      11.15145789      10.96759781      13.37305398      11.97714267     
  0.06500000       4.92388263E+00   1237.06400834    -4.87218822      0.07989883       5.44624679       15.39791207      14.10963070      14.37932963      14.45845026      12.87031608      12.16171445      14.15499965      12.16092556      11.33936566      11.12110454      13.68974862      12.14505136     
  0.06500000       6.23550734E+00   1170.72933299    -4.98015824      0.07878294       5.45846326       15.60500411      14.34130977      14.72363923      14.80037926      13.07926198      12.26873157      14.41897203      12.30416989      11.50527906      11.24394637      13.92320463      12.28790178     
  0.06500000       7.89652287E+00   1107.45888684    -5.08918236      0.07765652       5.47097177       15.83561433      14.59152334      15.05078755      15.14149331      13.27648916      12.38298695      14.67112342      12.44885995      11.67473818      11.36216271      14.14222761      12.43188636     
  0.06500000       1.00000000E+01   1043.44713213    -5.20536478      0.07652410       5.48373110       16.11126704      14.88035082      15.40324003      15.53329628      13.48928841      12.51822551      14.94604399      12.61209339      11.86640550      11.48777252      14.37838412      12.59425578     
