# Mass             Age              Teff             Luminosity       Radius           Gravity          NIRCAM-F480M     NIRCAM-F187N     NIRCAM-F356W     NIRCAM-F150W2    NIRCAM-F210M     NIRCAM-F470N     NIRCAM-F150W     NIRCAM-F405N     NIRCAM-F335M     NIRCAM-F140M     NIRCAM-F182M     NIRCAM-F070W     NIRCAM-F200W     NIRCAM-F360M     NIRCAM-F460M     NIRCAM-F466N     NIRCAM-F323N     NIRCAM-F430M     NIRCAM-F212N     NIRCAM-F410M     NIRCAM-F300M     NIRCAM-F444W     NIRCAM-F250M     NIRCAM-F277W     NIRCAM-F162M     NIRCAM-F090W     NIRCAM-F164N     NIRCAM-F322W2    NIRCAM-F115W    
# M/Msun           Gyr              K                L/Lsun           R/Rsun           log(g[cm/s^2])  
  0.00800000       1.00000000E-03   2208.65372915    -2.89993239      0.24277277       3.57110446       8.26942635       9.52434684       8.24079764       9.61341733       9.00902011       8.27721613       9.75603505       7.90820319       8.45774659       10.18277555      9.36972967       14.79870615      9.19837870       8.14294084       8.30713879       8.24985835       8.62795769       8.14303250       8.90835051       7.96222773       9.00484215       8.11369151       9.08328166       9.07719121       9.19241380       11.79136832      9.04384873       8.64377510       10.13055557     
  0.00800000       1.26638017E-03   2157.95948515    -2.99610494      0.22766185       3.62692596       8.52469860       9.79276304       8.43910750       9.84837126       9.23315020       8.53134432       10.00221583      8.09677216       8.66730048       10.46516293      9.61935582       15.17261654      9.43610508       8.33796089       8.57073253       8.50633979       8.84507374       8.36894595       9.12357258       8.15644291       9.25520813       8.33426908       9.34476055       9.34069220       9.40687196       12.08026932      9.25125179       8.86687731       10.36869841     
  0.00800000       1.60371874E-03   2099.53684540    -3.09697037      0.21414240       3.68009977       8.79261498       10.07846347      8.64096355       10.09577921      9.46645235       8.79811668       10.26027629      8.28840111       8.88177327       10.76655166      9.88389416       15.57324864      9.68588046       8.53644476       8.84797139       8.77407263       9.06600419       8.60419297       9.34695147       8.35463999       9.51248249       8.56160568       9.62141650       9.61668032       9.62979579       12.39245243      9.46645915       9.09570570       10.62239170     
  0.00800000       2.03091762E-03   2038.67112883    -3.19859804      0.20204111       3.73062711       9.06086646       10.37257728      8.84219781       10.34700178      9.70149316       9.06539467       10.51923687      8.47900894       9.09769337       11.07582955      10.15484511      15.97154168      9.93969556       8.73386247       9.12699638       9.04168350       9.28733157       8.84243349       9.57113919       8.55221166       9.76959106       8.78792156       9.90477583       9.89636602       9.85199594       12.70630432      9.67968786       9.32400719       10.88234054     
  0.00800000       2.57191381E-03   1970.35294067    -3.30565999      0.19120756       3.77849483       9.33733003       10.68779942      9.05358259       10.61331287      9.94848363       9.34248510       10.79008911      8.67470300       9.33176027       11.40785071      10.44427036      16.38646958      10.20865643      8.93871314       9.41468612       9.31946797       9.52290487       9.09064541       9.80577950       8.75521413       10.03521269      9.01943166       10.20502057      10.18877626      10.08304886      13.03856259      9.90194453       9.56139895       11.16053641     
  0.00800000       3.25702066E-03   1895.29306865    -3.41780850      0.18162029       3.82317792       9.61259079       11.01944406      9.28320580       10.89253609      10.20562356      9.61928270       11.06937387      8.87427377       9.60299044       11.75835316      10.74873750      16.82318846      10.49027537      9.15872090       9.70124813       9.59997341       9.79049583       9.34499241       10.04904178      8.96189005       10.31021024      9.25234474       10.51947948      10.49111481      10.32159599      13.38018815      10.13228358      9.81251888       11.45428925     
  0.00800000       4.12462638E-03   1824.00065530    -3.52644199      0.17304375       3.86519418       9.86239025       11.34167849      9.53423627       11.16547457      10.45970396      9.87341050       11.33597106      9.07015109       9.92711018       12.09965160      11.04623528      17.25063024      10.76749183      9.39711066       9.95796382       9.85132817       10.10296222      9.58741868       10.28925164      9.16297490       10.58100864      9.47179268       10.82536866      10.78146793      10.55236061      13.68974349      10.35494966      10.07258803      11.73709000     
  0.00800000       5.22334507E-03   1734.04239672    -3.65325261      0.16545648       3.90413887       10.12054706      11.71474029      9.85821850       11.48365525      10.75575130      10.13724082      11.64075231      9.29058339       10.38841946      12.49766967      11.39211856      17.79025127      11.09116685      9.70882102       10.22075372      10.11161540      10.55579745      9.85737185       10.56735101      9.38831935       10.89745568      9.71073142       11.17961495      11.11198839      10.81850481      14.03765619      10.61252148      10.39277295      12.06327816     
  0.00800000       6.61474064E-03   1646.78132483    -3.77813369      0.15888800       3.93932400       10.33112171      12.06642554      10.23573188      11.79856508      11.05489760      10.35188357      11.93307243      9.51150222       10.97531088      12.87670136      11.72684337      18.41151178      11.41382506      10.09739364      10.43318172      10.32537332      11.14702142      10.10407282      10.84812802      9.61408278       11.21033182      9.93415311       11.52761067      11.42577206      11.08669366      14.36534730      10.87588064      10.74112093      12.37109115     
  0.00800000       8.37677640E-03   1566.89355529    -3.89693501      0.15306905       3.97173135       10.51496455      12.39772396      10.62146417      12.10516663      11.35190585      10.53913176      12.21533824      9.73271419       11.57691125      13.23793660      12.04975177      19.05283908      11.73156516      10.51575583      10.61886691      10.51138820      11.75367421      10.33397628      11.12631154      9.84139203       11.50521856      10.14931804      11.87098087      11.72391460      11.35557079      14.65247409      11.14295737      11.08752328      12.65265519     
  0.00800000       1.06081836E-02   1488.69339102    -4.01627255      0.14780572       4.00212355       10.68402174      12.72752270      11.02661818      12.42308327      11.66764452      10.71164613      12.51162039      9.97297552       12.14020774      13.60467276      12.38538066      19.73353531      12.06594566      10.97486537      10.78911640      10.68153588      12.32003718      10.56094659      11.42401377      10.09238110      11.79359421      10.37375634      12.23769927      12.02620490      11.65415525      14.93009177      11.44677082      11.44466838      12.91969596     
  0.00800000       1.34339933E-02   1384.15498115    -4.16948443      0.14332518       4.02886038       10.87236418      13.15689473      11.57896090      12.85074601      12.09399482      10.90248229      12.92727289      10.30998009      12.78019071      14.10143720      12.84830927      20.64076845      12.51721766      11.60216761      10.97840436      10.87092816      12.96743693      10.84112479      11.83015339      10.45118620      12.15767973      10.67132118      12.76083537      12.42835213      12.09952572      15.31335731      11.91537485      11.92442395      13.24662463     
  0.00800000       1.70125428E-02   1307.18261554    -4.29311616      0.13938014       4.05310305       11.01809917      13.52169629      12.03879950      13.21476005      12.45259783      11.04817976      13.30978866      10.61718736      13.24653351      14.53266113      13.26161958      21.30213161      12.89695260      12.09332255      11.12203791      11.01740412      13.45436398      11.05889675      12.18389697      10.77591644      12.46229370      10.92384834      13.22254965      12.77510576      12.53117602      15.64797802      12.39654153      12.32793971      13.51047668     
  0.00800000       2.15443469E-02   1228.37734675    -4.42334992      0.13586150       4.07531254       11.15262806      13.89998467      12.47939116      13.57688026      12.79719826      11.18485164      13.70975086      10.93158219      13.70723685      14.96906179      13.69624757      21.87735107      13.26829324      12.53509235      11.24980759      11.14964480      13.94246562      11.25249387      12.53547761      11.09790881      12.78182736      11.16183198      13.70528673      13.14534714      12.99932442      16.01042215      12.95620412      12.73094912      13.76982229     
  0.00800000       2.72833338E-02   1154.04251823    -4.55205995      0.13272780       4.09558087       11.27924938      14.31101292      12.87084431      13.93240548      13.12527158      11.31292049      14.11755382      11.23224636      14.15197213      15.42521741      14.15309495      22.40365889      13.63262113      12.91692820      11.36692637      11.27283694      14.41493585      11.43213665      12.87577330      11.39183766      13.12193557      11.37573471      14.19767912      13.54567456      13.47345146      16.39040935      13.58157069      13.11947594      14.03403365     
  0.00800000       3.45510729E-02   1082.75455905    -4.68144461      0.12991266       4.11420214       11.40870800      14.76137764      13.23762432      14.29417343      13.45711990      11.44283200      14.53546229      11.52613410      14.59980462      15.91069043      14.63776917      22.92543516      14.00732725      13.27417030      11.48620436      11.39899813      14.88993461      11.61530229      13.22261302      11.67181633      13.48769386      11.58126569      14.70642231      13.97647487      13.94929374      16.78809571      14.25675273      13.50598919      14.31536070     
  0.00800000       4.37547938E-02   1015.42501984    -4.81016581      0.12736801       4.13138415       11.54882707      15.25679458      13.56764277      14.65661336      13.79678259      11.58345136      14.93725795      11.79952308      15.05102547      16.41521912      15.14868835      23.44778191      14.39443632      13.60159476      11.61534214      11.53489266      15.37810494      11.80561552      13.57657154      11.92965446      13.88275885      11.77918937      15.21216079      14.43146075      14.38235669      17.19908934      14.92771843      13.87817348      14.61854784     
  0.00800000       5.54102033E-02   952.77013792     -4.93657384      0.12507247       4.14718093       11.69933187      15.79246462      13.88767439      15.02151783      14.15161812      11.73596290      15.33004752      12.08049099      15.50217714      16.94365234      15.70457886      23.98915656      14.80056447      13.93420682      11.75687292      11.68333334      15.87657791      12.01255488      13.94058126      12.18884080      14.31374195      11.98321125      15.73136828      14.91906586      14.78830237      17.59669469      15.61498116      14.25517492      14.91965205     
  0.00800000       7.01703829E-02   890.93450889     -5.06774299      0.12298846       4.16177597       11.87109997      16.37672636      14.17853920      15.41882017      14.58094181      11.90390014      15.73717027      12.33316011      15.90359844      17.51874479      16.28761235      24.62155042      15.26956536      14.22947017      11.91591396      11.85069860      16.33165449      12.23300494      14.36072371      12.43490653      14.75182469      12.19106339      16.22825969      15.39510740      15.17955758      18.02082342      16.21759318      14.59257437      15.26137197     
  0.00800000       8.88623816E-02   827.72591297     -5.20888216      0.12112245       4.17505552       12.04773184      16.97592768      14.49907849      15.84128785      15.03562853      12.07547704      16.15677229      12.59310861      16.31605956      18.11509207      16.91547005      25.23866290      15.76390374      14.55087078      12.08431040      12.02400116      16.79236618      12.46568229      14.79286920      12.70377525      15.23735953      12.41169592      16.74001167      15.91514289      15.57659391      18.46644567      16.85321708      14.96472996      15.63119879     
  0.00800000       1.12533558E-01   769.71046964     -5.34706149      0.11946732       4.18700653       12.22921665      17.57539876      14.79246370      16.27239047      15.53157243      12.25833273      16.58634250      12.85642034      16.71946263      18.72181394      17.54392695      25.83441047      16.28906615      14.84167729      12.26165130      12.20796811      17.25820201      12.69536381      15.24893028      12.95890013      15.72117083      12.62829844      17.22708965      16.42361163      15.97252758      18.92259277      17.44457531      15.30478327      16.00776596     
  0.00800000       1.42510267E-01   715.91291586     -5.48384040      0.11797551       4.19792053       12.42891396      18.18570706      15.08161023      16.71587801      16.06631374      12.45945327      17.02923873      13.12383561      17.15034239      19.32748151      18.17257841      26.40871547      16.84536934      15.13472503      12.45381543      12.40246444      17.76967010      12.92863829      15.73222071      13.21444716      16.23621617      12.85198319      17.71935861      16.95485741      16.37680041      19.40507927      18.01111160      15.63796722      16.39862062     
  0.00800000       1.80472177E-01   668.09366829     -5.61391074      0.11662861       4.20789433       12.60612608      18.76625942      15.36614291      17.14742819      16.59041594      12.63313477      17.46841056      13.38239261      17.59194333      19.91264467      18.78317052      26.77722764      17.38785886      15.42670733      12.62220524      12.57523341      18.31077559      13.14695357      16.19608228      13.45658796      16.73568160      13.05760864      18.19514659      17.47495991      16.77880083      19.87952159      18.54472508      15.95772953      16.77986452     
  0.00800000       2.28546386E-01   623.35871217     -5.74358249      0.11539100       4.21716071       12.81699630      19.40865286      15.67776673      17.61223826      17.18577056      12.83772796      17.95303893      13.64533162      18.10005719      20.53879806      19.43153787      27.19171018      17.99716032      15.75005324      12.82375017      12.78182381      18.94771605      13.38391754      16.72617865      13.71918701      17.28574140      13.28547231      18.73873559      18.05134274      17.22357501      20.38907899      19.11880025      16.29720534      17.19070511     
