# Mass             Age              Teff             Luminosity       Radius           Gravity          NIRCAM-F480M     NIRCAM-F187N     NIRCAM-F356W     NIRCAM-F150W2    NIRCAM-F210M     NIRCAM-F470N     NIRCAM-F150W     NIRCAM-F405N     NIRCAM-F335M     NIRCAM-F140M     NIRCAM-F182M     NIRCAM-F070W     NIRCAM-F200W     NIRCAM-F360M     NIRCAM-F460M     NIRCAM-F466N     NIRCAM-F323N     NIRCAM-F430M     NIRCAM-F212N     NIRCAM-F410M     NIRCAM-F300M     NIRCAM-F444W     NIRCAM-F250M     NIRCAM-F277W     NIRCAM-F162M     NIRCAM-F090W     NIRCAM-F164N     NIRCAM-F322W2    NIRCAM-F115W    
# M/Msun           Gyr              K                L/Lsun           R/Rsun           log(g[cm/s^2])  
  0.01800000       1.00000000E-03   2615.84369589    -2.31241504      0.34040149       3.62970672       6.95747835       7.96192941       7.08222171       8.20253938       7.67410747       6.96628769       8.23524240       6.83069069       7.22298856       8.47851605       7.90121416       12.13595419      7.79350569       7.01296652       6.97010191       6.93583304       7.33269604       6.91366712       7.62632109       6.86054382       7.53880134       6.91094898       7.62892237       7.59008461       7.86709821       9.91521445       7.76242780       7.34479720       8.71235124      
  0.01800000       1.26638017E-03   2597.69270821    -2.38973901      0.31577451       3.69493383       7.14527373       8.15852734       7.26292884       8.39112240       7.86067495       7.15408239       8.42717844       7.00729256       7.40767244       8.67757271       8.09305469       12.38483134      7.98304443       7.19183467       7.15900570       7.12389527       7.52080825       7.09604364       7.81033293       7.03788713       7.73506799       7.09332556       7.82280325       7.78604798       8.05058858       10.12218035      7.94393087       7.53263589       8.90062381      
  0.01800000       1.60371874E-03   2580.93490237    -2.46301287      0.29401293       3.75695565       7.32517002       8.34553802       7.43457175       8.56982162       8.03773831       7.33404477       8.60898428       7.17496825       7.58326176       8.86662050       8.27520067       12.62118546      8.16300878       7.36170671       7.34014058       7.30417446       7.69973198       7.26988015       7.98488620       7.20633515       7.92202667       7.26724180       8.00759456       7.97288395       8.22391042       10.31839846      8.11521810       7.71130801       9.07887196      
  0.01800000       2.03091762E-03   2562.47797357    -2.53489662      0.27457368       3.81637028       7.50203747       8.52990622       7.60156283       8.74478537       8.21090259       7.51108283       8.78749014       7.33762807       7.75461397       9.05338880       8.45410907       12.86021729      8.33944767       7.52679450       7.51850431       7.48165198       7.87470361       7.43970717       8.15525653       7.36990115       8.10597303       7.43713239       8.18944783       8.15694302       8.39284452       10.51315835      8.28186179       7.88611299       9.25323407      
  0.01800000       2.57191381E-03   2536.36407393    -2.60687920      0.25796968       3.87055015       7.67640659       8.71604775       7.76312685       8.91866111       8.38178613       7.68580309       8.96680104       7.49347340       7.92188398       9.24401902       8.63311096       13.12278186      8.51487646       7.68594002       7.69489095       7.65707682       8.04662974       7.60520381       8.32239992       7.52702849       8.28996852       7.60244146       8.37122821       8.34148130       8.55917989       10.71560174      8.44515787       8.05807160       9.42628262      
  0.01800000       3.25702066E-03   2515.51601083    -2.66284262      0.24589351       3.91219461       7.81254428       8.86138317       7.88836776       9.05379341       8.51458132       7.82209212       9.10645098       7.61405491       8.05179366       9.39306556       8.77253364       13.32914734      8.65138366       7.80924171       7.83283485       7.79432974       8.18031313       7.73390322       8.45214561       7.64870571       8.43353183       7.73098056       8.51304073       8.48556149       8.68813057       10.87369568      8.57161218       8.19177738       9.56057910      
  0.01800000       4.12462638E-03   2502.20641028    -2.69899866      0.23838628       3.93912493       7.90094784       8.95546006       7.96932391       9.14106181       8.60038793       7.91049426       9.19662982       7.69198179       8.13581010       9.48946211       8.86268631       13.46224847      8.73963043       7.88893920       7.92247985       7.88351669       8.26679048       7.81727411       8.53594646       7.72737264       8.52654503       7.81425172       8.60494664       8.57895721       8.77128795       10.97563892      8.65312985       8.27829693       9.64725143      
  0.01800000       5.22334507E-03   2493.73045748    -2.72054332      0.23412519       3.95479138       7.95361442       9.01176436       8.01720264       9.19305998       8.65140635       7.96312859       9.25050009       7.73795463       8.18561934       9.54732157       8.91650264       13.54330700      8.79221487       7.93603191       7.97595911       7.93669625       8.31814402       7.86674356       8.58568861       7.77382696       8.58207481       7.86364051       8.65984673       8.63478050       8.82068662       11.03700709      8.70150222       8.32971290       9.69890775      
  0.01800000       6.61474064E-03   2487.79945647    -2.73517540      0.23132053       3.96525946       7.98936831       9.05002858       8.04950528       9.22829336       8.68593717       7.99882587       9.28705643       7.76892835       8.21927483       9.58671726       8.95301448       13.59882856      8.82785312       7.96779016       8.01231184       7.97279527       8.35287566       7.90022036       8.61932122       7.80514695       8.61975004       7.89705812       8.69712687       8.67269588       8.85408317       11.07882584      8.73418017       8.36450424       9.73391571      
  0.01800000       8.37677640E-03   2481.44542497    -2.75034129      0.22847979       3.97599271       8.02664835       9.08993374       8.08293133       9.26491475       8.72177482       8.03599461       9.32507690       7.80094324       8.25415138       9.62783913       8.99102384       13.65712705      8.86490372       8.00063606       8.05025387       8.01039934       8.38890074       7.93498957       8.65418190       7.83754442       8.65899403       7.93175727       8.73601369       8.71224895       8.88869753       11.12248666      8.76802186       8.40063391       9.77033096      
  0.01800000       1.06081836E-02   2471.81673851    -2.77255926      0.22444683       3.99146015       8.08152159       9.14864364       8.13163981       9.31856732       8.77418110       8.09060719       9.38080968       7.84753624       8.30506228       9.68839006       9.04682044       13.74351269      8.91920194       8.04847005       8.10616807       8.06567582       8.44154562       7.98590415       8.70507746       7.88474035       8.71665247       7.98255360       8.79325798       8.77047758       8.93922643       11.18676116      8.81737286       8.45351765       9.82373940      
  0.01800000       1.34339933E-02   2454.73776546    -2.80931051      0.21815048       4.01617576       8.17297761       9.24656014       8.21134243       9.40733585       8.86056920       8.18138882       9.47317911       7.92355595       8.38866774       9.78959746       9.13948187       13.88988297      9.00908294       8.12664197       8.19955420       8.15761325       8.52819671       8.06996158       8.78871546       7.96189117       8.81253200       8.06635730       8.88875091       8.86764417       9.02227935       11.29421891      8.89832429       8.54080633       9.91225533      
  0.01800000       1.70125428E-02   2419.30361325    -2.88021605      0.20698108       4.06182544       8.35277514       9.43788415       8.36305519       9.57872139       9.02652181       8.35936778       9.65168410       8.06780756       8.54854228       9.98757954       9.31942656       14.17890412      9.18281107       8.27522904       8.38367942       8.33777452       8.69434076       8.23248315       8.94868452       8.10873887       8.99918767       8.22825222       9.07581496       9.05800360       9.18102369       11.50343814      9.05262160       8.70902029       10.08366342     
  0.01800000       2.15443469E-02   2331.66567433    -3.03629572      0.18618537       4.15379603       8.76477313       9.86819533       8.68717735       9.95523721       9.38745102       8.76888235       10.04391078      8.37452589       8.89275122       10.43209337      9.71957283       14.83085190      9.56537957       8.59203394       8.80708155       8.74917000       9.05327794       8.59111702       9.29391998       8.42300330       9.41463048       8.58468892       9.49886848       9.48808747       9.52382684       11.96540902      9.38440756       9.07657890       10.46198112     
  0.01800000       2.72833338E-02   2179.83698522    -3.26802793      0.16314037       4.26856627       9.38735226       10.52898339      9.14039087       10.51604683      9.91443552       9.38932627       10.62028266      8.80315929       9.37899202       11.11337637      10.32583022      15.85012015      10.13536181      9.03477707       9.45436037       9.37561301       9.55733722       9.11864916       9.79359292       8.86625653       10.01640780      9.10003514       10.14712347      10.13461730      10.01630993      12.67959744      9.85860727       9.60196904       11.03691044     
