# Mass             Age              Teff             Luminosity       Radius           Gravity          NIRCAM-F460M     NIRCAM-F480M     NIRCAM-F356W     NIRCAM-F410M     NIRCAM-F300M     NIRCAM-F277W     NIRCAM-F250M     NIRCAM-F335M     NIRCAM-F430M     NIRCAM-F444W     NIRCAM-F360M    
# M/Msun           Gyr              K                L/Lsun           R/Rsun           log(g[cm/s^2])  
  0.06500000       2.28546386E-01   2553.30986079    -3.26640023      0.11912632       5.09931249       9.61417315       9.56375901       9.42179456       9.19129569       10.07732595      10.15817174      10.17735617      9.60443580       9.34044641       9.36128129       9.33549078      
  0.06500000       2.89426612E-01   2468.38801255    -3.37221490      0.11284830       5.14633762       9.91092056       9.84798587       9.61925431       9.38352527       10.35729918      10.45875302      10.47644787      9.81759260       9.56647047       9.58933001       9.52676059      
  0.06500000       3.66524124E-01   2370.70087813    -3.48552864      0.10737527       5.18951965       10.23021930      10.15243088      9.82188327       9.58076453       10.64944718      10.77991583      10.80058680      10.03913807      9.80287973       9.82563047       9.72244677      
  0.06500000       4.64158883E-01   2262.44001263    -3.60530385      0.10271272       5.22808069       10.54132904      10.45154600      10.03163363      9.78058701       10.93837172      11.10296436      11.13436918      10.27467114      10.04208698      10.05938644      9.92416106      
  0.06500000       5.87801607E-01   2156.51052365    -3.72307001      0.09871798       5.26253665       10.80741355      10.70992332      10.25619939      9.97459009       11.21037393      11.40290633      11.45114509      10.54673119      10.26794596      10.27485375      10.13735890     
  0.06500000       7.44380301E-01   2046.53614408    -3.84500647      0.09525404       5.29356121       11.04500586      10.94342864      10.52354164      10.17140574      11.49229696      11.70199759      11.77060756      10.90671113      10.49093786      10.48410011      10.39161237     
  0.06500000       9.42668455E-01   1931.86517849    -3.97258757      0.09229492       5.32097213       11.26036095      11.15724428      10.85393589      10.37744434      11.79866452      12.01244753      12.10529202      11.39439724      10.71648571      10.69385696      10.71837396     
  0.06500000       1.19377664E+00   1814.73344923    -4.10526337      0.08977804       5.34498799       11.45102156      11.34600404      11.26134498      10.60067588      12.13062170      12.33704291      12.45934855      12.03265344      10.94299199      10.90794660      11.15244485     
  0.06500000       1.51177507E+00   1707.25838888    -4.23254502      0.08761052       5.36621534       11.61602461      11.51195361      11.67787294      10.83492471      12.45889287      12.66850189      12.83071796      12.64813164      11.15957805      11.12085978      11.62224223     
  0.06500000       1.91448198E+00   1601.38069614    -4.36278346      0.08571241       5.38524036       11.76265532      11.66395593      12.10459430      11.09614290      12.79995189      13.03115611      13.24899591      13.18826605      11.37643589      11.34472097      12.10923870     
  0.06500000       2.42446202E+00   1506.13950992    -4.48644138      0.08403713       5.40238529       11.87405490      11.78728076      12.49117768      11.35432007      13.12881374      13.39816213      13.67444781      13.62637417      11.56293970      11.55199043      12.53249897     
  0.06500000       3.07029063E+00   1420.31175477    -4.60435231      0.08250447       5.41837261       11.97096537      11.90198531      12.85276154      11.60955399      13.46907971      13.78989371      14.12227023      14.03937596      11.73653793      11.74962918      12.90698325     
  0.06500000       3.88815518E+00   1320.97162188    -4.74513482      0.08110802       5.43319996       12.07234965      12.03023545      13.21802644      11.88411890      13.86688473      14.25546223      14.64335278      14.49067954      11.93554740      11.96048425      13.27085305     
  0.06500000       4.92388263E+00   1237.06400834    -4.87218822      0.07989883       5.44624679       12.17979449      12.16444557      13.52673516      12.12599783      14.24171781      14.69269001      15.12676608      14.90593020      12.12630597      12.15188815      13.57788352     
  0.06500000       6.23550734E+00   1170.72933299    -4.98015824      0.07878294       5.45846326       12.28102257      12.28887725      13.75385034      12.31309651      14.54379969      15.03991161      15.50437828      15.22021226      12.28947797      12.30760309      13.80694721     
  0.06500000       7.89652287E+00   1107.45888684    -5.08918236      0.07765652       5.47097177       12.38993329      12.41899967      13.96688851      12.49278812      14.84287646      15.37762344      15.86654607      15.51541877      12.45257825      12.46136263      14.02334662     
  0.06500000       1.00000000E+01   1043.44713213    -5.20536478      0.07652410       5.48373110       12.51947012      12.56905098      14.19679106      12.68894627      15.18439042      15.75346033      16.26191919      15.84316861      12.63459159      12.63262748      14.25477774     
