# Mass             Age              Teff             Luminosity       Radius           Gravity          NIRCAM-F460M     NIRCAM-F480M     NIRCAM-F356W     NIRCAM-F410M     NIRCAM-F300M     NIRCAM-F277W     NIRCAM-F250M     NIRCAM-F335M     NIRCAM-F430M     NIRCAM-F444W     NIRCAM-F360M    
# M/Msun           Gyr              K                L/Lsun           R/Rsun           log(g[cm/s^2])  
  0.06600000       5.87801607E-01   2180.97536363    -3.70074715      0.09902505       5.26646817       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.06600000       7.44380301E-01   2075.40490422    -3.81815525      0.09553218       5.29765943       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.06600000       9.42668455E-01   1962.34767599    -3.94310316      0.09253925       5.32530684       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.06600000       1.19377664E+00   1849.24042680    -4.07053392      0.08998811       5.34958845       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000      
  0.06600000       1.51177507E+00   1740.91738590    -4.19668249      0.08780702       5.37089993       11.72799276      11.59969140      11.47937394      10.76915956      12.36544343      12.60465226      12.74285527      12.31437969      11.14241668      11.10184989      11.39002159     
  0.06600000       1.91448198E+00   1637.26334191    -4.32244945      0.08589572       5.39001531       11.95433559      11.81577509      11.87031013      11.01046271      12.69998367      12.95929110      13.13456031      12.84996470      11.38054642      11.33519804      11.82787015     
  0.06600000       2.42446202E+00   1541.10135038    -4.44474140      0.08421467       5.40718273       12.17096648      12.02222123      12.24347609      11.26177025      13.02502354      13.31602462      13.53673822      13.31541994      11.61786549      11.57210949      12.24144194     
  0.06600000       3.07029063E+00   1454.93605609    -4.56053776      0.08269129       5.42303860       12.37957749      12.22085905      12.58623788      11.51366589      13.34421769      13.67689227      13.94498319      13.72705271      11.84925150      11.80608997      12.60297837     
  0.06600000       3.88815518E+00   1362.99555639    -4.68897078      0.08127269       5.43806888       12.57219511      12.40781522      12.94316021      11.78020088      13.69589592      14.07924992      14.40193522      14.17245358      12.07329546      12.04435351      12.97013920     
  0.06600000       4.92388263E+00   1270.27954996    -4.82478242      0.08002715       5.45148353       12.76170799      12.59165999      13.28740611      12.04297214      14.05678167      14.49764536      14.88099557      14.62304847      12.29000403      12.27821027      13.32101798     
  0.06600000       6.23550734E+00   1200.63040062    -4.93491027      0.07891321       5.46365879       12.89299976      12.72617585      13.55226703      12.24407784      14.36338270      14.85597020      15.28890697      14.99025253      12.44343052      12.45245789      13.59337519     
  0.06600000       7.89652287E+00   1139.26572097    -5.03861443      0.07777910       5.47623234       12.98618014      12.83047775      13.78081643      12.41689972      14.63841184      15.17803599      15.65547405      15.30906692      12.56920194      12.59685326      13.83097797     
  0.06600000       1.00000000E+01   1074.43767997    -5.15375898      0.07659164       5.48959548       13.09248429      12.94858937      14.03692939      12.61006754      14.95187047      15.54373372      16.07521840      15.67904129      12.71037372      12.75875006      14.09821411     
