# Mass             Age              Teff             Luminosity       Radius           Gravity          NIRCAM-F322W2    NIRCAM-F164N     NIRCAM-F090W     NIRCAM-F277W     NIRCAM-F162M     NIRCAM-F115W     NIRCAM-F410M     NIRCAM-F300M     NIRCAM-F444W     NIRCAM-F250M     NIRCAM-F430M     NIRCAM-F323N     NIRCAM-F212N     NIRCAM-F466N     NIRCAM-F460M     NIRCAM-F200W     NIRCAM-F070W     NIRCAM-F182M     NIRCAM-F360M     NIRCAM-F405N     NIRCAM-F335M     NIRCAM-F140M     NIRCAM-F150W     NIRCAM-F187N     NIRCAM-F480M     NIRCAM-F210M     NIRCAM-F470N     NIRCAM-F356W     NIRCAM-F150W2   
# M/Msun           Gyr              K                L/Lsun           R/Rsun           log(g[cm/s^2])  
  0.00400000       1.34339933E-02   946.96762981     -4.86170624      0.13800856       3.76066286       13.48511471      14.20762964      17.54660302      14.64197860      14.15782787      14.72155103      11.91885134      14.00710349      12.36133570      15.25941620      12.71993589      14.85777676      13.96616037      13.09706984      13.44083813      14.79004496      24.70340970      15.31859878      12.89932765      11.74581985      14.49739338      16.63043254      14.94268402      15.84751059      12.90766422      14.21304813      13.30632267      12.83910101      14.76133928     
  0.00400000       1.70125428E-02   888.14116296     -4.99048539      0.13527784       3.77802144       13.87490561      14.83049264      17.95618043      15.01817985      14.61936620      15.03004535      12.20752442      14.34692957      12.64135785      15.75379738      12.97209804      15.45327417      14.35927574      13.40262764      13.77921123      15.20327710      25.16560839      15.80518784      13.33235321      11.99756457      15.05104812      17.07447963      15.34838656      16.27837362      13.17949146      14.60022175      13.65211298      13.23666654      15.14303915     
  0.00400000       2.15443469E-02   832.74739407     -5.11838451      0.13280811       3.79402603       14.23406954      15.43720321      18.35494984      15.36362276      15.04144550      15.35928548      12.47838932      14.65813111      12.89884209      16.20700046      13.19431885      15.97127766      14.72809030      13.67782287      14.08897231      15.59418149      25.58337359      16.28771668      13.72193573      12.23953800      15.53224958      17.52321873      15.72798020      16.69569563      13.41889605      14.96348673      13.97137539      13.60378051      15.51641170     
  0.00400000       2.72833338E-02   779.72054908     -5.24734081      0.13058147       3.80871169       14.58832281      16.04872950      18.76361229      15.72940007      15.44714912      15.69822678      12.74783893      14.98645008      13.15610956      16.68496374      13.42694203      16.50156341      15.12874995      13.96049619      14.40867158      16.01473048      25.97605481      16.80629381      14.10083647      12.47913807      16.01369593      17.99925091      16.10486086      17.16085142      13.66167176      15.35621647      14.30587941      13.96023216      15.89772352     
  0.00400000       3.45510729E-02   729.61969568     -5.37634004      0.12855030       3.82232857       14.94683701      16.69173180      19.18767667      16.12262385      15.84446393      16.05251656      13.02166287      15.33955272      13.41718101      17.19592097      13.66978962      17.05858558      15.56192418      14.25158196      14.74053841      16.46764237      26.34864305      17.37307142      14.47993009      12.72593189      16.50939289      18.51767355      16.48814792      17.68027677      13.90690657      15.77902187      14.65792919      14.31572367      16.29264529     
  0.00400000       4.37547938E-02   680.09427064     -5.51098665      0.12670848       3.83486341       15.31767607      17.39429286      19.64728707      16.53599782      16.25415309      16.43241217      13.30497326      15.71295122      13.68602144      17.73172364      13.91604648      17.65106978      16.02438731      14.55315688      15.08827953      16.95176148      26.71602895      17.98732405      14.87085358      12.98293705      17.02950432      19.08469974      16.89307210      18.23954135      14.15823419      16.23187888      15.03150424      14.68191652      16.71209287     
  0.00400000       5.54102033E-02   632.19649688     -5.64928946      0.12505070       3.84630230       15.70990686      18.17964812      20.17007674      16.98375419      16.69642806      16.85253909      13.60253782      16.12292237      13.95731014      18.30656481      14.14492171      18.29560836      16.54400386      14.83349458      15.41275890      17.49391039      27.06660551      18.67587248      15.28430157      13.26751559      17.58393636      19.72679225      17.34348308      18.86955186      14.39297509      16.74382544      15.38732964      15.06719112      17.17294511     
  0.00400000       7.01703829E-02   589.90834173     -5.77994787      0.12356314       3.85669659       16.10071632      18.96154892      20.70947525      17.44805498      17.14304943      17.27908482      13.89700980      16.55218229      14.21319935      18.90007791      14.36027990      18.95151119      17.11465582      15.07066871      15.67743435      18.08168925      27.41334873      19.40037247      15.69752929      13.55836853      18.13433895      20.38740673      17.80488744      19.55574505      14.59372736      17.30511334      15.68460639      15.44954559      17.64268572     
  0.00400000       8.88623816E-02   555.92552344     -5.89293719      0.12215905       3.86662323       16.45314987      19.65759679      21.19608225      17.86868435      17.53834340      17.65815310      14.16653780      16.94460331      14.44527627      19.43661286      14.56075559      19.55044506      17.64198626      15.26877001      15.90003896      18.61949951      27.69995610      20.06336871      16.07137039      13.81602199      18.62760990      20.98546504      18.21760998      20.19231413      14.77028546      17.82176158      15.93379877      15.79461173      18.06098506     
  0.00400000       1.12533558E-01   521.13079995     -6.01469243      0.12083341       3.87610020       16.82886620      20.41577918      21.72998797      18.33395410      17.97975509      18.08582824      14.43686699      17.38231314      14.67293126      20.02692040      14.72215477      20.20756919      18.24232310      15.44654455      16.08850247      19.23325898      27.95297082      20.80251979      16.47471490      14.09605802      19.15679544      21.65226081      18.68104542      20.90654734      14.95995763      18.41654275      16.14709453      16.16122240      18.52946485     
  0.00400000       1.42510267E-01   487.85574761     -6.13821061      0.11960196       3.88499788       17.24742280      21.27815457      22.35535282      18.86102408      18.49284875      18.60543197      14.73142243      17.88308971      14.91891461      20.69641745      14.91444673      20.98006330      18.95475399      15.64896537      16.30615624      19.95579631      28.24600697      21.65292629      16.93279881      14.41182148      19.75693810      22.42779069      19.22010134      21.72882484      15.15678040      19.12157505      16.39535937      16.57186267      19.08463304     
  0.00400000       1.80472177E-01   456.54044141     -6.26189043      0.11844748       3.89342264       17.68123602      22.16365269      22.99900911      19.43550613      19.03853416      19.18082514      15.03772343      18.43325498      15.16048376      21.41634435      15.09614455      21.81916903      19.76242410      15.81163286      16.46223254      20.77179157      28.57415577      22.57395582      17.40939721      14.74852490      20.38413588      23.25118301      19.79400880      22.64557898      15.33310461      19.92501519      16.56636432      16.99557688      19.68865743     
  0.00400000       2.28546386E-01   429.08191090     -6.37765353      0.11736241       3.90141635       18.03404851      22.88258556      23.46180374      19.91004270      19.49496945      19.67972069      15.27810435      18.89218960      15.32505135      21.99402387      15.20475590      22.48254896      20.41892982      15.84343224      16.46592923      21.43955367      28.67828309      23.32417326      17.79623797      15.01531481      20.87838681      23.93091168      20.27492896      23.39181802      15.41981656      20.58388880      16.56451194      17.34041272      20.20090063     
  0.00400000       2.89426612E-01   402.72699217     -6.49540928      0.11633253       3.90907200       18.50113060      23.85433307      24.07869340      20.55521212      20.13082414      20.39597618      15.57721287      19.51914152      15.54107689      22.77091841      15.35690681      23.40511881      21.35385253      15.92032702      16.50650287      22.38458986      29.02570438      24.34898911      18.31375825      15.36809785      21.53919262      24.86126117      20.94000655      24.42400589      15.56956997      21.52057609      16.60359052      17.79911861      20.92295730     
  0.00400000       3.66524124E-01   381.45645781     -6.59712785      0.11534032       3.91651201       18.88068283      24.64021388      24.51586644      21.10353713      20.66407047      20.99448579      15.79108344      20.05487760      15.68056789      23.41298192      15.45263730      24.19052008      22.14123951      15.92280558      16.46379456      23.18393909      29.06817161      25.19135336      18.73802859      15.64944485      22.07897068      25.62722938      21.49785496      25.28343529      15.65826366      22.31484439      16.55560985      18.17323595      21.52230802     
  0.00400000       4.64158883E-01   359.94001714     -6.70528759      0.11437074       3.92384441       19.35370752      25.63927252      25.08783223      21.81670242      21.35122058      21.78618174      16.07684210      20.75605472      15.87476172      24.20904126      15.61354287      25.14324121      23.15918053      15.94722490      16.43399684      24.21275569      29.38260988      26.26892283      19.26765606      16.02803293      22.73891156      26.61288215      22.21062743      26.38062374      15.77485149      23.33832421      16.50783387      18.64014149      22.30482619     
  0.00400000       5.87801607E-01   343.05347612     -6.79595918      0.11342998       3.93101857       19.73028246      26.43739312      25.46241753      22.40736576      21.92904682      22.45117719      16.28025645      21.33853498      15.99960238      24.83639661      15.72395882      25.91368377      23.99239220      15.94488718      16.38057099      25.05495310      29.45975024      27.12751176      19.68860289      16.32607461      23.25599495      27.41449116      22.80505784      27.26734338      15.85813986      24.17692379      16.44060206      19.01280738      22.95539969     
  0.00400000       7.44380301E-01   329.23843966     -6.87481230      0.11246088       3.93847148       20.09591363      27.21979705      25.88421771      22.99098898      22.48254863      23.11819087      16.48731192      21.91499578      16.14424613      25.43857104      15.84490883      26.64261392      24.83490714      15.99992778      16.39756334      25.89634116      29.72769974      27.97048387      20.10072966      16.62615769      23.75919305      28.18952634      23.37022219      28.14980937      15.98491934      25.01711333      16.45047541      19.37624814      23.59527461     
  0.00400000       9.42668455E-01   314.16655520     -6.96387890      0.11147181       3.94614430       20.49681047      28.07529395      26.28196994      23.65526958      23.11519640      23.87637480      16.70493058      22.57434408      16.28716485      26.07731872      15.98783955      27.39927273      25.76948157      16.05103913      16.38529406      26.82850132      30.00798023      28.89720130      20.55115392      16.94939253      24.29646192      29.06029813      24.01238869      29.12149556      16.09958415      25.94801774      16.43617784      19.77606015      24.31801645     
  0.00400000       1.19377664E+00   298.44610521     -7.06080181      0.11048286       3.95388448       20.98541544      29.13674313      26.76664864      24.45514816      23.89411103      24.84734323      17.00563119      23.37006178      16.49109091      26.79741829      16.20161799      28.24991158      26.92871023      16.16079541      16.42428344      27.98157971      30.27056768      30.02986999      21.09821704      17.36736302      24.93419840      30.13691455      24.79864174      30.31964186      16.27386902      27.10006156      16.47348133      20.26585477      25.22255991     
  0.00400000       1.51177507E+00   284.14787646     -7.15385100      0.10949735       3.96166707       21.47958446      30.20575887      27.22254250      25.28252849      24.68021693      25.83108389      17.27341661      24.19237295      16.67184362      27.42401842      16.38155095      29.01289480      28.10197557      16.24076069      16.43491057      29.14852799      30.52210033      31.20418747      21.65495995      17.79037484      25.55286006      31.23038352      25.58995444      31.53099195      16.43236858      28.26124259      16.48129764      20.76285382      26.13107565     
  0.00400000       1.91448198E+00   268.75312289     -7.25840076      0.10852150       3.96944267       21.99114554      31.33565793      27.63641643      26.12755036      25.48267783      26.85610389      17.55781104      25.05802576      16.88947493      27.97671494      16.57985162      29.75233411      29.40158528      16.45999153      16.59990235      30.40540584      30.62813808      32.35148640      22.24635205      18.22606954      26.19145448      32.35387860      26.39416230      32.84617703      16.68677065      29.52409669      16.66919497      21.28247344      27.05073918     
  0.00400000       2.42446202E+00   252.69575885     -7.37300704      0.10757741       3.97703208       22.57664156      32.59973340      28.08533161      27.02581373      26.40475044      28.04197547      17.89519874      26.03795172      17.15181398      28.50575761      16.83401044      30.52789323      30.89167903      16.75589144      16.83831503      31.84290847      30.68209388      33.63209332      22.92337379      18.72942613      26.87123174      33.65111588      27.31602730      34.35612687      16.99707751      30.97304822      16.93768958      21.87977590      28.09348447     
  0.00400000       3.07029063E+00   241.78845337     -7.45723461      0.10664524       3.98459125       23.05513530      33.57199401      28.45679143      27.67297156      27.16616573      29.01608217      18.18747282      26.81631543      17.36996032      28.86931277      17.07104774      31.10639118      32.05213579      16.96930926      17.00464328      32.97727192      30.74161131      34.65399954      23.46578771      19.14805525      27.36154446      34.72305193      28.07708687      35.55269933      17.22739657      32.11702320      17.11922854      22.36769288      28.93942679     
  0.00400000       3.88815518E+00   230.75672092     -7.54619489      0.10568652       3.99243505       23.61301023      34.64189346      28.87510723      28.31072034      28.05883110      30.15145242      18.54879370      27.69828275      17.63425063      29.20490321      17.37299297      31.72387755      33.34982590      17.19716688      17.19197398      34.25825535      30.78833228      35.78532925      24.08970511      19.63943214      27.85881978      35.99105171      28.96929075      36.91451547      17.49065102      33.41334658      17.31928365      22.93711492      29.90778079     
  0.00400000       4.92388263E+00   218.59551151     -7.64815748      0.10473030       4.00032951       24.28737243      35.89017777      29.36537452      28.99843061      29.14022323      31.52226370      18.99692012      28.74557288      17.95756823      29.54644965      17.75260229      32.43143054      34.87754426      17.45600286      17.41120905      35.77887461      30.82719263      37.11793139      24.83851452      20.23532020      28.40670781      37.53826143      30.05006034      38.53514269      17.80200858      34.95259258      17.54987950      23.62593371      31.06504767     
  0.00400000       6.23550734E+00   205.42121811     -7.76386586      0.10380210       4.00806193       25.05389803      37.28219293      29.90539984      29.73579483      30.36595756      33.07407917      19.50695645      29.92480958      18.32220657      29.89625825      18.18566294      33.21667213      36.58688079      17.73907292      17.65332984      37.49354278      30.85699134      38.62483874      25.68746865      20.91316598      29.00004778      39.30309505      31.27498188      40.35860159      18.14845584      36.68243562      17.80226984      24.40931496      32.36995483     
