# Mass             Age              Teff             Luminosity       Radius           Gravity          MIRI-F1065C      MIRI-F1140C      MIRI-F1550C      MIRI-F2300C     
# M/Msun           Gyr              K                L/Lsun           R/Rsun           log(g[cm/s^2])  
  0.05000000       1.00000000E-03   2938.04567660    -1.63078965      0.59145218       3.59354578       5.25100736       5.24881191       5.20239104       5.13130565      
  0.05000000       1.26638017E-03   2937.64965196    -1.65241300      0.57706673       3.61493255       5.30468295       5.30251573       5.25630369       5.18537807      
  0.05000000       1.60371874E-03   2937.40058071    -1.66353438      0.56981137       3.62592259       5.33229088       5.33013892       5.28403769       5.21319506      
  0.05000000       2.03091762E-03   2937.17619694    -1.67455543      0.56271514       3.63680747       5.35963094       5.35749501       5.31150600       5.24074670      
  0.05000000       2.57191381E-03   2936.83806150    -1.69077155      0.55242831       3.65283277       5.39989455       5.39778353       5.35196433       5.28132943      
  0.05000000       3.25702066E-03   2936.29712576    -1.71922407      0.53482528       3.68096062       5.47057080       5.46850788       5.42300034       5.35258971      
  0.05000000       4.12462638E-03   2935.41831767    -1.78395916      0.49671710       3.74516622       5.63179569       5.62985759       5.58506706       5.51515060      
  0.05000000       5.22334507E-03   2933.47551871    -1.92921750      0.42077788       3.88928076       5.99398478       5.99239658       5.94934882       5.88051776      
  0.05000000       6.61474064E-03   2930.05219267    -2.05985922      0.36286373       4.01789995       6.31878928       6.31762294       6.27665723       6.20902810      
  0.05000000       8.37677640E-03   2917.65544083    -2.17472994      0.32062108       4.12540318       6.59559377       6.59487618       6.55638167       6.49004756      
  0.05000000       1.06081836E-02   2905.00485278    -2.27682191      0.28755504       4.21994399       6.84055790       6.84033783       6.80447756       6.73945959      
  0.05000000       1.34339933E-02   2888.97867343    -2.37266516      0.26037898       4.30617535       7.06697704       7.06733703       7.03448573       6.97086340      
  0.05000000       1.70125428E-02   2866.46194522    -2.46657617      0.23737972       4.38649976       7.28270269       7.28377313       7.25463530       7.19264717      
  0.05000000       2.15443469E-02   2850.44718970    -2.55142156      0.21771502       4.46161031       7.48223042       7.48400755       7.45833930       7.39788652      
  0.05000000       2.72833338E-02   2820.75989321    -2.64171044      0.20037173       4.53371400       7.68252622       7.68525899       7.66444980       7.60597599      
  0.05000000       3.45510729E-02   2786.23890053    -2.73148386      0.18520210       4.60209505       7.87686608       7.88070789       7.86552187       7.80924267      
  0.05000000       4.37547938E-02   2747.62597269    -2.82105983      0.17178460       4.66741788       8.06775472       8.07306352       8.06494031       8.01114744      
  0.05000000       5.54102033E-02   2701.68871255    -2.91285118      0.15985771       4.72991977       8.25745381       8.26453913       8.26475335       8.21386254      
  0.05000000       7.01703829E-02   2646.74953303    -3.00807047      0.14926470       4.78947201       8.44697783       8.45630838       8.46775231       8.42130733      
  0.05000000       8.88623816E-02   2584.46670764    -3.10594355      0.13986743       4.84595359       8.63534924       8.64733845       8.67318276       8.63253559      
  0.05000000       1.12533558E-01   2511.16074245    -3.20959166      0.13148538       4.89963172       8.82695199       8.84252014       8.89028990       8.85894186      
  0.05000000       1.42510267E-01   2430.15870724    -3.31702399      0.12406160       4.95011084       9.01704309       9.03629767       9.10897647       9.08671929      
  0.05000000       1.80472177E-01   2333.73675864    -3.43413658      0.11755924       4.99687273       9.20735382       9.22891872       9.32526169       9.31032509      
  0.05000000       2.28546386E-01   2220.69943823    -3.56258766      0.11198408       5.03907359       9.39335982       9.41355216       9.52550321       9.51518572      
  0.05000000       2.89426612E-01   2112.55960618    -3.68712521      0.10721339       5.07688783       9.56476906       9.58065911       9.69972727       9.68978732      
  0.05000000       3.66524124E-01   1993.53979775    -3.82187580      0.10309483       5.11091197       9.73507244       9.74259040       9.86230330       9.84872380      
  0.05000000       4.64158883E-01   1871.78676043    -3.96167696      0.09955898       5.14122411       9.90035598       9.89602534       10.01083435      9.99297157      
  0.05000000       5.87801607E-01   1750.42736237    -4.10460698      0.09656757       5.16772271       10.06118302      10.04156736      10.15175623      10.13333395     
  0.05000000       7.44380301E-01   1636.78251554    -4.24469921      0.09399222       5.19120123       10.21616927      10.17961380      10.28690316      10.27048559     
  0.05000000       9.42668455E-01   1526.38818579    -4.38691610      0.09175416       5.21213273       10.37879844      10.32116863      10.42814293      10.41868930     
  0.05000000       1.19377664E+00   1432.55421857    -4.51598767      0.08978749       5.23095318       10.54011747      10.45639863      10.56555605      10.56856788     
  0.05000000       1.51177507E+00   1331.23165894    -4.66056858      0.08803227       5.24810071       10.76572549      10.62713454      10.73374542      10.74677197     
  0.05000000       1.91448198E+00   1240.27382392    -4.79885724      0.08648980       5.26345452       11.03952950      10.81669810      10.90600684      10.91979414     
  0.05000000       2.42446202E+00   1148.14899360    -4.94674571      0.08512606       5.27725921       11.36930309      11.04019508      11.08494866      11.08255046     
  0.05000000       3.07029063E+00   1065.77060572    -5.08811403      0.08395348       5.28930690       11.70241552      11.26775685      11.25843037      11.22800222     
  0.05000000       3.88815518E+00   989.29433324     -5.22841043      0.08290282       5.30024569       12.04487365      11.51514684      11.44086382      11.36981644     
  0.05000000       4.92388263E+00   919.58718681     -5.36485697      0.08199850       5.30977239       12.34537484      11.74708210      11.60970137      11.49782596     
  0.05000000       6.23550734E+00   867.36065811     -5.47493653      0.08120155       5.31825557       12.58033940      11.93593881      11.74734812      11.60469171     
  0.05000000       7.89652287E+00   822.98487218     -5.57431285      0.08044186       5.32642002       12.77285925      12.09799646      11.86584896      11.69994561     
  0.05000000       1.00000000E+01   782.31785076     -5.67039303      0.07970185       5.33444741       12.95427803      12.25226564      11.97899965      11.79420742     
