# Mass             Age              Teff             Luminosity       Radius           Gravity          MIRI-F1065C      MIRI-F1140C      MIRI-F1550C      MIRI-F2300C     
# M/Msun           Gyr              K                L/Lsun           R/Rsun           log(g[cm/s^2])  
  0.01900000       1.00000000E-03   2636.38184852    -2.27650145      0.34926546       3.63085746       6.54435114       6.54230681       6.50545601       6.43661513      
  0.01900000       1.26638017E-03   2620.51960566    -2.35220340      0.32400162       3.69607563       6.71894066       6.71742563       6.68380580       6.61664886      
  0.01900000       1.60371874E-03   2603.33906248    -2.42662912      0.30133766       3.75906106       6.88909584       6.88818353       6.85825007       6.79296515      
  0.01900000       2.03091762E-03   2588.83657909    -2.49423888      0.28190329       3.81697028       7.04522084       7.04493183       7.01875621       6.95536528      
  0.01900000       2.57191381E-03   2569.92086166    -2.55734868      0.26602130       3.86733772       7.18536982       7.18578941       7.16410137       7.10291446      
  0.01900000       3.25702066E-03   2551.82555067    -2.60569787      0.25519942       3.90340991       7.28903438       7.29009890       7.27261209       7.21343959      
  0.01900000       4.12462638E-03   2541.04966882    -2.63417968      0.24906109       3.92455673       7.35008161       7.35155110       7.33671034       7.27879912      
  0.01900000       5.22334507E-03   2535.04520107    -2.65037439      0.24562265       3.93663206       7.38488672       7.38659063       7.37328332       7.31610309      
  0.01900000       6.61474064E-03   2530.23999933    -2.66343981      0.24287775       3.94639367       7.41301174       7.41490678       7.40285258       7.34626993      
  0.01900000       8.37677640E-03   2523.91505321    -2.68049880      0.23934473       3.95912119       7.44974788       7.45189618       7.44151112       7.38572473      
  0.01900000       1.06081836E-02   2514.02974502    -2.70694272      0.23399882       3.97874102       7.50651490       7.50906087       7.50132167       7.44679979      
  0.01900000       1.34339933E-02   2494.77632186    -2.75439947      0.22499053       4.01284015       7.60665658       7.60993830       7.60727157       7.55519008      
  0.01900000       1.70125428E-02   2443.10675313    -2.86203836      0.20726428       4.08411929       7.82616611       7.83154252       7.84359993       7.79831414      
  0.01900000       2.15443469E-02   2323.48182059    -3.07318622      0.17970341       4.20805520       8.23699453       8.24777015       8.30005997       8.27165976      
  0.01900000       2.72833338E-02   2185.91991131    -3.27836368      0.16031634       4.30721451       8.59829439       8.61210629       8.70062770       8.68497794      
  0.01900000       3.45510729E-02   2043.19615095    -3.46799210      0.14750830       4.37953715       8.89227123       8.90292246       9.01077376       9.00009418      
  0.01900000       4.37547938E-02   1898.32746626    -3.65158484      0.13832380       4.43537564       9.14969073       9.15108359       9.26649404       9.25184166      
  0.01900000       5.54102033E-02   1777.83091914    -3.81120126      0.13123688       4.48105708       9.35995692       9.34936206       9.45969112       9.43743971      
  0.01900000       7.01703829E-02   1635.64600362    -3.99331565      0.12571649       4.51838462       9.56982821       9.54029646       9.63945257       9.61249534      
  0.01900000       8.88623816E-02   1512.76505006    -4.16023832      0.12127319       4.54963925       9.75681967       9.70716267       9.79941374       9.77252146      
  0.01900000       1.12533558E-01   1402.13951281    -4.31765127      0.11776566       4.57513158       9.92976306       9.85879127       9.94769518       9.92972545      
  0.01900000       1.42510267E-01   1307.50022180    -4.46135976      0.11478143       4.59742538       10.10333476      10.00441683      10.09487289      10.09644900     
  0.01900000       1.80472177E-01   1222.26122161    -4.59858093      0.11215358       4.61754187       10.30609991      10.16102630      10.25539851      10.27343342     
  0.01900000       2.28546386E-01   1133.33221388    -4.74776901      0.10985635       4.63551792       10.59413695      10.35988147      10.44288074      10.46361453     
  0.01900000       2.89426612E-01   1051.56291547    -4.89349992      0.10789778       4.65114329       10.93465912      10.58600090      10.63321388      10.63578715     
  0.01900000       3.66524124E-01   976.82669342     -5.03545252      0.10618738       4.66502239       11.30267843      10.82819463      10.82674118      10.79826801     
  0.01900000       4.64158883E-01   907.30836184     -5.17621620      0.10466928       4.67752981       11.67004457      11.08580841      11.01766698      10.94412028     
  0.01900000       5.87801607E-01   841.18733172     -5.31884577      0.10333218       4.68869711       12.01366372      11.34575385      11.20535492      11.08422123     
  0.01900000       7.44380301E-01   780.07856727     -5.45983540      0.10215070       4.69868536       12.33419512      11.60316761      11.39062983      11.22342236     
  0.01900000       9.42668455E-01   720.42345741     -5.60713021      0.10108682       4.70777896       12.62837885      11.85580654      11.57058897      11.36425011     
  0.01900000       1.19377664E+00   668.89311405     -5.74427925      0.10013386       4.71600603       12.90072241      12.08569201      11.73606758      11.49777715     
  0.01900000       1.51177507E+00   623.94643960     -5.87270424      0.09926159       4.72360544       13.17659751      12.29782284      11.89660225      11.63178072     
  0.01900000       1.91448198E+00   581.06565301     -6.00342676      0.09845935       4.73065394       13.45300498      12.50703041      12.05013513      11.76236665     
  0.01900000       2.42446202E+00   541.05357312     -6.13390981      0.09772045       4.73719695       13.74464607      12.73934704      12.21275495      11.89600448     
  0.01900000       3.07029063E+00   507.69756941     -6.25072523      0.09701830       4.74346048       13.98392152      12.95090731      12.35444078      12.01082201     
  0.01900000       3.88815518E+00   474.54573758     -6.37398120      0.09635533       4.74941637       14.27086978      13.23007609      12.51970391      12.14074524     
  0.01900000       4.92388263E+00   443.31075863     -6.49785374      0.09573657       4.75501213       14.55354265      13.47214186      12.66659778      12.25778740     
  0.01900000       6.23550734E+00   415.47392716     -6.61585557      0.09514886       4.76036068       14.85309903      13.72131988      12.83015332      12.37482821     
  0.01900000       7.89652287E+00   391.57850326     -6.72387747      0.09459020       4.76547556       15.14012490      13.96893652      13.00131607      12.48887002     
  0.01900000       1.00000000E+01   371.95806898     -6.81829617      0.09403498       4.77058895       15.41406083      14.20912614      13.15812043      12.59219404     
